STE_CODE_2016,NS_EGWWS_2016,NS_EGWWS_NS,NS_EGWWS_Tot,NS_Const_Bf_91,NS_Const_91_95,NS_Const_96_00,NS_Const_01_05,NS_Const_06_10,NS_Const_11_15,NS_Const_2016,NS_Const_NS,NS_Const_Tot,NS_WST_Bf_91,NS_WST_91_95,NS_WST_96_00,NS_WST_01_05,NS_WST_06_10,NS_WST_11_15,NS_WST_2016,NS_WST_NS,NS_WST_Tot,NS_RetT_Bf_91,NS_RetT_91_95,NS_RetT_96_00,NS_RetT_01_05,NS_RetT_06_10,NS_RetT_11_15,NS_RetT_2016,NS_RetT_NS,NS_RetT_Tot,NS_AcFd_Bf_91,NS_AcFd_91_95,NS_AcFd_96_00,NS_AcFd_01_05,NS_AcFd_06_10,NS_AcFd_11_15,NS_AcFd_2016,NS_AcFd_NS,NS_AcFd_Tot,NS_TPW_Bf_91,NS_TPW_91_95,NS_TPW_96_00,NS_TPW_01_05,NS_TPW_06_10,NS_TPW_11_15,NS_TPW_2016,NS_TPW_NS,NS_TPW_Tot,NS_IMT_Bf_91,NS_IMT_91_95,NS_IMT_96_00,NS_IMT_01_05,NS_IMT_06_10,NS_IMT_11_15,NS_IMT_2016,NS_IMT_NS,NS_IMT_Tot,NS_FinIns_Bf_91,NS_FinIns_91_95,NS_FinIns_96_00,NS_FinIns_01_05,NS_FinIns_06_10,NS_FinIns_11_15,NS_FinIns_2016,NS_FinIns_NS,NS_FinIns_Tot,NS_RHRE_Bf_91,NS_RHRE_91_95,NS_RHRE_96_00,NS_RHRE_01_05,NS_RHRE_06_10,NS_RHRE_11_15,NS_RHRE_2016,NS_RHRE_NS,NS_RHRE_Tot,NS_ProSTS_Bf_91,NS_ProSTS_91_95,NS_ProSTS_96_00,NS_ProSTS_01_05,NS_ProSTS_06_10,NS_ProSTS_11_15,NS_ProSTS_2016,NS_ProSTS_NS,NS_ProSTS_Tot,NS_AdSup_Bf_91,NS_AdSup_91_95,NS_AdSup_96_00,NS_AdSup_01_05,NS_AdSup_06_10,NS_AdSup_11_15,NS_AdSup_2016,NS_AdSup_NS,NS_AdSup_Tot,NS_PubAS_Bf_91,NS_PubAS_91_95,NS_PubAS_96_00,NS_PubAS_01_05,NS_PubAS_06_10,NS_PubAS_11_15,NS_PubAS_2016,NS_PubAS_NS,NS_PubAS_Tot,NS_EdTrn_Bf_91,NS_EdTrn_91_95,NS_EdTrn_96_00,NS_EdTrn_01_05,NS_EdTrn_06_10,NS_EdTrn_11_15,NS_EdTrn_2016,NS_EdTrn_NS,NS_EdTrn_Tot,NS_HC_SA_Bf_91,NS_HC_SA_91_95,NS_HC_SA_96_00,NS_HC_SA_01_05,NS_HC_SA_06_10,NS_HC_SA_11_15,NS_HC_SA_2016,NS_HC_SA_NS,NS_HC_SA_Tot,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_2016,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_2016,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_2016,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_2016,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_2016,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_2016,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_2016,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_2016,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_2016,Tot_Const_NS
1,0,3,30,99,30,52,43,41,66,3,23,355,44,8,16,22,20,29,3,3,145,117,28,49,46,84,58,8,16,407,75,18,38,51,78,117,15,34,426,90,28,38,30,49,34,0,17,288,17,6,10,17,18,14,0,3,81,74,25,23,41,41,15,0,8,230,11,3,4,12,9,13,0,0,50,83,23,42,35,47,46,6,9,291,64,18,26,20,23,38,0,19,217,58,19,19,25,20,11,0,6,161,68,21,28,25,27,28,3,11,210,199,64,89,96,132,91,3,38,713,14,7,3,6,9,3,0,4,44,43,17,14,10,22,18,3,9,151,139,34,58,57,88,94,9,104,576,1328,390,556,572,791,746,61,329,4782,3865,589,700,692,1271,1785,269,463,9630,1415,254,321,446,631,440,21,77,3603,28079,7261,7694,7893,11077,10657,917,1485,75064,2787,613,785,956,1027,763,73,120,7125,26248,5903,8377,7709,10890,12290,1007,1859
2,0,0,36,65,19,25,19,46,39,0,7,216,31,12,8,11,31,25,0,6,117,89,18,29,30,68,43,3,20,290,51,13,23,28,100,81,13,22,328,50,26,23,30,68,32,3,14,240,15,4,9,3,9,14,0,0,45,30,6,13,22,27,14,0,7,126,12,4,3,5,6,4,0,0,40,52,18,11,33,34,45,6,4,208,38,18,11,17,41,45,7,12,180,41,8,7,15,22,12,0,5,116,53,15,13,25,34,25,0,8,171,137,47,46,79,135,74,0,22,538,11,0,0,4,8,5,0,0,30,28,11,9,11,29,22,8,6,118,109,27,36,41,82,100,7,90,487,942,286,294,420,797,648,59,253,3702,3205,456,725,898,1785,2155,233,402,9850,651,114,156,185,260,217,11,39,1632,29395,6856,6412,8188,14433,11773,858,1485,79406,2597,519,730,1182,1881,1288,81,132,8405,17774,3092,4313,4914,8449,7669,425,1108
3,0,0,12,28,7,13,20,19,10,3,12,107,9,3,3,4,19,4,0,0,42,31,14,10,17,14,30,0,8,120,21,8,11,23,49,42,9,9,167,24,8,9,7,27,14,0,14,103,3,0,0,4,0,3,0,0,10,10,6,3,10,3,0,0,0,26,5,0,3,5,4,10,0,3,33,16,5,6,8,13,17,0,5,73,11,6,5,12,19,27,4,11,96,21,4,5,7,8,7,0,3,58,28,7,5,5,20,22,0,4,93,55,21,31,33,75,57,0,15,284,3,0,0,0,3,3,0,5,19,12,0,3,5,18,7,0,9,63,41,10,10,12,52,55,3,49,230,375,122,154,202,391,369,23,163,1807,2808,418,562,721,1483,2961,940,1000,10893,2673,520,795,1102,2188,1503,41,170,8978,11649,2486,3715,4741,8719,6375,427,851,38966,1652,297,490,745,1065,507,14,77,4855,14220,2602,4173,4849,7349,5379,346,992
4,0,0,3,21,3,0,3,3,3,0,3,36,3,0,0,0,0,3,0,0,15,15,3,3,0,8,10,0,0,45,11,5,3,5,10,11,3,6,58,3,0,3,0,8,0,0,3,26,0,0,0,0,0,3,0,0,7,0,4,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,6,13,0,0,0,10,8,0,0,26,10,3,3,5,16,11,0,0,41,4,0,4,0,4,0,0,0,16,8,0,3,3,8,4,0,0,33,37,9,6,15,46,14,0,10,143,0,0,0,0,0,0,0,0,3,9,0,0,7,0,3,0,4,23,16,3,3,5,11,12,3,20,75,178,32,39,65,164,113,13,60,654,1790,255,232,293,753,1042,162,205,4733,577,67,114,163,314,196,12,23,1475,6590,935,902,1332,3029,2548,169,380,15897,814,88,134,221,406,234,13,30,1940,5073,613,748,955,1850,1248,51,243
5,0,0,11,29,0,4,18,33,31,0,13,131,4,0,0,0,3,12,0,4,30,32,6,7,14,21,21,3,15,109,15,6,9,14,39,49,4,17,167,19,7,9,7,19,20,0,3,76,4,0,0,0,0,3,0,0,5,4,0,3,3,3,6,0,0,18,4,0,0,0,3,3,0,5,15,15,0,5,10,9,15,0,3,59,11,3,9,10,22,32,0,0,90,17,9,3,11,14,10,3,0,63,22,4,13,11,14,18,3,4,87,51,12,22,26,81,54,3,19,264,4,0,0,3,0,0,0,3,13,8,0,3,3,12,12,0,3,54,29,15,10,13,33,38,3,30,166,305,80,103,159,375,368,21,131,1544,2333,308,349,466,895,1334,306,381,6368,7468,1605,2213,3051,6485,4241,117,449,25632,8439,1636,1834,2646,6566,5768,271,516,27687,1659,290,362,651,1352,886,36,87,5322,12495,2230,3148,4183,9180,8953,272,840
6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,3,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,4,0,3,0,4,9,3,0,0,15,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,25,4,5,11,19,18,0,3,88,489,55,113,107,173,374,28,67,1408,74,6,8,8,32,16,0,0,147,646,102,101,143,227,190,9,51,1458,169,35,46,57,62,34,3,3,415,579,61,90,103,132,66,4,30
7,0,0,0,11,0,0,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,3,0,0,3,6,0,3,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,4,0,0,6,3,0,4,0,9,0,0,0,22,3,0,3,0,4,3,0,0,14,3,0,0,6,8,13,0,6,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,3,8,6,0,10,30,32,9,6,15,42,40,0,27,191,158,51,39,29,58,110,20,28,502,294,42,74,97,182,164,9,29,881,199,28,56,54,179,228,22,22,785,173,26,24,44,95,62,11,6,447,1066,154,239,267,696,796,48,93
8,0,0,0,3,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,3,4,11,7,0,4,35,4,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,3,0,0,3,0,0,0,0,9,18,11,3,4,6,5,0,3,58,10,0,3,3,3,0,0,0,19,6,0,3,0,10,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,0,4,3,5,0,3,16,63,22,17,28,49,32,0,13,232,55,8,4,18,16,30,0,3,136,8,3,0,5,3,0,0,0,21,352,78,88,74,143,149,4,26,916,131,17,29,29,78,74,0,4,367,1066,139,189,260,431,399,15,66
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,5,0,0,0,0,0,0,5,15,75,3,3,0,15,6,0,3,100,17,0,0,0,0,3,0,0,26,11,3,0,0,0,0,0,0,14,32,3,0,5,7,5,0,6
