STE_CODE_2016,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_Inc_LR_15_24,M_M1_Tram_Inc_LR_25_34,M_M1_Tram_Inc_LR_35_44,M_M1_Tram_Inc_LR_45_54,M_M1_Tram_Inc_LR_55_64,M_M1_Tram_Inc_LR_65_74,M_M1_Tram_Inc_LR_75ov,M_M1_Tram_Inc_LR_Tot,M_M1_Taxi_15_24,M_M1_Taxi_25_34,M_M1_Taxi_35_44,M_M1_Taxi_45_54,M_M1_Taxi_55_64,M_M1_Taxi_65_74,M_M1_Taxi_75ov,M_M1_Taxi_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_Inc_LR_15_24,M_M2_TrnTrm_Inc_LR_25_34,M_M2_TrnTrm_Inc_LR_35_44,M_M2_TrnTrm_Inc_LR_45_54,M_M2_TrnTrm_Inc_LR_55_64,M_M2_TrnTrm_Inc_LR_65_74,M_M2_TrnTrm_Inc_LR_75ov,M_M2_TrnTrm_Inc_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_Inc_LR_15_24,M_M2_BusTrm_Inc_LR_25_34,M_M2_BusTrm_Inc_LR_35_44,M_M2_BusTrm_Inc_LR_45_54,M_M2_BusTrm_Inc_LR_55_64,M_M2_BusTrm_Inc_LR_65_74,M_M2_BusTrm_Inc_LR_75ov,M_M2_BusTrm_Inc_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
1,17274,48023,33555,19760,11236,2274,220,132343,9707,18727,15677,9747,5399,1307,154,60728,217,1274,1448,969,484,143,23,4551,157,418,384,236,117,19,0,1334,252,906,1039,964,624,210,41,4034,116599,236706,250401,246700,176507,41886,4798,1073597,27660,13380,8017,6770,4536,1155,244,61765,1758,5119,6955,8436,6976,2367,415,32026,2344,4789,4434,3962,2543,391,62,18527,1765,4513,5096,4253,2125,258,29,18044,1423,2388,2488,2713,2213,925,220,12377,11398,18293,12342,10423,8611,3049,699,64800,190555,354537,341840,314933,221375,53997,6898,1484128,5206,9826,6956,4172,2599,741,74,29574,62,290,252,145,107,35,0,888,112,318,195,89,56,14,4,785,1990,4961,5369,4301,2464,480,33,19591,939,995,615,553,347,59,9,3519,239,682,717,482,248,38,3,2416,8539,17068,14116,9735,5821,1367,125,56773,41,174,268,176,93,35,8,789,30,70,62,23,16,3,0,205,369,698,852,609,335,71,9,2947,561,273,171,120,87,14,0,1230,115,296,258,140,77,10,0,897
2,10063,27319,23087,13890,7521,1454,118,83448,3802,3208,2278,1760,1207,309,35,12599,71,147,81,85,25,9,3,429,3417,10382,4800,2541,1421,467,74,23114,252,991,789,556,405,99,19,3108,96484,219939,218661,214497,148868,35422,4218,938082,23558,9437,5514,4421,3029,813,174,46944,685,2656,3441,4355,3731,1190,220,16288,952,2229,2137,1981,1298,184,45,8826,2575,6839,6825,4987,2528,343,37,24134,819,1854,1996,2059,1734,670,157,9284,9190,12809,7467,6369,5597,2070,494,44002,151879,297808,277072,257503,177365,43029,5593,1210245,1950,3379,2909,1725,1014,238,18,11239,3,6,4,3,0,0,0,12,1183,3232,1894,1009,580,164,11,8072,1364,4309,4966,3478,1869,289,20,16301,513,683,441,305,192,52,4,2190,213,674,666,472,244,31,3,2306,5233,12287,10887,6983,3900,771,59,40122,0,0,0,3,0,0,0,10,208,354,233,180,133,37,8,1161,127,207,196,169,98,30,3,830,472,82,71,29,24,10,0,688,65,82,56,33,23,7,0,260
3,2995,5660,5246,3827,2157,310,25,20223,5764,8387,6441,4772,2797,536,54,28748,178,518,380,273,174,33,3,1570,219,288,127,79,69,20,3,804,305,468,388,372,260,112,18,1922,91055,165760,170636,165337,111743,25375,2495,732404,22876,11046,6537,4989,3159,742,130,49481,843,2832,4124,5411,4589,1407,173,19387,1980,4133,4071,4338,2766,336,52,17674,2408,4042,4267,3667,1797,236,21,16430,909,1976,2119,2294,1802,699,140,9938,7507,8981,5819,5820,5118,1707,371,35324,137044,214095,210147,201174,136437,31522,3482,933905,747,1008,809,542,318,62,5,3498,4,10,4,4,0,0,0,24,4,7,3,5,0,0,0,19,542,1206,1706,1516,803,127,8,5911,268,259,184,149,102,15,5,976,91,172,222,166,102,16,0,777,1660,2659,2929,2390,1335,215,23,11212,39,143,133,103,49,12,0,470,75,75,25,21,22,10,0,225,327,576,618,459,230,43,8,2251,440,221,140,105,38,13,0,955,86,207,140,91,49,4,0,573
4,625,1123,1022,799,540,108,7,4222,1914,3743,3037,2276,1590,316,32,12911,10,35,22,18,8,3,0,106,163,388,304,178,125,24,0,1174,73,232,215,168,123,38,5,862,30523,58869,59700,62211,45524,10318,1276,268425,5468,3161,1937,1678,1128,261,48,13677,168,591,800,1336,1079,367,54,4393,469,655,615,746,527,60,11,3077,471,1213,1443,1473,942,96,7,5654,240,649,714,926,825,280,56,3684,1895,2151,1863,2036,1875,676,131,10635,42029,72808,71675,73843,54277,12541,1635,328811,178,237,151,140,90,15,3,808,0,0,0,0,0,0,0,0,15,23,18,14,13,0,0,86,125,201,231,169,96,20,3,845,40,33,20,11,9,3,0,119,17,44,42,31,15,0,0,150,373,532,462,367,222,38,4,2002,0,0,0,0,0,0,0,0,27,36,26,29,18,0,0,142,150,296,344,254,134,19,3,1195,146,102,49,42,20,4,0,368,35,59,51,35,28,3,0,207
5,1631,3688,3269,2337,1245,237,14,12423,3296,9724,8110,6348,3458,500,34,31471,32,66,39,34,9,10,0,192,11,15,12,11,10,3,0,66,133,348,319,280,189,58,11,1346,45266,95287,91605,88210,61265,15354,1696,398686,10306,6762,4102,3261,1915,398,65,26800,399,1445,1735,2310,1815,570,77,8352,770,1026,1061,1294,726,122,23,5008,1181,1901,2287,2201,1111,182,15,8881,815,3795,3477,3223,1900,457,82,13750,3000,3887,2933,3027,2605,942,181,16571,66840,127933,118948,112547,76238,18832,2194,523538,1236,1892,1891,1354,808,164,16,7351,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,3,394,1233,1377,1033,518,77,8,4639,164,162,129,100,65,5,0,628,57,155,162,137,64,13,0,587,1854,3447,3557,2618,1453,264,21,13212,0,6,13,5,4,0,0,27,3,0,0,3,0,0,0,9,120,313,234,170,114,14,8,967,258,129,63,31,30,7,0,523,69,200,138,106,46,13,0,571
6,8,19,3,8,0,0,0,46,582,495,365,370,296,62,5,2170,4,10,5,9,3,3,0,32,0,0,0,3,5,3,0,11,49,66,57,54,54,27,3,312,8197,15004,16173,18519,14109,2871,332,75199,2124,1119,714,613,461,76,11,5118,59,214,317,450,423,137,26,1624,336,222,177,240,132,20,4,1129,117,267,349,352,150,20,4,1260,73,140,169,215,250,77,19,940,912,1141,885,1014,933,271,52,5208,12450,18704,19223,21838,16809,3556,458,93046,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,6,3,0,0,26,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,8,4,8,13,5,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,25,42,26,4,0,135,43,28,15,19,10,0,0,110,8,13,9,0,4,0,0,36
7,0,5,6,9,0,0,0,23,360,1643,1450,1236,708,109,4,5504,6,3,8,10,11,0,0,39,0,0,0,0,0,0,0,4,21,46,30,22,18,4,0,149,3815,8668,7977,7255,4985,1203,105,34006,1007,983,631,502,291,64,6,3480,21,114,139,159,114,35,3,583,156,287,218,269,190,17,0,1135,216,464,353,325,197,28,0,1584,148,374,309,303,174,45,6,1362,862,1299,803,783,629,163,21,4553,6606,13883,11926,10891,7309,1667,140,52423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,11,3,6,0,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,39,360,234,127,58,5,3,829,24,33,24,15,14,0,0,100,10,77,46,33,14,0,0,188
8,5,27,31,21,10,3,0,97,970,1822,1448,1091,705,123,10,6170,0,10,6,8,3,0,0,27,3,4,5,3,3,0,0,20,16,66,57,58,20,3,0,217,8863,19034,19389,17234,10070,2251,192,77026,1558,1177,786,618,370,83,8,4600,41,177,229,259,197,112,7,1024,192,464,491,561,252,25,3,1980,382,946,1092,956,445,48,3,3862,160,172,156,161,103,46,9,805,1408,1726,845,629,460,93,11,5180,13607,25618,24526,21593,12637,2782,244,101002,0,4,3,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,13,9,0,0,52,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,10,7,20,16,21,17,0,0,81,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,53,113,127,84,60,15,3,445,98,58,55,42,15,0,0,272,22,61,32,29,14,3,0,159
9,0,0,0,0,0,0,0,7,3,13,11,13,6,0,0,44,3,4,8,3,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,122,185,204,185,89,11,865,6,21,10,16,3,0,0,62,0,3,12,25,20,6,0,63,9,5,12,6,3,4,0,41,0,4,3,4,3,0,0,18,7,18,15,10,12,0,0,69,21,40,20,18,16,3,3,129,123,234,281,310,255,111,14,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
