STE_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
1,124,191,31,104,455,23613,12701,1260,2660,40231,35187,114791,6407,4873,161258,158986,133946,8447,8731,310107,265471,92289,11920,8287,377972,277866,94617,17435,7663,397589,254544,97185,12536,6514,370778,260033,102673,8395,6122,377220,253677,98071,7471,6120,365336,239478,94427,8701,5740,348350,198594,89984,10105,4648,303330,114125,74640,8162,3361,200289,42494,44120,4233,1873,92721,12190,19488,1594,1071,34345,5918,10411,1000,1564,18893,2118568,1066634,106407,66574,3358185
2,92,157,25,95,372,18887,10852,1075,2134,32940,19968,96596,4267,3734,124565,119322,122903,6946,6919,256086,220893,81275,9802,6879,318853,229606,80958,15226,6051,331831,201170,83751,11211,5031,301155,201084,89638,7359,4883,302970,203620,88375,6731,4917,303647,186186,79445,7579,4493,277708,151648,74846,8349,3714,238559,88700,62668,7376,2693,161430,31573,36405,3769,1490,73230,8735,14977,1385,907,26004,4334,7906,852,1211,14306,1666823,919745,90855,52916,2730338
3,66,108,11,58,241,15061,8228,865,1593,25755,26507,92065,3925,3306,125805,112811,83351,5628,4696,206490,155546,59117,8553,4445,227655,160183,61271,11328,4013,236794,150801,63034,7847,3649,225334,165056,67375,5912,3942,242287,167469,64871,5813,3783,241937,153820,59532,6631,3194,223176,124457,55418,7122,2678,189673,73801,44914,5636,1976,126336,26193,25835,2608,1135,55763,7332,10778,884,644,19635,3385,5172,486,941,9984,1327364,692728,72375,38400,2130860
4,27,61,9,30,123,5227,3423,344,497,9489,5855,28912,1282,915,36970,31496,32529,2214,1449,67694,49367,21800,3137,1381,75675,51106,23760,4300,1312,80482,47074,24227,2968,1055,75320,51315,25590,2178,1067,80149,55683,26195,2189,1175,85244,53537,25102,2628,1041,82300,45976,24159,2942,862,73936,28129,19647,2430,673,50876,9452,11151,1220,396,22225,2450,4613,401,253,7725,1240,2341,269,381,4235,432682,270028,28154,11961,742831
5,32,62,7,21,127,7657,4120,511,725,13012,12029,42773,1840,1479,58120,55317,44517,3316,2546,105697,92083,32052,5477,2495,132104,96227,34825,7271,2377,140692,83723,35294,5311,1980,126308,85908,36972,4025,1983,128888,89273,36048,4180,2019,131527,82325,32521,4534,1745,121119,66388,30301,4683,1435,102805,39728,26240,3787,974,70729,14063,15456,1791,524,31834,3490,6464,622,311,10884,1519,3319,327,363,5531,722065,376770,47166,20244,1166240
6,11,21,3,7,47,1745,1230,141,167,3284,2463,8614,501,340,11916,9569,8077,712,372,18728,12441,5972,873,344,19630,12717,6729,1188,345,20975,12143,7200,857,298,20496,14220,8040,728,326,23316,16071,8190,786,388,25429,15983,8028,959,357,25332,13972,8190,1135,345,23639,7928,6673,903,234,15741,2512,3488,386,149,6537,675,1385,128,91,2284,343,784,74,125,1334,121052,81367,9226,3723,215365
7,5,0,0,3,7,1049,352,84,219,1703,1563,2713,158,218,4657,6643,2245,388,369,9645,10900,2384,641,382,14306,10937,2578,796,362,14669,9407,2340,598,269,12612,9148,2128,468,240,11992,9261,1943,458,245,11912,8453,1661,521,252,10884,6929,1573,519,180,9202,4381,1268,330,124,6104,1647,789,156,69,2656,407,308,40,27,788,148,148,24,28,343,79828,22079,5095,2751,109749
8,3,13,3,3,17,1475,593,86,114,2260,2199,8575,436,388,11597,11773,9349,722,565,22409,20322,5277,1176,402,27170,20936,6140,1928,385,29389,19054,6309,1352,378,27091,19410,5767,814,291,26279,19433,5038,691,294,25454,17271,4249,854,249,22616,12778,3905,783,200,17665,6632,3417,546,119,10722,2326,2201,282,71,4876,515,852,79,41,1488,176,414,55,57,697,152823,61486,9719,3431,227464
9,0,0,0,0,0,36,17,5,0,57,26,41,3,10,75,108,40,12,3,162,161,36,23,5,231,177,66,21,3,266,210,61,21,9,299,197,59,24,6,285,217,65,20,7,301,247,81,16,10,350,232,62,28,7,330,145,68,18,6,236,101,59,12,6,171,31,23,0,0,53,8,19,0,3,38,1858,671,199,81,2804
