STE_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
1,20,72,43,44,30,30,9,12,5,253,10,19,34,73,26,52,13,30,13,269,73,224,485,663,257,1230,67,503,655,4154,5192,18729,28139,49933,19321,72681,5186,33210,4020,236406
2,19,28,24,49,15,21,3,18,9,188,17,30,31,93,26,82,6,27,27,342,81,176,431,692,203,1392,58,554,533,4120,4266,11676,20134,41258,13852,69424,4042,31219,3186,199049
3,10,50,44,18,18,11,22,9,3,192,10,9,16,39,15,39,7,17,13,174,39,94,228,406,131,811,40,383,351,2489,2813,8571,13317,30088,11415,48000,3128,22306,1953,141599
4,3,5,12,11,4,6,0,0,3,44,0,3,5,19,6,11,4,16,5,64,17,29,61,139,34,291,19,145,87,828,892,2384,4033,11052,2844,17211,949,9511,604,49482
5,5,27,42,16,11,15,10,7,4,144,7,5,23,26,14,21,7,21,16,133,22,47,142,203,47,396,28,191,151,1227,1369,3581,7475,15561,4486,25797,1846,12428,996,73548
6,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,3,0,0,3,11,7,4,22,26,4,85,4,41,39,234,222,567,1473,2673,657,4786,251,2269,169,13070
7,0,3,13,0,0,0,0,4,0,26,0,0,8,0,0,0,0,0,0,15,0,3,8,14,7,20,0,12,47,117,104,259,666,888,383,1418,86,667,134,4602
8,3,6,0,8,5,3,0,0,0,30,4,3,3,11,0,3,0,0,0,25,11,10,29,61,18,56,3,22,35,255,1166,1647,1668,5298,1854,5346,271,1932,255,19441
9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,12,0,9,4,7,3,57
