STE_CODE_2016,FTS_NNI_Mng,FTS_NNI_Pro,FTS_NNI_TecTW,FTS_NNI_CoPSW,FTS_NNI_ClAW,FTS_NNI_SWks,FTS_NNI_MaOpDv,FTS_NNI_Lab,FTS_NNI_IDNS,FTS_NNI_Tot,FTS_1_149_Mng,FTS_1_149_Pro,FTS_1_149_TecTW,FTS_1_149_CoPSW,FTS_1_149_ClAW,FTS_1_149_SWks,FTS_1_149_MaOpDv,FTS_1_149_Lab,FTS_1_149_IDNS,FTS_1_149_Tot,FTS_150_299_Mng,FTS_150_299_Pro,FTS_150_299_TecTW,FTS_150_299_CoPSW,FTS_150_299_ClAW,FTS_150_299_SWks,FTS_150_299_MaOpDv,FTS_150_299_Lab,FTS_150_299_IDNS,FTS_150_299_Tot,FTS_300_399_Mng,FTS_300_399_Pro,FTS_300_399_TecTW,FTS_300_399_CoPSW,FTS_300_399_ClAW,FTS_300_399_SWks,FTS_300_399_MaOpDv,FTS_300_399_Lab,FTS_300_399_IDNS,FTS_300_399_Tot,FTS_400_499_Mng,FTS_400_499_Pro,FTS_400_499_TecTW,FTS_400_499_CoPSW,FTS_400_499_ClAW,FTS_400_499_SWks,FTS_400_499_MaOpDv,FTS_400_499_Lab,FTS_400_499_IDNS,FTS_400_499_Tot,FTS_500_649_Mng,FTS_500_649_Pro,FTS_500_649_TecTW,FTS_500_649_CoPSW,FTS_500_649_ClAW,FTS_500_649_SWks,FTS_500_649_MaOpDv,FTS_500_649_Lab,FTS_500_649_IDNS,FTS_500_649_Tot,FTS_650_799_Mng,FTS_650_799_Pro,FTS_650_799_TecTW,FTS_650_799_CoPSW,FTS_650_799_ClAW,FTS_650_799_SWks,FTS_650_799_MaOpDv,FTS_650_799_Lab,FTS_650_799_IDNS,FTS_650_799_Tot,FTS_800_999_Mng,FTS_800_999_Pro,FTS_800_999_TecTW,FTS_800_999_CoPSW,FTS_800_999_ClAW,FTS_800_999_SWks,FTS_800_999_MaOpDv,FTS_800_999_Lab,FTS_800_999_IDNS,FTS_800_999_Tot,FTS_1000_1249_Mng,FTS_1000_1249_Pro,FTS_1000_1249_TecTW,FTS_1000_1249_CoPSW,FTS_1000_1249_ClAW,FTS_1000_1249_SWks,FTS_1000_1249_MaOpDv,FTS_1000_1249_Lab,FTS_1000_1249_IDNS,FTS_1000_1249_Tot,FTS_1250_1499_Mng,FTS_1250_1499_Pro,FTS_1250_1499_TecTW,FTS_1250_1499_CoPSW,FTS_1250_1499_ClAW,FTS_1250_1499_SWks,FTS_1250_1499_MaOpDv,FTS_1250_1499_Lab,FTS_1250_1499_IDNS,FTS_1250_1499_Tot,FTS_1500_1749_Mng,FTS_1500_1749_Pro,FTS_1500_1749_TecTW,FTS_1500_1749_CoPSW,FTS_1500_1749_ClAW,FTS_1500_1749_SWks,FTS_1500_1749_MaOpDv,FTS_1500_1749_Lab,FTS_1500_1749_IDNS,FTS_1500_1749_Tot,FTS_1750_1999_Mng,FTS_1750_1999_Pro,FTS_1750_1999_TecTW,FTS_1750_1999_CoPSW,FTS_1750_1999_ClAW,FTS_1750_1999_SWks,FTS_1750_1999_MaOpDv,FTS_1750_1999_Lab,FTS_1750_1999_IDNS,FTS_1750_1999_Tot,FTS_2000_2999_Mng,FTS_2000_2999_Pro,FTS_2000_2999_TecTW,FTS_2000_2999_CoPSW,FTS_2000_2999_ClAW,FTS_2000_2999_SWks,FTS_2000_2999_MaOpDv,FTS_2000_2999_Lab,FTS_2000_2999_IDNS,FTS_2000_2999_Tot,FTS_3000mo_Mng,FTS_3000mo_Pro,FTS_3000mo_TecTW,FTS_3000mo_CoPSW,FTS_3000mo_ClAW,FTS_3000mo_SWks,FTS_3000mo_MaOpDv,FTS_3000mo_Lab,FTS_3000mo_IDNS,FTS_3000mo_Tot,FTS_PINS_Mng,FTS_PINS_Pro,FTS_PINS_TecTW,FTS_PINS_CoPSW,FTS_PINS_ClAW,FTS_PINS_SWks,FTS_PINS_MaOpDv,FTS_PINS_Lab,FTS_PINS_IDNS,FTS_PINS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_IDNS,FTS_Tot_Tot,PTS_NNI_Mng,PTS_NNI_Pro,PTS_NNI_TecTW,PTS_NNI_CoPSW,PTS_NNI_ClAW,PTS_NNI_SWks,PTS_NNI_MaOpDv,PTS_NNI_Lab,PTS_NNI_IDNS,PTS_NNI_Tot,PTS_1_149_Mng,PTS_1_149_Pro,PTS_1_149_TecTW,PTS_1_149_CoPSW,PTS_1_149_ClAW,PTS_1_149_SWks,PTS_1_149_MaOpDv,PTS_1_149_Lab,PTS_1_149_IDNS,PTS_1_149_Tot,PTS_150_299_Mng,PTS_150_299_Pro,PTS_150_299_TecTW,PTS_150_299_CoPSW,PTS_150_299_ClAW,PTS_150_299_SWks,PTS_150_299_MaOpDv,PTS_150_299_Lab,PTS_150_299_IDNS,PTS_150_299_Tot,PTS_300_399_Mng,PTS_300_399_Pro,PTS_300_399_TecTW,PTS_300_399_CoPSW,PTS_300_399_ClAW,PTS_300_399_SWks,PTS_300_399_MaOpDv,PTS_300_399_Lab,PTS_300_399_IDNS,PTS_300_399_Tot
1,93,217,134,744,206,1372,77,835,328,4007,507,3698,1346,13987,2839,31366,1136,14813,871,70558,448,2824,1100,9321,3019,14943,991,5589,499,38731,410,1647,963,5655,2323,6977,689,2840,284,21789,408,1197,1196,4119,1662,4558,472,1996,208,15815,428,1164,1121,3144,1515,2899,325,1240,164,12004,302,836,663,1560,888,1080,168,509,88,6080,268,548,389,715,555,401,88,240,65,3262,133,370,189,261,289,137,36,85,39,1549,53,167,51,115,98,35,9,21,8,558,28,62,22,55,34,34,10,12,4,257,11,25,3,17,15,14,0,3,0,87,3,16,5,16,15,19,6,6,0,95,4,11,9,37,21,48,10,22,6,162,39,147,103,518,180,1076,48,427,426,2958,3143,12917,7288,40278,13665,64948,4050,28630,2991,177911,14,25,56,67,30,56,12,48,40,343,29,155,202,606,179,840,81,422,33,2548,71,270,662,1268,357,1472,130,724,71,5030,105,298,2018,1297,448,1197,125,683,91,6265
2,85,157,138,686,200,1352,61,771,257,3704,576,2535,1292,13730,2485,31340,759,14236,823,67762,502,1890,1002,8794,2535,14896,792,5529,404,36354,413,1061,947,4705,1706,6850,583,3006,198,19471,381,806,954,3121,1275,4058,436,2052,143,13222,365,775,869,2151,1111,2429,302,1134,113,9248,230,498,513,908,543,833,162,483,81,4248,164,344,282,473,350,283,89,175,32,2191,67,191,140,214,149,111,32,71,18,996,22,78,28,62,38,38,10,21,9,306,14,38,17,55,38,27,5,13,4,214,10,12,6,14,7,9,0,7,0,65,9,10,6,18,12,19,3,14,5,99,8,24,7,38,19,77,3,18,16,207,59,117,94,566,147,1247,42,477,360,3101,2909,8538,6288,35529,10619,63571,3275,27992,2456,161182,13,9,48,60,22,44,3,29,25,253,39,104,192,538,122,818,56,417,52,2341,69,169,536,896,275,1229,105,562,56,3886,90,170,1311,804,290,928,94,491,57,4244
3,56,90,102,450,135,774,52,536,172,2361,342,1634,1598,9404,1841,22472,788,10832,551,49458,246,1208,798,5493,1628,9672,613,3804,231,23688,271,729,579,3144,1221,4236,349,1703,87,12323,210,561,643,2302,1005,2740,277,1245,89,9076,240,617,746,1827,925,1723,185,750,52,7069,200,351,461,958,571,617,73,292,30,3564,124,294,244,371,340,191,35,121,21,1741,58,171,114,142,169,66,17,50,8,799,13,91,45,57,35,16,0,19,7,283,7,39,23,20,21,18,3,6,0,137,0,14,14,11,4,5,3,0,4,51,3,11,10,3,9,8,0,3,0,46,3,11,5,22,9,39,3,15,4,113,27,57,86,317,92,707,31,326,226,1864,1800,5869,5472,24508,8008,43288,2443,19697,1478,112564,11,13,13,33,14,28,0,32,17,169,14,51,135,377,87,544,49,305,22,1581,33,121,316,684,179,966,83,444,38,2860,42,108,674,607,250,699,79,355,25,2836
4,13,19,36,154,35,261,16,218,48,804,145,497,297,3464,465,7805,261,4712,164,17809,92,366,210,2269,441,3902,230,1843,74,9433,73,201,167,1238,289,1564,117,729,33,4404,70,148,188,896,234,892,70,424,20,2946,71,146,168,606,186,469,37,203,22,1908,45,82,91,287,104,162,14,81,3,873,32,63,37,144,63,48,5,31,3,431,8,52,17,55,46,29,5,12,7,228,3,14,4,19,17,4,0,0,0,65,3,5,0,13,5,10,0,5,0,47,3,0,0,0,3,0,0,0,0,8,3,0,0,10,3,3,0,0,0,18,0,0,0,3,6,6,0,10,3,37,8,23,22,110,22,250,11,125,58,633,582,1616,1236,9276,1909,15412,769,8389,452,39635,6,3,9,11,6,16,3,12,9,70,6,32,60,158,32,245,19,178,10,744,17,36,130,249,68,423,27,235,16,1209,24,31,257,221,99,260,15,154,5,1060
5,36,42,41,225,50,455,24,280,72,1226,188,784,449,4940,718,12108,425,5677,282,25566,172,547,360,3031,720,5340,383,2288,117,12958,125,317,285,1726,470,2264,232,1163,60,6639,116,215,341,1173,380,1318,154,714,35,4448,107,194,329,833,306,775,111,385,24,3073,81,120,211,410,168,292,54,143,20,1497,62,83,92,186,103,97,24,86,16,746,23,83,58,102,67,36,14,18,7,415,5,42,21,44,16,13,0,8,3,154,5,20,15,21,16,7,3,7,3,97,0,3,4,8,4,7,0,0,0,27,0,5,8,6,0,7,3,6,0,44,0,5,3,14,13,16,8,12,11,74,16,34,35,167,41,352,16,167,105,928,932,2490,2266,12887,3078,23079,1457,10951,756,57896,3,6,10,15,6,14,3,27,4,94,12,47,66,244,56,387,38,209,13,1070,20,69,152,413,118,654,54,291,16,1788,21,55,546,359,106,438,45,225,15,1811
6,6,11,3,35,6,85,3,54,7,217,34,107,88,956,124,2497,74,1207,52,5132,26,73,61,489,102,1005,56,434,29,2263,16,42,42,264,66,331,34,121,7,917,9,30,28,183,55,205,12,80,10,606,15,27,49,149,37,114,14,43,0,455,3,20,30,53,18,32,4,18,0,179,5,13,11,27,14,8,0,7,0,88,0,12,7,6,5,0,0,0,0,35,0,5,0,6,0,3,0,0,0,12,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,3,0,19,5,80,3,37,23,175,122,336,330,2190,430,4358,197,2009,127,10098,0,0,3,0,0,12,0,3,0,23,5,8,13,29,8,63,6,26,4,160,3,15,43,57,17,83,3,47,3,266,0,8,102,58,19,65,0,28,3,282
7,3,3,0,20,4,39,0,17,12,93,6,39,41,221,41,700,11,267,25,1348,5,20,22,99,34,278,11,89,4,561,3,7,20,66,15,103,15,66,6,305,4,6,13,67,10,63,10,44,5,225,6,7,26,47,15,24,4,17,0,146,0,7,46,36,27,14,0,9,0,152,3,13,16,19,13,6,0,13,0,85,3,20,10,13,11,3,0,3,0,65,0,5,6,0,3,0,0,0,0,19,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,16,0,15,17,66,45,130,203,606,177,1247,52,550,76,3082,0,0,3,0,0,0,0,5,0,9,0,0,8,7,3,13,0,4,0,35,0,3,13,12,4,22,3,14,3,85,3,3,27,9,9,17,3,13,7,85
8,0,24,7,62,10,58,4,41,11,222,57,311,134,1529,174,2324,80,903,65,5572,53,189,74,1114,279,1141,68,400,23,3345,34,126,56,607,171,541,32,139,17,1726,35,106,64,468,181,352,17,123,14,1362,218,127,68,354,145,279,15,67,8,1291,246,89,47,185,102,79,6,29,13,799,198,60,20,80,77,45,6,15,0,500,111,59,12,50,46,10,0,0,6,290,33,26,0,12,27,3,0,4,3,116,12,5,0,8,13,4,0,0,3,38,3,4,0,3,3,0,0,0,0,13,7,3,0,4,4,0,0,0,0,17,4,3,0,7,0,3,0,0,0,19,9,6,3,46,13,48,3,20,22,171,1021,1142,498,4533,1239,4890,236,1748,186,15489,0,0,3,0,0,0,0,0,0,15,0,14,9,37,13,42,3,21,3,135,3,12,32,99,14,84,3,29,3,273,6,11,77,82,22,70,8,35,0,304
9,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,6,0,5,0,20,0,0,0,7,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,12,0,11,4,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
