STE_CODE_2016,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
1,23408,118,177,70,284,24064,85996,1428,2473,243,677,90814,135861,6379,6800,398,940,150386,151360,12880,9927,739,946,175853,138168,16861,11594,893,1015,168521,130229,20426,13624,1163,1191,166627,118092,21147,14357,1351,1200,156140,108406,20465,15292,1639,1228,147033,90400,16569,13941,1735,1050,123691,50963,10844,10095,1549,755,74210,16764,5884,5300,1283,409,29644,3458,2290,2174,856,172,8948,1119,1066,1369,812,143,4507,1054224,136352,107117,12746,10003,1320448,46411,139,617,577,457,48200,56207,466,1952,509,482,59617,32732,1067,2981,386,373,37536,22105,1669,3745,448,300,28270,16775,2039,4234,474,285,23810,15257,2513,5093,613,296,23767,14692,2710,5575,670,325,23974,15368,3042,6331,767,404,25907,16313,3224,6828,867,344,27570,16819,3744,7068,1094,357,29078,10949,3386,5267,1319,316,21237,5142,1897,2737,1057,195,11030,2352,1193,1799,1232,163,6736,271117,27085,54242,9998,4305,366748,33458,2648,3957,1118,951,42130,26746,2652,3193,1444,4450,38483,1385538,168744,168510,25312,19708,1767809,10858,38,80,28,118,11122,66412,326,945,110,379,68171,110527,1399
2,14194,60,128,52,163,14595,65410,988,2461,181,605,69644,112052,5193,6757,455,860,125318,125103,10893,8945,680,918,146539,112548,13889,9049,857,902,137247,104557,16614,10241,1066,1023,133504,97852,18507,11075,1300,1056,129792,86544,17554,10841,1414,1077,117432,70739,14695,10196,1376,859,97864,41701,9406,6937,1232,681,59957,12835,4989,3694,919,324,22762,2541,1872,1486,611,148,6661,916,889,952,514,93,3365,846991,115562,82759,10658,8711,1064675,39654,144,362,493,378,41025,51461,422,1692,493,415,54485,28654,823,2679,401,317,32868,18722,1407,3147,411,268,23957,13793,1682,3425,449,261,19608,12440,1967,3959,478,272,19119,11953,2279,4337,602,270,19436,11718,2279,4440,616,271,19323,12406,2626,5014,705,269,21014,13245,3246,5576,880,267,23212,9444,2735,4043,1028,269,17526,4112,1573,2023,838,159,8702,1968,853,1421,868,126,5240,229571,22035,42118,8253,3538,305518,27694,2646,3157,896,922,35315,21062,2142,2526,1203,3414,30346,1125321,142389,130563,21010,16577,1435860,5229,18,50,14,54,5374,48384,275,666,76,272,49674,91868,1105
3,16741,44,187,77,146,17202,61947,814,1752,152,408,65083,82748,3466,4391,244,415,91264,88782,7251,6016,476,553,103083,82116,9284,6613,687,583,99290,82699,11994,8003,927,732,104357,78414,12866,8742,1154,690,101869,70087,11948,9003,1321,660,93016,56231,10235,8483,1344,604,76889,33254,6888,6336,1213,459,48143,10158,3446,3359,1051,230,18246,1924,1274,1366,682,118,5371,632,543,765,563,92,2593,665750,80044,65023,9898,5690,826409,37220,96,386,449,278,38432,33389,231,1144,276,231,35267,19244,494,1794,227,160,21924,13388,801,2053,276,145,16659,10496,1045,2350,293,168,14351,10007,1296,2921,375,138,14745,9714,1533,3344,421,161,15167,9226,1577,3643,483,196,15132,9542,1757,3986,611,211,16106,9533,1858,4181,698,194,16472,6419,1701,3069,835,149,12167,2864,895,1499,646,99,5997,1220,501,874,620,88,3302,172257,13777,31254,6212,2231,225728,24956,1551,2365,731,566,30165,15633,1206,1675,945,2371,21837,878597,96581,100315,17792,10859,1104143,9104,27,74,33,73,9304,46558,240,647,97,185,47729,61481,874
4,3965,13,60,25,47,4107,17908,261,687,61,149,19071,26186,1020,1853,113,198,29366,29188,1967,2436,174,220,33979,26751,2664,2673,245,188,32519,27169,3208,3104,356,258,34086,27088,3734,3714,432,315,35283,24944,3622,3962,496,250,33270,21398,3182,3754,481,266,29085,12829,2217,2838,466,209,18564,3464,1224,1457,397,86,6624,595,425,549,206,36,1813,244,214,271,163,36,931,221721,23754,27349,3621,2253,278700,11465,33,131,147,103,11876,12984,84,480,123,106,13775,7368,148,723,93,75,8405,5518,299,888,95,71,6867,4317,323,987,127,72,5832,4027,392,1141,145,72,5789,3933,474,1424,151,93,6069,4093,486,1574,182,90,6426,4126,494,1860,198,83,6763,4115,635,1831,273,101,6950,2732,622,1492,359,65,5267,1162,309,775,314,54,2611,506,210,434,337,29,1519,66352,4504,13743,2540,1015,88152,9086,642,1174,314,249,11463,4579,331,640,318,855,6724,301743,29226,42911,6791,4374,385046,1705,5,21,6,15,1751,12129,44,154,37,70,12433,19192,223
5,7776,22,70,22,82,7981,30238,391,1015,101,213,31957,49599,1760,2713,148,266,54486,56766,3674,3761,268,357,64826,49922,4712,3925,316,305,59173,47739,5601,4484,415,334,58567,45745,6258,5104,571,401,58078,40444,5984,5283,585,363,52660,32262,5049,4605,622,314,42859,19486,3249,3248,518,243,26738,6326,1671,1609,395,145,10143,1166,615,578,266,42,2661,353,290,329,186,26,1182,387815,39284,36720,4399,3093,471316,17443,49,217,226,131,18065,18334,132,773,173,128,19537,10595,289,1161,127,95,12263,7438,478,1450,146,78,9591,5485,549,1442,163,95,7740,4955,693,1668,208,77,7602,4642,889,1983,226,95,7829,4445,899,2195,227,106,7870,4518,983,2384,303,91,8276,4932,1194,2700,413,105,9344,3776,1072,1955,507,96,7413,1820,552,879,409,62,3720,869,294,575,379,63,2178,89256,8077,19386,3495,1222,121429,19692,1011,1751,458,394,23308,8750,570,970,383,1137,11815,505513,48939,58826,8738,5850,627870,3962,14,27,10,37,4044,22796,98,306,31,129,23363,36173,422
6,1639,7,10,0,27,1680,5547,46,171,21,48,5832,6969,204,442,25,42,7686,7390,455,660,46,58,8609,6942,595,681,53,66,8338,7330,768,911,80,78,9166,7784,962,1055,94,96,9991,7575,932,1062,127,92,9790,6579,852,1112,160,85,8790,3646,612,863,126,50,5295,933,322,409,110,21,1794,156,121,138,76,10,502,48,59,96,50,11,269,62533,5949,7609,958,692,77738,3353,5,20,27,33,3444,3085,7,86,17,38,3241,1805,35,143,22,16,2019,1444,41,229,21,25,1761,1228,54,261,31,12,1584,1317,82,342,32,23,1798,1357,98,417,45,32,1949,1418,131,511,46,28,2137,1513,158,633,83,33,2419,1589,184,634,92,43,2548,951,175,453,124,27,1737,385,75,229,97,10,794,163,59,177,99,16,520,19610,1099,4150,738,346,25943,2954,187,430,90,114,3777,1445,95,195,93,278,2113,86543,7324,12390,1884,1429,109567,762,0,5,0,8,779,3639,13,54,3,21,3734,4525,49
7,888,3,5,0,18,915,3785,30,52,3,30,3899,6082,103,136,10,37,6369,6341,226,191,16,43,6822,5355,332,229,21,33,5968,4907,387,248,18,38,5601,4734,434,300,18,43,5526,4200,416,274,44,39,4978,3476,335,247,33,25,4120,2246,258,166,32,28,2730,794,136,109,19,13,1064,174,51,39,20,6,289,62,21,19,9,3,104,43039,2722,2013,247,353,48383,1247,5,10,17,14,1294,946,7,20,6,11,992,847,17,49,10,12,927,702,20,63,6,7,794,544,34,70,3,11,664,504,31,70,3,9,612,475,43,80,9,11,616,428,52,109,15,5,610,404,51,109,10,7,577,349,44,123,14,12,539,249,42,87,21,3,397,93,17,37,13,3,160,43,10,15,15,0,79,6831,361,835,131,110,8263,2350,102,118,24,47,2635,1306,47,59,45,132,1586,53522,3239,3023,447,643,60869,646,0,0,0,3,651,2698,6,21,4,15,2750,4408,40
8,1266,5,13,8,3,1294,6017,79,135,5,25,6261,9989,364,294,12,34,10691,11398,678,404,23,38,12536,10555,781,395,28,37,11794,10007,903,425,37,50,11413,9553,996,463,32,41,11086,8276,841,461,37,31,9640,6207,658,379,39,34,7317,3180,448,295,27,20,3965,1127,245,153,23,16,1566,202,88,49,12,4,354,57,40,16,7,4,127,77830,6111,3485,292,335,88055,3574,12,31,19,21,3663,4045,19,90,24,17,4199,1940,35,115,15,12,2119,1575,61,141,18,11,1804,1313,76,150,23,11,1576,1070,112,182,15,11,1393,913,103,184,28,7,1235,819,111,201,18,13,1161,895,126,230,24,12,1281,876,141,277,34,17,1343,657,145,231,41,14,1089,276,72,108,29,12,497,130,34,60,30,0,257,18079,1052,2001,319,159,21612,3075,112,149,33,45,3420,1523,97,98,32,148,1890,100509,7374,5737,679,679,114980,890,0,7,0,6,901,5437,18,35,3,14,5511,9438,75
9,17,0,0,0,0,21,66,0,0,0,0,71,94,0,8,0,0,102,106,5,4,0,3,118,120,3,10,0,3,140,110,4,11,0,3,129,107,9,18,3,3,136,125,3,19,3,6,155,115,16,15,4,3,147,79,3,11,3,0,101,55,5,9,0,0,75,15,0,3,0,0,17,3,0,5,0,0,13,1009,53,113,19,19,1215,19,0,0,0,0,19,18,0,0,0,0,23,18,0,4,0,0,21,16,0,3,0,0,19,19,0,0,0,0,22,5,0,0,0,0,9,14,0,4,0,0,26,25,5,5,0,0,38,10,0,10,0,0,21,12,3,4,0,0,24,15,9,4,3,3,30,3,0,3,0,0,5,5,0,3,0,0,10,184,15,44,9,9,260,105,4,7,4,0,119,24,3,3,3,10,43,1324,76,161,32,41,1633,3,0,0,0,0,10,37,0,0,0,0,37,63,0
