STE_CODE_2016,M2_BusFer_Mng,M2_BusFer_Pro,M2_BusFer_TecTW,M2_BusFer_CoPSW,M2_BusFer_ClAW,M2_BusFer_SWks,M2_BusFer_MaOpDv,M2_BusFer_Lab,M2_BusFer_IDNS,M2_BusFer_Tot,M2_BusTrm_Inc_LR_Mng,M2_BusTrm_Inc_LR_Pro,M2_BusTrm_Inc_LR_TecTW,M2_BusTrm_Inc_LR_CoPSW,M2_BusTrm_Inc_LR_ClAW,M2_BusTrm_Inc_LR_SWks,M2_BusTrm_Inc_LR_MaOpDv,M2_BusTrm_Inc_LR_Lab,M2_BusTrm_Inc_LR_IDNS,M2_BusTrm_Inc_LR_Tot,M2_BusCarAsDriv_Mng,M2_BusCarAsDriv_Pro,M2_BusCarAsDriv_TecTW,M2_BusCarAsDriv_CoPSW,M2_BusCarAsDriv_ClAW,M2_BusCarAsDriv_SWks,M2_BusCarAsDriv_MaOpDv,M2_BusCarAsDriv_Lab,M2_BusCarAsDriv_IDNS,M2_BusCarAsDriv_Tot,M2_BusCarAsPas_Mng,M2_BusCarAsPas_Pro,M2_BusCarAsPas_TecTW,M2_BusCarAsPas_CoPSW,M2_BusCarAsPas_ClAW,M2_BusCarAsPas_SWks,M2_BusCarAsPas_MaOpDv,M2_BusCarAsPas_Lab,M2_BusCarAsPas_IDNS,M2_BusCarAsPas_Tot,M2_BusOth_Mng,M2_BusOth_Pro,M2_BusOth_TecTW,M2_BusOth_CoPSW,M2_BusOth_ClAW,M2_BusOth_SWks,M2_BusOth_MaOpDv,M2_BusOth_Lab,M2_BusOth_IDNS,M2_BusOth_Tot,M2_Bus_and_Tot_Mng,M2_Bus_and_Tot_Pro,M2_Bus_and_Tot_TecTW,M2_Bus_and_Tot_CoPSW,M2_Bus_and_Tot_ClAW,M2_Bus_and_Tot_SWks,M2_Bus_and_Tot_MaOpDv,M2_Bus_and_Tot_Lab,M2_Bus_and_Tot_IDNS,M2_Bus_and_Tot_Tot,M2_Oth_M2_Mng,M2_Oth_M2_Pro,M2_Oth_M2_TecTW,M2_Oth_M2_CoPSW,M2_Oth_M2_ClAW,M2_Oth_M2_SWks,M2_Oth_M2_MaOpDv,M2_Oth_M2_Lab,M2_Oth_M2_IDNS,M2_Oth_M2_Tot,M2_Tot_M2_Mng,M2_Tot_M2_Pro,M2_Tot_M2_TecTW,M2_Tot_M2_CoPSW,M2_Tot_M2_ClAW,M2_Tot_M2_SWks,M2_Tot_M2_MaOpDv,M2_Tot_M2_Lab,M2_Tot_M2_IDNS,M2_Tot_M2_Tot,M3_Trn_2_OthM_Mng,M3_Trn_2_OthM_Pro,M3_Trn_2_OthM_TecTW,M3_Trn_2_OthM_CoPSW,M3_Trn_2_OthM_ClAW,M3_Trn_2_OthM_SWks,M3_Trn_2_OthM_MaOpDv,M3_Trn_2_OthM_Lab,M3_Trn_2_OthM_IDNS,M3_Trn_2_OthM_Tot,M3_Bus_2_OthM_ex_trn_Mng,M3_Bus_2_OthM_ex_trn_Pro,M3_Bus_2_OthM_ex_trn_TecTW,M3_Bus_2_OthM_ex_trn_CoPSW,M3_Bus_2_OthM_ex_trn_ClAW,M3_Bus_2_OthM_ex_trn_SWks,M3_Bus_2_OthM_ex_trn_MaOpDv,M3_Bus_2_OthM_ex_trn_Lab,M3_Bus_2_OthM_ex_trn_IDNS,M3_Bus_2_OthM_ex_trn_Tot,M3_Oth_M3_Mng,M3_Oth_M3_Pro,M3_Oth_M3_TecTW,M3_Oth_M3_CoPSW,M3_Oth_M3_ClAW,M3_Oth_M3_SWks,M3_Oth_M3_MaOpDv,M3_Oth_M3_Lab,M3_Oth_M3_IDNS,M3_Oth_M3_Tot,M3_Tot_M3_Mng,M3_Tot_M3_Pro,M3_Tot_M3_TecTW,M3_Tot_M3_CoPSW,M3_Tot_M3_ClAW,M3_Tot_M3_SWks,M3_Tot_M3_MaOpDv,M3_Tot_M3_Lab,M3_Tot_M3_IDNS,M3_Tot_M3_Tot,Wkd_at_home_Mng,Wkd_at_home_Pro,Wkd_at_home_TecTW,Wkd_at_home_CoPSW,Wkd_at_home_ClAW,Wkd_at_home_SWks,Wkd_at_home_MaOpDv,Wkd_at_home_Lab,Wkd_at_home_IDNS,Wkd_at_home_Tot,Did_not_go_to_work_Mng,Did_not_go_to_work_Pro,Did_not_go_to_work_TecTW,Did_not_go_to_work_CoPSW,Did_not_go_to_work_ClAW,Did_not_go_to_work_SWks,Did_not_go_to_work_MaOpDv,Did_not_go_to_work_Lab,Did_not_go_to_work_IDNS,Did_not_go_to_work_Tot,Meth_of_trav_NS_Mng,Meth_of_trav_NS_Pro,Meth_of_trav_NS_TecTW,Meth_of_trav_NS_CoPSW,Meth_of_trav_NS_ClAW,Meth_of_trav_NS_SWks,Meth_of_trav_NS_MaOpDv,Meth_of_trav_NS_Lab,Meth_of_trav_NS_IDNS,Meth_of_trav_NS_Tot,Tot_Mng,Tot_Pro,Tot_TecTW,Tot_CoPSW,Tot_ClAW,Tot_SWks,Tot_MaOpDv,Tot_Lab,Tot_IDNS,Tot_Tot
1,337,667,37,50,195,78,4,24,28,1417,65,159,37,65,56,38,3,26,10,457,951,2154,330,394,1113,443,190,157,95,5822,298,729,211,523,532,815,120,524,49,3798,234,614,111,154,198,113,68,100,36,1632,1884,4325,727,1179,2095,1480,385,839,219,13124,2906,4079,3171,1579,1710,1357,1837,2169,343,19162,18812,46226,12256,11204,25589,11102,5062,10530,2430,143201,1858,5099,1330,1506,2342,1172,429,1047,348,15138,185,400,82,134,120,129,35,54,29,1151,312,225,111,53,59,46,42,71,17,937,2349,5727,1521,1688,2518,1348,512,1169,396,17230,43433,50254,10648,10496,32625,7351,1475,3943,3227,163450,22436,63749,23863,48921,39253,45169,14771,28394,4026,290589,2566,3537,3456,3003,2540,2501,1961,3428,10816,33798,453169,793185,425988,348552,463171,310367,205585,296302,61874,3358185
2,3,0,3,4,0,0,0,0,0,11,267,875,184,360,418,324,72,241,35,2777,166,427,150,209,223,194,114,139,22,1638,44,180,135,337,135,649,66,385,26,1958,28,113,42,88,43,71,38,63,10,488,503,1592,516,992,811,1235,292,831,103,6874,2498,4345,2521,1594,1753,1346,1431,1789,300,17584,11993,34067,8270,7956,17846,7719,2987,7058,1567,99458,1917,7171,1491,1618,3593,1459,348,1370,332,19303,72,181,73,72,91,115,19,85,11,715,248,291,98,69,57,75,40,62,32,968,2244,7645,1658,1758,3738,1642,407,1517,375,20988,34460,38661,9184,8665,24016,5558,1167,2702,2375,126788,19563,55622,20800,42857,33034,41790,10285,25333,3406,252693,2210,2736,2824,2329,1925,2036,1517,2554,8232,26349,369522,634779,356926,288929,362756,265348,158617,246705,46754,2730338
3,80,238,133,57,111,42,35,113,12,813,29,68,46,114,70,137,3,128,8,585,458,1569,381,368,1127,307,337,196,55,4803,165,587,153,420,452,614,93,410,39,2947,79,322,99,127,102,87,82,93,19,1006,815,2788,809,1086,1857,1188,553,938,127,10146,1872,3094,2723,1520,1385,1132,1552,1986,252,15516,5027,13376,5171,4261,9018,3694,2521,4315,716,48098,306,1169,363,385,715,286,127,326,105,3782,158,347,476,173,171,150,204,228,31,1942,213,244,136,81,66,36,67,85,13,939,679,1761,972,640,948,474,402,647,150,6659,30459,27757,8368,7140,24632,6625,1351,3584,2036,111955,14311,40518,21801,32967,26419,30671,13832,22674,2602,205784,1468,1552,2026,1716,1359,1362,1259,2137,5948,18832,257478,423068,303466,242022,291171,207578,146529,225068,34480,2130860
4,0,0,0,0,0,0,0,3,0,3,23,90,18,44,67,25,7,40,5,319,246,998,207,252,839,210,93,124,44,3014,70,246,68,161,189,226,27,222,19,1230,22,116,28,45,59,29,17,44,6,366,361,1457,325,494,1159,480,139,431,79,4924,701,1210,812,527,793,346,428,613,87,5528,1398,3787,1486,1442,2919,1184,642,1454,234,14549,56,188,85,115,181,80,21,75,26,823,37,121,45,57,69,57,8,35,3,430,85,75,41,24,26,4,14,13,4,303,180,384,171,190,277,140,47,127,36,1555,10413,7679,2708,1898,6216,1399,411,1233,552,32509,5711,15576,7116,14625,9977,12047,4013,9393,939,79383,503,645,591,641,444,524,378,792,2041,6561,93652,150374,99351,89379,99352,71586,45147,82519,11456,742831
5,3,15,4,11,9,0,0,3,0,41,0,3,0,0,0,0,0,0,0,9,162,560,207,123,348,97,198,127,32,1850,65,241,127,193,129,308,47,268,15,1389,52,164,191,49,59,28,132,75,5,763,286,980,534,379,546,435,373,473,58,4056,758,1270,1505,587,542,499,902,831,129,7014,3677,10992,4249,2982,7356,2840,1675,2972,567,37308,390,1370,508,475,1028,401,95,374,67,4712,41,92,141,52,25,44,82,59,8,538,78,79,57,26,34,17,31,37,10,353,503,1541,708,554,1088,458,208,474,80,5607,12857,12911,4095,3054,11215,2189,674,1457,929,49376,8160,22577,16591,17384,13923,15357,10520,13017,1646,119178,1024,1433,2145,1062,958,801,1391,1396,3020,13236,139600,238004,191097,122847,150539,102203,88666,113951,19337,1166240
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,109,30,38,140,41,18,17,7,437,11,48,26,44,46,84,6,60,10,336,10,13,6,20,14,15,0,8,0,92,53,176,65,108,202,141,27,89,18,868,191,363,204,121,134,103,121,164,15,1414,253,557,278,232,343,248,149,257,38,2349,3,9,0,0,0,0,0,0,0,14,11,21,6,20,11,11,4,5,3,97,12,26,10,7,8,0,5,6,3,81,28,61,17,27,22,11,12,14,4,191,3124,2470,970,703,1730,362,144,348,182,10038,1713,4600,2209,4362,3123,4031,1261,3328,319,24945,177,176,225,227,141,150,128,293,717,2227,26340,40533,30008,26643,28099,21359,13546,25088,3746,215365
7,0,4,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,65,388,19,66,17,120,264,14,976,9,25,40,32,36,31,8,41,4,229,5,23,97,9,6,5,33,32,4,213,41,108,530,57,109,55,164,332,26,1427,114,230,181,141,101,46,91,79,21,998,160,342,721,200,216,101,258,409,47,2458,0,3,4,3,0,0,7,5,0,16,9,24,25,14,9,9,28,16,0,140,16,15,6,9,14,6,9,4,3,81,26,40,41,25,20,17,42,27,3,237,706,631,268,263,594,101,33,171,46,2810,740,1876,1388,1422,1070,787,560,756,171,8783,93,163,201,164,112,67,70,162,558,1590,13108,21978,18803,14435,14461,7144,6713,10452,2664,109749
8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,145,370,34,56,279,47,4,17,23,963,74,191,35,87,130,110,0,72,17,725,42,116,18,28,43,23,8,13,7,293,264,683,89,171,449,179,7,103,45,1992,330,604,173,163,290,80,36,83,49,1815,613,1328,275,347,763,266,54,199,99,3938,13,19,3,3,3,0,0,0,0,44,15,54,8,24,29,24,3,7,3,177,29,28,10,9,11,3,0,6,0,101,58,106,21,35,42,25,3,18,7,314,1152,2833,391,516,1206,185,34,71,151,6546,2614,6112,1290,3434,3852,2803,417,1150,459,22144,121,221,131,136,131,83,55,85,451,1417,36690,68612,21319,23787,39826,15232,5131,11104,5756,227464
9,0,5,0,6,5,0,0,3,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,0,0,3,4,22,5,10,6,0,0,0,0,5,3,28,9,11,9,6,6,0,0,5,3,54,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,3,0,0,0,0,4,0,5,0,3,6,3,0,0,0,5,0,11,51,23,10,0,11,0,0,7,0,118,55,75,40,48,32,13,14,26,3,301,7,0,7,4,0,3,3,12,9,48,493,426,454,414,304,141,175,331,84,2804
