STE_CODE_2016,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_15,TaTW_1000_1249_H_16_24,TaTW_1000_1249_H_25_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40,TaTW_1000_1249_H_41_48,TaTW_1000_1249_H_49mo,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_15,TaTW_1250_1499_H_16_24,TaTW_1250_1499_H_25_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40,TaTW_1250_1499_H_41_48,TaTW_1250_1499_H_49mo,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_15,TaTW_1500_1749_H_16_24,TaTW_1500_1749_H_25_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40,TaTW_1500_1749_H_41_48,TaTW_1500_1749_H_49mo,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_15,TaTW_1750_1999_H_16_24,TaTW_1750_1999_H_25_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40,TaTW_1750_1999_H_41_48,TaTW_1750_1999_H_49mo,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_15,TaTW_2000_2999_H_16_24,TaTW_2000_2999_H_25_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40,TaTW_2000_2999_H_41_48,TaTW_2000_2999_H_49mo,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000mo_H_0,TaTW_3000mo_H_1_15,TaTW_3000mo_H_16_24,TaTW_3000mo_H_25_34,TaTW_3000mo_H_35_39,TaTW_3000mo_H_40,TaTW_3000mo_H_41_48,TaTW_3000mo_H_49mo,TaTW_3000mo_H_NS,TaTW_3000mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_15,TaTW_PINS_H_16_24,TaTW_PINS_H_25_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40,TaTW_PINS_H_41_48,TaTW_PINS_H_49mo,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_15,TaTW_Tot_H_16_24,TaTW_Tot_H_25_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40,TaTW_Tot_H_41_48,TaTW_Tot_H_49mo,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_15,CoPSW_NNI_H_16_24,CoPSW_NNI_H_25_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40,CoPSW_NNI_H_41_48,CoPSW_NNI_H_49mo,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_15,CoPSW_1_149_H_16_24,CoPSW_1_149_H_25_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40,CoPSW_1_149_H_41_48,CoPSW_1_149_H_49mo,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_15,CoPSW_150_299_H_16_24,CoPSW_150_299_H_25_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40,CoPSW_150_299_H_41_48,CoPSW_150_299_H_49mo,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_15,CoPSW_300_399_H_16_24,CoPSW_300_399_H_25_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40,CoPSW_300_399_H_41_48,CoPSW_300_399_H_49mo,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_15,CoPSW_400_499_H_16_24,CoPSW_400_499_H_25_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40,CoPSW_400_499_H_41_48,CoPSW_400_499_H_49mo,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_15,CoPSW_500_649_H_16_24,CoPSW_500_649_H_25_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40,CoPSW_500_649_H_41_48,CoPSW_500_649_H_49mo,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_15,CoPSW_650_799_H_16_24,CoPSW_650_799_H_25_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40,CoPSW_650_799_H_41_48,CoPSW_650_799_H_49mo,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_15,CoPSW_800_999_H_16_24,CoPSW_800_999_H_25_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40,CoPSW_800_999_H_41_48,CoPSW_800_999_H_49mo,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_15,CoPSW_1000_1249_H_16_24,CoPSW_1000_1249_H_25_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40,CoPSW_1000_1249_H_41_48,CoPSW_1000_1249_H_49mo,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_15,CoPSW_1250_1499_H_16_24,CoPSW_1250_1499_H_25_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40,CoPSW_1250_1499_H_41_48,CoPSW_1250_1499_H_49mo,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_15,CoPSW_1500_1749_H_16_24,CoPSW_1500_1749_H_25_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40,CoPSW_1500_1749_H_41_48,CoPSW_1500_1749_H_49mo,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_15,CoPSW_1750_1999_H_16_24,CoPSW_1750_1999_H_25_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40,CoPSW_1750_1999_H_41_48,CoPSW_1750_1999_H_49mo,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot
1,1445,1226,1898,3565,18026,23425,10019,11304,926,71820,974,677,877,1836,10074,15090,7638,9298,500,46959,780,412,549,1150,6797,10755,5983,8843,372,35644,497,235,270,525,3669,5968,3864,6357,207,21596,670,227,328,498,3492,5834,4918,9582,204,25763,272,106,137,195,795,1207,1037,3427,106,7278,159,400,375,434,1206,1644,568,1035,1183,7010,10107,23142,28839,32586,92239,111426,50795,69069,7784,425988,265,942,263,196,124,126,45,181,133,2263,1175,16322,1363,349,118,107,40,136,427,20036,1161,16060,5543,1440,366,325,141,293,569,25897,1030,10690,10255,3009,942,690,274,465,584,27941,1094,7320,13184,5883,1653,1157,454,751,608,32102,1675,6161,13777,14524,5160,2892,1088,1513,773,47555,1616,3214,7669,15839,11822,5912,2155,2669,749,51640,1511,1861,4028,10591,13565,8648,3414,3293,634,47549,1205,973,2092,4810,9968,7790,3825,3890,416,34962,741,463,833,1860,4678,3914,2627,2749,234,18097,755,290,472,1057,3388,2807,2632,2317,160,13877,540,152,257,527,2920,1969,1685,1644,78,9768
2,1378,922,1311,3123,16688,20212,8673,8514,744,61567,880,501,641,1556,8498,13278,6139,6877,415,38777,634,316,394,826,5237,9326,4713,6288,286,28019,400,139,199,464,2786,5344,3184,4434,158,17103,535,156,219,446,2689,5124,3729,6353,150,19391,233,105,113,168,679,951,733,2427,73,5482,176,324,364,457,1234,1777,578,913,1031,6858,8931,20113,22747,28022,80557,97567,41741,50937,6309,356926,255,841,230,159,83,122,48,148,122,2012,994,16497,1145,330,113,95,35,130,436,19787,1112,15437,4763,1298,293,263,108,281,520,24082,928,9557,8580,2584,665,458,196,397,445,23816,977,6645,10694,5350,1201,823,327,544,478,27033,1524,5439,11151,13007,4146,1959,819,1180,669,39892,1562,2617,6185,12705,10022,4124,1815,1786,558,41375,1370,1480,3508,8704,11423,6030,2688,2464,474,38131,1173,906,1664,4318,7687,6113,2906,2868,347,27984,753,377,648,1625,3662,4049,2170,2182,173,15641,691,191,302,708,1789,2816,1814,1838,95,10247,476,113,142,282,747,2367,1272,1279,54,6733
3,1178,723,1075,2659,13652,14978,8301,8800,598,51968,894,403,537,1367,7497,9925,6576,7792,331,35316,713,282,311,797,4674,6976,4922,7668,243,26575,566,163,216,440,2476,4064,3146,5864,170,17103,988,194,269,468,2461,3938,4518,10446,212,23491,414,123,130,179,566,810,1094,4212,82,7600,132,206,216,307,846,982,420,947,725,4784,8638,15443,15845,23054,66105,68985,41068,59782,4548,303466,162,634,157,98,66,58,21,135,54,1393,804,11234,893,233,60,85,37,91,269,13714,771,10263,3428,1097,250,192,71,214,301,16593,696,6772,6144,2200,475,340,143,328,302,17400,806,4785,8463,5073,1000,614,280,478,377,21879,1295,4100,8871,13982,4338,1651,761,1209,527,36734,1326,2111,4895,13154,10444,3484,1603,1873,458,39341,1162,1135,2508,7095,10171,4842,2617,2524,376,32421,1068,583,1303,3406,6631,5099,3026,3158,256,24542,671,264,477,1263,3216,3311,1941,2193,158,13494,524,173,269,581,1882,2513,1474,1837,92,9348,305,83,118,224,1054,1819,874,1274,44,5798
4,477,268,359,1047,5158,5135,2807,2346,141,17735,319,141,175,465,2657,3216,1963,2059,100,11101,223,74,107,242,1606,2146,1302,1810,55,7560,157,36,62,114,751,1033,822,1343,45,4360,224,67,79,120,630,909,852,2064,42,4985,74,22,42,36,116,174,150,640,11,1265,26,106,74,112,302,292,113,182,207,1413,3005,5952,6136,9210,24638,22382,12135,14503,1389,99351,56,235,56,43,29,17,4,37,32,511,336,4253,286,76,23,14,9,31,82,5112,378,4399,1094,332,68,54,19,65,107,6516,321,3081,1981,698,151,108,35,100,108,6577,365,2334,3060,1658,322,143,83,171,118,8260,555,1849,3830,4796,1177,398,220,388,213,13423,529,923,2130,5173,2767,837,460,542,152,13504,481,489,1047,3396,3671,1335,774,756,138,12087,393,255,589,1568,2993,1480,954,936,85,9258,249,98,215,503,1323,971,565,588,43,4560,164,74,83,222,615,802,533,483,34,3011,150,38,51,87,275,761,385,356,19,2118
5,780,709,815,1872,7740,8606,4017,4257,403,29202,717,367,453,1081,4814,6683,3443,4499,255,22310,666,278,340,676,3140,5181,3156,5216,207,18864,560,177,191,366,1747,3108,2286,4856,148,13435,1589,365,372,462,2261,3609,3947,12478,302,25390,1305,239,250,221,737,1083,1339,9076,170,14426,129,153,127,184,425,603,222,569,438,2854,7807,9854,10405,13104,35222,42119,23125,46389,3062,191097,107,348,102,70,27,37,19,63,30,798,413,6406,457,128,47,42,14,38,139,7677,391,5949,1787,511,151,91,30,97,146,9156,354,3888,3152,967,212,165,50,120,164,9082,447,2648,4042,1995,457,283,88,200,187,10338,623,2160,4654,4958,1591,686,291,469,221,15652,620,1188,2553,5673,3841,1425,572,690,219,16790,607,697,1519,4279,4962,2347,1022,1148,248,16835,513,427,766,2063,3656,2490,1174,1530,150,12760,322,150,272,693,1694,1568,828,1213,81,6813,338,116,151,332,961,1807,904,1142,53,5810,298,62,86,148,418,1535,790,797,31,4166
6,143,66,110,295,1400,1746,821,684,49,5320,96,39,47,152,711,993,544,569,30,3179,71,32,32,80,393,604,379,467,24,2084,47,15,14,38,189,288,254,316,14,1163,45,12,19,18,132,201,271,362,7,1065,13,14,10,13,18,32,21,101,5,226,13,26,18,36,90,81,26,52,57,400,942,2012,1897,2733,7176,7418,3588,3813,428,30008,20,50,11,6,9,6,0,15,3,122,117,1159,75,20,8,6,3,20,18,1422,127,1174,327,82,18,15,10,22,47,1825,103,952,629,210,56,34,23,38,43,2090,126,717,1092,514,131,60,35,62,41,2783,202,618,1268,1502,339,148,101,134,53,4363,168,282,727,1556,796,316,140,171,47,4203,127,152,378,975,824,446,253,225,40,3418,127,77,164,516,715,422,251,279,23,2574,65,32,64,169,364,249,172,185,15,1315,62,31,40,54,228,203,158,167,8,948,50,10,18,44,164,161,120,128,3,688
7,91,52,41,92,682,736,357,483,45,2587,77,36,29,65,477,586,366,587,28,2243,91,16,20,64,353,542,302,612,26,2040,69,13,12,31,225,275,226,588,10,1448,183,45,36,43,194,300,309,1893,42,3042,182,22,19,35,76,101,121,1918,26,2500,21,18,10,9,42,54,33,95,58,340,848,574,585,815,3173,3567,2128,6764,343,18803,3,28,7,9,9,4,3,5,6,78,16,268,50,11,13,11,6,7,13,398,25,245,133,90,58,23,0,18,25,618,21,174,199,87,48,21,5,17,16,592,24,138,272,163,87,32,9,33,16,766,40,125,275,361,209,113,51,69,35,1266,59,81,145,353,485,220,109,116,32,1601,103,47,95,251,680,405,200,274,43,2103,110,31,75,155,636,428,291,372,41,2142,86,21,37,69,407,338,224,330,27,1531,84,17,24,39,216,250,161,239,17,1048,61,13,12,16,112,169,111,204,10,704
8,83,69,97,190,1099,1162,541,559,32,3833,81,54,59,110,708,862,418,490,26,2808,60,24,28,81,596,713,351,483,18,2367,32,9,20,30,291,346,187,306,13,1230,39,21,16,35,293,351,227,447,11,1436,10,8,5,8,38,88,39,169,3,376,9,14,4,21,63,72,24,39,45,277,574,1104,1142,1530,5182,5574,2567,3360,286,21319,14,66,17,7,5,3,3,8,13,139,119,1567,116,33,10,0,0,9,61,1918,108,1234,388,114,21,23,3,19,85,2003,76,745,543,175,46,23,12,30,39,1678,60,427,696,315,101,57,25,38,36,1758,108,341,651,704,307,128,62,96,54,2453,103,195,393,740,794,333,133,144,32,2864,86,141,233,585,1035,424,254,283,41,3093,97,81,141,355,807,466,314,309,34,2609,63,48,81,113,396,318,205,202,22,1440,68,23,40,87,237,293,188,240,10,1181,45,12,28,41,119,243,117,191,5,797
9,0,0,0,0,21,16,15,12,0,65,0,0,0,0,5,10,6,3,0,32,3,3,0,5,6,8,0,9,0,37,3,0,0,0,3,7,8,6,0,32,11,0,3,0,4,4,8,15,0,50,9,0,0,0,0,4,3,10,0,23,0,0,0,0,5,3,0,3,0,12,40,29,24,30,115,78,62,71,12,454,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,14,3,13,4,0,0,0,0,0,0,20,3,9,7,0,4,0,0,0,0,27,0,7,9,3,0,0,0,0,0,26,4,0,3,11,8,4,0,3,0,33,5,0,6,7,17,4,3,7,0,46,0,3,3,4,9,6,3,7,0,45,0,4,0,3,11,11,19,7,0,49,0,0,0,3,7,4,9,15,0,39,3,0,0,4,0,4,14,5,0,34,7,0,0,0,0,3,12,12,0,34
