STE_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
1,1422,254544,211351,26057,18897,2013,1716,260033,201612,27487,20416,2339,1816,253677,186692,26798,21313,2815,1861,239478,154171,21225,18819,2769,1614,198594,84083,13499,13088,2385,1073,114125,26105,7181,6726,1918,554,42494,5211,2743,2755,1255,224,12190,1674,1225,1695,1136,187,5918,1765460,172436,145561,20437,14678,2118568,111394,259,1174,946,1013,114791,127853,744,3486,864,1004,133946,82696,1887,5912,1055,741,92289,79335,3850,9035,1734,671,94617,77757,5425,11243,2023,740,97185,80104,6619,12867,2291,792,102673,75413,6660,12932,2187,871,98071,71995,6539,12772,2192,930,94427,67697,6411,12648,2348,882,89984,52814,6446,12013,2588,788,74640,27231,5324,8273,2644,642,44120,10302,2799,4134,1899,354,19488,4028,1646,2602,1864,267,10411,868611,54611,109084,24640,9695,1066634,91080,4235,6865,2190,2034,106407,47367,3652,4754,3012,7800,66574,2772512,234929,266267,50273,34203,3358185
2,1242,201170,163072,20822,13972,1793,1429,201084,161037,23708,15200,2177,1497,203620,145246,22256,14866,2304,1516,186186,116437,18314,13446,2223,1234,151648,65657,11392,8881,1856,913,88700,19136,5997,4656,1348,438,31573,3641,2193,1880,824,193,8735,1320,1046,1159,691,125,4334,1384842,143301,109810,16700,12174,1666823,93907,279,694,820,892,96596,117596,677,2902,857,876,122903,73090,1480,5115,949,643,81275,67878,3237,7690,1540,614,80958,67420,4569,9154,1969,642,83751,70923,5609,10313,2046,753,89638,69352,5932,10302,2017,772,88375,62062,5393,9357,1879,753,79445,57419,5322,9368,1988,746,74846,45252,5558,9166,2031,660,62668,22925,4395,6444,2109,536,36405,7949,2245,3077,1418,287,14977,3256,1147,2002,1302,207,7906,759008,45849,85595,20917,8378,919745,77472,4170,5524,1797,1905,90855,37597,2988,3737,2572,6023,52916,2258921,196300,204656,41977,28474,2730338
3,821,150801,134926,16025,11350,1712,1040,165056,134297,17314,12695,2109,1061,167469,121596,16138,12748,2282,1046,153820,96015,13615,11687,2224,916,124457,53806,8902,8446,1962,678,73801,15475,4390,4396,1597,335,26193,2815,1592,1767,1003,157,7332,860,651,964,782,116,3385,1107247,105086,90039,16611,8382,1327364,89710,195,773,717,666,92065,79819,393,2148,494,486,83351,53137,1041,3830,729,373,59117,51526,2298,5693,1343,412,61271,51221,3181,6782,1447,406,63034,53608,3903,7810,1593,465,67375,50724,4075,8025,1560,484,64871,45983,3784,7722,1527,523,59532,41698,3659,7769,1753,537,55418,31840,3498,7309,1785,478,44914,16093,2788,4898,1723,329,25835,5712,1369,2326,1172,205,10778,2041,713,1327,946,146,5172,573111,30890,66412,16795,5513,692728,63085,2529,4121,1443,1192,72375,27694,1771,2654,2009,4278,38400,1771146,140279,163219,36860,19358,2130860
4,279,47074,42235,4032,4102,605,338,51315,44758,4767,5004,720,437,55683,42494,4616,5261,785,382,53537,35894,4076,4903,730,382,45976,20875,2757,3525,684,292,28129,5496,1471,1829,537,121,9452,882,513,714,290,47,2450,376,252,334,230,47,1240,359021,29641,35316,5548,3149,432682,28123,66,234,227,261,28912,31118,136,837,205,234,32529,19716,328,1359,239,154,21800,20477,656,2043,432,155,23760,20252,919,2389,471,193,24227,20986,1118,2777,495,209,25590,21149,1197,3107,507,240,26195,20031,1100,3168,556,239,25102,18781,1111,3440,618,210,24159,14369,1172,3204,681,221,19647,6829,1036,2399,751,138,11151,2323,498,1162,537,97,4613,855,289,644,504,55,2341,225011,9621,26769,6221,2411,270028,24073,1009,1937,586,552,28154,8331,471,912,656,1590,11961,616433,40741,64939,13010,7699,742831
5,414,83723,71584,7130,5997,745,451,85908,72725,8063,6942,987,559,89273,66023,7683,7093,987,539,82325,52538,6397,6036,967,452,66388,30480,4034,4112,768,337,39728,9259,2022,1988,604,185,14063,1620,729,717,367,50,3490,516,333,393,241,29,1519,613390,49298,47925,7087,4370,722065,41643,85,382,360,302,42773,42476,227,1277,280,254,44517,28467,603,2421,360,207,32052,28908,1330,3634,772,176,34825,28383,1775,4071,819,247,35294,29303,2050,4489,885,256,36972,28027,2231,4690,825,271,36048,24845,2071,4501,852,251,32521,22675,2026,4461,860,280,30301,18399,2110,4503,978,245,26240,9597,1645,3034,995,196,15456,3513,768,1354,705,121,6464,1438,421,812,556,84,3319,307675,17334,39626,9245,2890,376770,41126,1616,2810,862,759,47166,15095,843,1453,859,2003,20244,977280,69091,91805,18049,10016,1166240
6,87,12143,11688,1012,1273,134,117,14220,13032,1252,1468,185,133,16071,12930,1222,1476,218,140,15983,11023,1105,1467,260,118,13972,5827,744,1080,202,76,7928,1410,404,518,148,36,2512,239,142,187,100,10,675,76,74,114,68,10,343,100742,7540,10226,1556,986,121052,8408,15,51,63,77,8614,7795,17,155,37,72,8077,5498,73,306,45,48,5972,5882,122,556,118,54,6729,6161,192,684,122,40,7200,6751,256,831,135,69,8040,6764,298,911,143,82,8190,6472,311,980,163,95,8028,6417,338,1141,201,91,8190,4958,344,1048,238,84,6673,2184,293,735,226,61,3488,725,121,356,165,26,1385,277,91,246,145,31,784,68290,2462,7992,1802,818,81367,7832,285,700,174,228,9226,2599,130,288,199,509,3723,179460,10420,19207,3728,2552,215365
7,56,9407,8100,556,386,41,67,9148,8107,600,447,44,68,9261,7302,599,425,65,66,8453,6009,474,344,54,49,6929,3701,349,233,50,46,4381,1289,166,145,30,14,1647,257,61,51,28,10,407,89,25,27,9,3,148,72173,3744,2940,413,556,79828,2627,5,22,24,29,2713,2157,15,43,9,18,2245,2209,35,110,18,18,2384,2305,59,168,23,19,2578,2001,84,187,37,25,2340,1796,89,190,33,23,2128,1607,98,186,33,21,1943,1293,86,216,39,23,1661,1234,102,193,33,15,1573,936,76,201,34,17,1268,565,61,121,39,10,789,191,30,57,21,7,308,71,12,34,19,3,148,18997,765,1725,370,237,22079,4623,151,171,46,93,5095,2264,75,94,73,244,2751,98054,4736,4932,900,1130,109749
8,58,19054,17563,1127,594,53,75,19410,17351,1273,681,58,68,19433,15405,1065,679,61,57,17271,11287,839,546,59,46,12778,5630,536,387,43,40,6632,1773,292,205,40,22,2326,322,104,71,22,6,515,96,41,22,10,3,176,139439,7574,4807,471,534,152823,8390,24,76,40,44,8575,9062,39,176,33,37,9349,4929,68,216,35,25,5277,5567,168,330,62,25,6140,5572,220,423,68,31,6309,4988,266,428,58,32,5767,4252,257,418,85,29,5038,3507,240,425,59,20,4249,3124,233,451,70,20,3905,2606,248,460,73,28,3417,1500,218,387,78,25,2201,519,100,166,48,12,852,216,52,88,49,8,414,54237,2114,4042,756,337,61486,9121,182,256,64,98,9719,2826,125,146,72,262,3431,205620,9993,9251,1367,1230,227464
9,6,210,163,13,21,0,5,197,174,7,20,3,0,217,196,6,28,3,4,247,175,17,30,6,0,232,121,3,15,3,0,145,77,4,14,3,0,101,18,3,10,0,0,31,4,0,5,0,0,8,1552,76,178,20,34,1858,35,0,0,0,0,41,39,0,0,0,0,40,36,3,4,0,0,36,51,4,14,0,0,66,55,3,3,0,0,61,51,3,0,0,0,59,45,0,16,0,3,65,67,5,8,0,3,81,47,0,12,3,3,62,45,0,10,3,3,68,38,9,8,3,3,59,15,0,3,0,0,23,6,6,8,0,0,19,522,26,83,26,18,671,176,7,13,8,3,199,55,0,9,3,14,81,2304,107,279,55,62,2804
