STE_CODE_2016,F_M2_TrnFer_15_24,F_M2_TrnFer_25_34,F_M2_TrnFer_35_44,F_M2_TrnFer_45_54,F_M2_TrnFer_55_64,F_M2_TrnFer_65_74,F_M2_TrnFer_75ov,F_M2_TrnFer_Tot,F_M2_TrnTrm_Inc_LR_15_24,F_M2_TrnTrm_Inc_LR_25_34,F_M2_TrnTrm_Inc_LR_35_44,F_M2_TrnTrm_Inc_LR_45_54,F_M2_TrnTrm_Inc_LR_55_64,F_M2_TrnTrm_Inc_LR_65_74,F_M2_TrnTrm_Inc_LR_75ov,F_M2_TrnTrm_Inc_LR_Tot,F_M2_TrnCarAsDriv_15_24,F_M2_TrnCarAsDriv_25_34,F_M2_TrnCarAsDriv_35_44,F_M2_TrnCarAsDriv_45_54,F_M2_TrnCarAsDriv_55_64,F_M2_TrnCarAsDriv_65_74,F_M2_TrnCarAsDriv_75ov,F_M2_TrnCarAsDriv_Tot,F_M2_TrnCarAsPas_15_24,F_M2_TrnCarAsPas_25_34,F_M2_TrnCarAsPas_35_44,F_M2_TrnCarAsPas_45_54,F_M2_TrnCarAsPas_55_64,F_M2_TrnCarAsPas_65_74,F_M2_TrnCarAsPas_75ov,F_M2_TrnCarAsPas_Tot,F_M2_TrnOth_15_24,F_M2_TrnOth_25_34,F_M2_TrnOth_35_44,F_M2_TrnOth_45_54,F_M2_TrnOth_55_64,F_M2_TrnOth_65_74,F_M2_TrnOth_75ov,F_M2_TrnOth_Tot,F_M2_Train_and_Tot_15_24,F_M2_Train_and_Tot_25_34,F_M2_Train_and_Tot_35_44,F_M2_Train_and_Tot_45_54,F_M2_Train_and_Tot_55_64,F_M2_Train_and_Tot_65_74,F_M2_Train_and_Tot_75ov,F_M2_Train_and_Tot_Tot,F_M2_BusFer_15_24,F_M2_BusFer_25_34,F_M2_BusFer_35_44,F_M2_BusFer_45_54,F_M2_BusFer_55_64,F_M2_BusFer_65_74,F_M2_BusFer_75ov,F_M2_BusFer_Tot,F_M2_BusTrm_Inc_LR_15_24,F_M2_BusTrm_Inc_LR_25_34,F_M2_BusTrm_Inc_LR_35_44,F_M2_BusTrm_Inc_LR_45_54,F_M2_BusTrm_Inc_LR_55_64,F_M2_BusTrm_Inc_LR_65_74,F_M2_BusTrm_Inc_LR_75ov,F_M2_BusTrm_Inc_LR_Tot,F_M2_BusCarAsDriv_15_24,F_M2_BusCarAsDriv_25_34,F_M2_BusCarAsDriv_35_44,F_M2_BusCarAsDriv_45_54,F_M2_BusCarAsDriv_55_64,F_M2_BusCarAsDriv_65_74,F_M2_BusCarAsDriv_75ov,F_M2_BusCarAsDriv_Tot,F_M2_BusCarAsPas_15_24,F_M2_BusCarAsPas_25_34,F_M2_BusCarAsPas_35_44,F_M2_BusCarAsPas_45_54,F_M2_BusCarAsPas_55_64,F_M2_BusCarAsPas_65_74,F_M2_BusCarAsPas_75ov,F_M2_BusCarAsPas_Tot,F_M2_BusOth_15_24,F_M2_BusOth_25_34,F_M2_BusOth_35_44,F_M2_BusOth_45_54,F_M2_BusOth_55_64,F_M2_BusOth_65_74,F_M2_BusOth_75ov,F_M2_BusOth_Tot,F_M2_BusTot_15_24,F_M2_BusTot_25_34,F_M2_BusTot_35_44,F_M2_BusTot_45_54,F_M2_BusTot_55_64,F_M2_BusTot_65_74,F_M2_BusTot_75ov,F_M2_BusTot_Tot,F_M2_Other_M2_15_24,F_M2_Other_M2_25_34,F_M2_Other_M2_35_44,F_M2_Other_M2_45_54,F_M2_Other_M2_55_64,F_M2_Other_M2_65_74,F_M2_Other_M2_75ov,F_M2_Other_M2_Tot,F_M2_Tot_M2_15_24,F_M2_Tot_M2_25_34,F_M2_Tot_M2_35_44,F_M2_Tot_M2_45_54,F_M2_Tot_M2_55_64,F_M2_Tot_M2_65_74,F_M2_Tot_M2_75ov,F_M2_Tot_M2_Tot,F_M3_Trn_and_2_oth_Ms_15_24,F_M3_Trn_and_2_oth_Ms_25_34,F_M3_Trn_and_2_oth_Ms_35_44,F_M3_Trn_and_2_oth_Ms_45_54,F_M3_Trn_and_2_oth_Ms_55_64,F_M3_Trn_and_2_oth_Ms_65_74,F_M3_Trn_and_2_oth_Ms_75ov,F_M3_Trn_and_2_oth_Ms_Tot,F_M3_Bus2othMs_ex_tn_15_24,F_M3_Bus2othMs_ex_tn_25_34,F_M3_Bus2othMs_ex_tn_35_44,F_M3_Bus2othMs_ex_tn_45_54,F_M3_Bus2othMs_ex_tn_55_64,F_M3_Bus2othMs_ex_tn_65_74,F_M3_Bus2othMs_ex_tn_75ov,F_M3_Bus2othMs_ex_tn_Tot,F_M3_Other_M3_15_24,F_M3_Other_M3_25_34,F_M3_Other_M3_35_44,F_M3_Other_M3_45_54,F_M3_Other_M3_55_64,F_M3_Other_M3_65_74,F_M3_Other_M3_75ov,F_M3_Other_M3_Tot,F_M3_Tot_M3_15_24,F_M3_Tot_M3_25_34,F_M3_Tot_M3_35_44,F_M3_Tot_M3_45_54,F_M3_Tot_M3_55_64,F_M3_Tot_M3_65_74,F_M3_Tot_M3_75ov,F_M3_Tot_M3_Tot,F_Wkd_at_home_15_24,F_Wkd_at_home_25_34,F_Wkd_at_home_35_44,F_Wkd_at_home_45_54,F_Wkd_at_home_55_64,F_Wkd_at_home_65_74,F_Wkd_at_home_75ov,F_Wkd_at_home_Tot,F_Did_not_go_to_work_15_24,F_Did_not_go_to_work_25_34,F_Did_not_go_to_work_35_44,F_Did_not_go_to_work_45_54,F_Did_not_go_to_work_55_64,F_Did_not_go_to_work_65_74,F_Did_not_go_to_work_75ov,F_Did_not_go_to_work_Tot,F_MT_NS_15_24,F_MT_NS_25_34,F_MT_NS_35_44,F_MT_NS_45_54,F_MT_NS_55_64,F_MT_NS_65_74,F_MT_NS_75ov,F_MT_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75ov,F_Tot_Tot,P_M1_Train_15_24,P_M1_Train_25_34,P_M1_Train_35_44,P_M1_Train_45_54,P_M1_Train_55_64,P_M1_Train_65_74,P_M1_Train_75ov,P_M1_Train_Tot,P_M1_Bus_15_24,P_M1_Bus_25_34,P_M1_Bus_35_44,P_M1_Bus_45_54,P_M1_Bus_55_64,P_M1_Bus_65_74,P_M1_Bus_75ov,P_M1_Bus_Tot,P_M1_Ferry_15_24,P_M1_Ferry_25_34,P_M1_Ferry_35_44,P_M1_Ferry_45_54,P_M1_Ferry_55_64,P_M1_Ferry_65_74,P_M1_Ferry_75ov,P_M1_Ferry_Tot
1,71,320,157,106,71,18,3,743,137,279,140,76,61,4,3,702,1981,3801,3719,3159,1681,234,7,14587,1267,2037,1181,1027,765,110,7,6397,113,375,245,202,112,11,4,1062,9284,18118,11190,8847,5604,1032,68,54140,53,185,173,118,67,22,0,627,49,91,55,28,18,0,0,248,425,612,796,682,294,61,4,2876,1003,550,366,355,252,38,7,2569,109,241,161,123,80,21,4,730,1632,1681,1550,1320,721,146,15,7061,1100,1453,1426,1486,858,143,22,6487,12016,21256,14161,11651,7188,1312,103,67684,1523,2286,1367,1172,784,142,8,7275,108,158,120,98,59,5,3,554,31,45,57,61,33,11,0,242,1661,2492,1541,1329,882,153,10,8070,2391,13423,25559,23599,17664,8407,1873,92915,38993,42859,36108,27762,26237,7782,819,180556,3042,2913,2621,2864,2200,1067,654,15361,234674,365968,350381,346089,235601,51457,6213,1590382,36278,95118,59357,37436,20959,3754,338,253237,23246,42144,30600,20997,12339,2864,263,132454,411,2423,2431,1534,731,204,25,7759
2,0,3,0,0,0,0,0,6,1410,3675,1511,965,591,123,15,8283,1400,3317,3381,2487,1246,192,12,12028,717,1390,774,543,372,51,0,3839,123,348,263,164,66,12,0,970,5700,12190,7760,5486,3155,556,32,34881,3,0,0,0,0,0,0,3,324,578,302,211,162,42,4,1620,167,188,139,203,108,10,0,812,733,215,116,128,62,18,3,1263,54,80,33,32,19,8,0,226,1275,1051,592,569,351,70,9,3923,1226,1875,1443,1401,780,156,13,6893,8201,15124,9793,7464,4290,782,54,45701,1779,3411,1997,1470,925,164,15,9752,105,110,69,59,36,12,0,382,51,104,76,52,32,7,0,327,1936,3626,2138,1584,986,175,15,10464,1695,10672,19889,18117,13243,6168,1256,71049,35779,38638,33453,24810,21766,6300,657,161391,2364,2289,2014,2317,1763,853,466,12065,190385,307509,282400,283481,186724,39458,4513,1294480,20538,55368,40107,25386,13667,2412,192,157665,8546,7371,4506,3973,2696,602,62,27751,92,195,118,125,45,11,9,588
3,10,11,0,4,6,0,0,36,3,12,4,0,4,0,0,19,717,1497,1630,1330,675,90,3,5945,291,383,284,274,134,21,0,1377,36,67,47,40,17,3,0,209,1982,3063,2596,2185,1217,175,3,11226,57,82,79,72,46,0,0,342,114,93,47,50,39,10,0,356,413,611,664,515,306,45,0,2554,833,438,267,258,158,37,0,1987,98,144,90,60,36,3,0,430,1516,1373,1148,945,580,95,8,5669,1016,1279,1091,1091,687,125,10,5298,4514,5712,4827,4220,2490,401,21,22194,448,501,339,343,195,30,0,1865,202,188,122,115,57,8,0,696,41,66,52,69,33,6,0,268,694,758,512,527,295,44,0,2829,1786,9529,17215,16501,13043,5578,1078,64731,27159,29343,23331,20272,17514,4622,457,122685,1684,1467,1565,1640,1261,621,408,8653,167714,220660,224970,229972,149393,30706,3300,1026718,6815,12373,10118,7815,4341,608,41,42111,14135,18277,12158,9775,5845,1040,82,61312,391,1015,653,501,308,54,4,2939
4,0,0,0,0,0,0,0,0,29,26,15,25,21,6,0,112,170,276,211,218,163,10,0,1055,51,46,21,31,15,8,0,172,3,13,4,16,9,0,0,44,404,567,371,404,303,38,4,2098,0,0,0,0,0,0,0,0,30,68,33,20,27,0,0,176,234,391,469,438,260,31,0,1814,264,232,138,111,95,20,0,858,27,45,26,22,25,3,0,153,556,729,667,592,408,53,0,3003,355,505,454,464,333,42,3,2156,1314,1803,1496,1462,1042,142,4,7261,116,114,103,77,50,12,0,471,62,59,49,37,19,5,0,233,6,29,15,24,14,0,0,93,195,204,170,134,83,17,0,798,418,2326,4056,4390,3931,2008,416,17549,10499,11635,9381,8222,7655,2044,195,49626,577,534,502,591,467,246,181,3094,53027,73956,74042,82869,60034,12430,1424,357781,1375,2437,2054,1765,1162,175,9,8981,4877,8162,6160,5465,3810,665,52,29187,21,45,34,28,13,9,0,145
5,3,0,3,0,0,0,0,6,4,0,0,0,0,0,0,3,568,1462,1206,1070,587,65,3,4960,186,330,189,171,117,22,0,1010,15,60,46,42,19,7,0,193,2386,3866,2683,2362,1469,248,16,13026,3,3,4,4,3,0,0,20,0,3,0,0,0,0,0,3,119,233,197,203,108,20,3,885,394,200,125,92,47,12,0,865,30,76,32,33,15,3,0,188,535,520,360,332,167,39,4,1957,432,534,401,415,287,57,9,2127,3349,4923,3439,3105,1928,338,20,17109,536,717,464,474,290,46,4,2527,54,46,34,20,6,0,0,162,17,31,14,17,9,3,0,89,605,791,507,511,311,43,4,2776,726,4799,7840,7476,5523,2431,464,29252,13463,15986,13081,10780,9645,2729,237,65919,989,1111,930,1033,765,324,169,5311,81561,123564,115067,119123,80341,16949,1765,538376,3739,8163,6062,4677,2654,436,24,25760,6943,15152,10848,8768,5032,771,52,47562,45,86,55,48,17,12,4,265
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,13,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,9,3,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,65,87,58,11,0,301,114,47,30,29,11,3,0,228,11,12,7,13,12,0,0,58,160,102,98,130,80,11,0,586,96,93,113,130,80,9,0,527,258,205,214,267,166,23,3,1140,0,0,0,0,0,0,0,3,18,12,9,8,3,0,0,49,5,7,0,7,3,0,0,31,22,20,14,17,9,0,0,82,130,618,1150,1369,1314,610,120,5315,3180,3346,2903,2803,2709,631,71,15645,190,143,148,194,214,101,61,1049,15539,19519,21976,25695,19059,3577,434,105795,10,35,9,15,7,0,0,73,1342,1068,891,900,710,107,12,5041,7,10,5,14,0,3,0,43
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,48,35,25,18,7,0,148,31,36,21,18,17,3,0,120,3,12,0,3,3,0,0,31,61,97,54,49,42,11,0,304,47,101,71,85,55,0,0,356,104,202,130,134,97,7,0,678,0,3,0,0,0,0,0,5,11,11,13,3,4,0,0,43,5,3,10,9,9,0,0,36,15,19,23,12,8,0,0,83,69,328,439,392,288,113,19,1657,662,1307,886,699,601,157,14,4326,135,174,136,128,81,29,9,696,6562,13009,10885,10254,6661,1372,132,48883,9,13,9,9,0,0,0,42,682,2145,1762,1524,881,137,8,7147,6,3,11,16,14,0,0,51
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,11,3,0,0,32,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,3,5,10,11,12,9,0,0,50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,47,124,130,139,65,11,0,522,135,129,71,65,49,7,0,460,26,47,31,22,9,0,0,137,209,303,230,230,129,19,0,1119,121,202,185,153,81,9,0,754,332,521,425,394,212,31,0,1922,0,4,4,4,3,0,0,10,22,22,18,13,10,0,0,84,0,10,11,9,10,0,0,28,28,32,28,22,18,0,0,125,168,640,1016,838,677,319,62,3712,3164,3913,2970,1862,1594,413,42,13956,161,126,123,115,90,35,24,669,17627,28218,26135,23934,13707,2604,256,112482,12,42,33,33,10,8,0,136,2345,3874,2571,2198,1430,239,13,12671,5,9,8,8,4,0,0,39
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,0,0,16,0,0,0,3,4,0,0,8,3,6,3,3,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,10,15,7,4,0,56,6,29,24,23,31,10,0,126,0,3,4,3,3,0,0,19,100,210,250,276,227,88,13,1173,0,3,0,0,0,0,0,7,3,18,15,19,19,3,0,71,6,7,13,11,6,4,0,41
