STE_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
1,7231,3736,1386,106066,101179,3887,14685,5180,1965,126895,112113,6949,18421,5132,2456,145077,138685,8252,21335,4266,2786,175329,217934,15485,30109,4751,3506,271790,286948,19489,29633,3572,3716,343367,349192,24581,31605,3263,3900,412538,368514,30046,31146,2900,3422,436033,262771,22647,20358,1643,1996,309415,224379,23999,15718,1435,1551,267076,168699,14458,9600,857,996,194604,258320,25113,13345,1236,1270,299283,142555,32865,15502,1601,1114,193641,39135,3819,4621,1693,3424,52696,2772512,234929,266267,50273,34203,3358185
2,6252,3342,1389,101743,94132,3806,12487,4362,1679,116469,96608,6613,14886,4232,1996,124336,116079,7929,16857,3498,2297,146660,181430,13628,23060,3889,2871,224883,239356,17355,22581,3107,3195,285595,296920,20844,24260,2643,3313,347978,311425,24700,23490,2202,2829,364645,220097,18826,15575,1274,1586,257355,178289,19804,11529,1101,1282,212007,123580,11607,7030,679,805,143699,175985,19407,9464,867,895,206618,90715,24698,10851,1222,886,128378,36180,3659,3880,1499,2836,48058,2258921,196300,204656,41977,28474,2730338
3,5182,2921,793,74735,65378,2411,9977,3848,1113,82737,69848,4382,11967,3594,1460,91251,88817,4985,13359,2951,1536,111642,150393,9213,18551,3227,2045,183423,203669,11460,18164,2451,2170,237917,241724,14087,19035,2194,2139,279176,247656,17859,19037,2038,1861,288453,171482,14182,12521,1243,1112,200540,145917,16072,9553,1008,906,173462,96363,8576,5729,616,526,111809,136334,14798,7408,821,666,160033,57950,17535,7609,1137,603,84843,24792,2406,2939,1395,2036,33574,1771146,140279,163219,36860,19358,2130860
4,1863,946,373,27504,26225,840,4004,1375,520,32971,26844,1333,4631,1276,589,34669,34500,1694,5417,1127,724,43463,55676,2729,7809,1201,809,68220,71338,3545,7513,997,858,84260,87348,4264,7917,860,898,101291,88373,5368,7664,779,772,102953,57977,4117,4731,438,418,67681,47581,4344,3621,429,343,56318,33138,2419,2001,230,170,37952,39509,3971,2931,354,220,46988,14344,4753,3101,387,203,22795,7657,611,993,401,657,10327,616433,40741,64939,13010,7699,742831
5,2782,1305,441,40317,37025,1065,4858,1563,481,44983,37492,1684,5459,1413,667,46718,44682,1957,6053,1314,658,54664,68294,3571,8699,1607,894,83064,83366,4321,8771,1256,950,98665,105753,5832,10220,1149,1059,124006,124811,8067,11324,1252,1035,146490,94434,6777,8204,797,708,110915,83723,8125,6973,661,545,100032,66312,5013,4245,438,408,76427,116359,9088,5975,586,568,132574,63045,11489,5646,685,435,81294,13120,999,1545,554,956,17171,977280,69091,91805,18049,10016,1166240
6,528,294,133,7945,7546,233,1264,504,174,9714,8259,368,1599,386,207,10819,11116,415,1736,366,257,13876,18179,742,2364,362,292,21936,22511,1006,2289,264,303,26370,25645,1080,2185,231,268,29413,25445,1346,2143,163,244,29339,16504,1045,1395,115,134,19187,13522,1074,1001,84,93,15772,9025,575,579,43,74,10293,9193,1051,801,78,75,11196,2902,1179,815,85,48,5029,2199,155,293,113,224,2985,179460,10420,19207,3728,2552,215365
7,105,46,33,2270,2565,60,211,83,47,2964,2368,59,242,67,49,2787,3010,109,260,59,50,3495,5262,214,455,63,84,6077,7253,283,458,86,100,8186,10381,389,579,66,118,11527,13603,580,604,69,142,14994,11218,539,485,52,97,12390,9918,677,396,35,84,11102,7962,412,293,14,49,8726,13162,647,389,24,81,14307,6988,633,296,29,46,7980,1889,89,98,32,134,2240,98054,4736,4932,900,1130,109749
8,330,107,54,7230,6113,130,466,98,43,6849,5371,178,518,114,55,6232,6447,238,576,101,89,7453,9984,461,835,119,107,11507,13123,615,846,101,115,14802,17934,813,1034,104,124,20012,24045,1136,1115,93,132,26520,24346,918,788,57,94,26203,24101,1087,656,50,71,25966,16809,699,420,31,57,18017,35180,1375,647,61,78,37335,12936,2118,812,41,77,15986,2013,117,115,29,104,2380,205620,9993,9251,1367,1230,227464
9,3,5,3,55,66,4,10,3,0,83,88,0,28,6,3,121,98,4,31,4,8,150,194,3,37,3,6,250,266,6,22,3,9,306,268,13,32,5,3,324,264,17,39,0,10,334,203,13,17,4,4,242,208,7,10,0,3,238,189,7,10,0,0,207,258,6,13,0,4,279,122,16,6,0,0,147,32,0,8,0,4,49,2304,107,279,55,62,2804
