STE_CODE_2016,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_M,Mnf_Food_pdt_F,Mnf_Food_pdt_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_lther_clthing_footw_M,Mnf_Tex_lther_clthing_footw_F,Mnf_Tex_lther_clthing_footw_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pulp_paper_cvertd_paper_M,Mnf_Pulp_paper_cvertd_paper_F,Mnf_Pulp_paper_cvertd_paper_P,Mnf_Print_inc_repdtn_RM_M,Mnf_Print_inc_repdtn_RM_F,Mnf_Print_inc_repdtn_RM_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Basic_chem_and_chem_p_m_M,Mnf_Basic_chem_and_chem_p_m_F,Mnf_Basic_chem_and_chem_p_m_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Prim_met_and_met_p_m_M,Mnf_Prim_met_and_met_p_m_F,Mnf_Prim_met_and_met_p_m_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
1,722,351,1069,43681,19376,63054,540,134,675,1253,194,1449,897,151,1045,4320,1521,5844,51410,21726,73129,1415,310,1718,16873,2013,18888,319,60,377,4447,713,5162,2000,291,2291,1591,408,2002,26645,3801,30441,10709,3835,14540,28691,18947,47636,4596,2516,7111,2485,4003,6489,8062,1496,9561,3117,1144,4264,7312,3750,11064,832,292,1115,6886,5259,12149,5068,1928,6995,7203,1410,8611,12087,1816,13901,9268,1867,11132,8510,1564,10076,16886,6164,23046,6997,2211,9206,138710,58196,196905,222,71,292,12293,2755,15051,638,237,875,5187,1729,6913,6865,1705,8565,25202,6495,31693,11187,1802,12988,70619,13449,84068,19687,4040,23727,142477,17295,159777,243971,36586,280555,3085,1929,5015,13056,5161,18213,22348,10221,32562,4591,1262,5856,10183,5921,16112,10818,12615,23435,1732,1028,2760,65821,38133,103953,4898,5666,10563,18620,5787,24412,4807,3489,8295,49900,53778,103677,62400,112190,174586,1527,2184,3707,142151,183084,325233,438,392,828,14112,20395,34500,97122,106302,203429,111674,127086,238758,5380,2230,7609,52799,8851,61649,8683,2030,10718,1600,708,2314,10560,6766,17330,1246,644
2,566,270,834,36359,17247,53598,216,72,284,1125,236,1364,473,100,569,2756,923,3679,41489,18846,60336,418,109,526,448,75,527,1245,295,1542,2031,624,2660,1452,202,1653,702,211,917,6297,1519,7809,12719,4067,16784,30835,21244,52082,4618,2531,7157,3757,4572,8329,6413,1117,7528,4401,1256,5662,7986,3666,11651,1384,333,1716,6773,4864,11637,7768,2740,10509,6120,1177,7293,8016,1390,9403,9474,1933,11404,20575,4070,24649,13145,4089,17231,7836,2074,9913,151817,61138,212948,540,283,829,10287,4205,14494,983,343,1327,4855,2249,7106,5644,1325,6964,22309,8400,30712,8702,1266,9969,56388,10402,66791,13765,2280,16043,121219,13377,134592,200076,27318,227399,2745,1739,4480,13135,5225,18361,15198,6192,21387,6033,1869,7896,8631,4932,13565,9940,11025,20966,1106,544,1649,56789,31521,88311,4548,5244,9789,16553,4847,21401,3659,2730,6388,42230,46089,88321,54487,97211,151699,990,1097,2084,122462,157217,279679,314,323,636,9294,12869,22167,74771,82487,157259,84382,95676,180061,4740,1760,6498,43450,7234,50683,6012,1523,7535,1297,512,1808,5583,3500,9079,1058,479
3,572,253,827,34418,18201,52619,411,146,563,667,134,802,1020,241,1263,3247,1142,4390,40344,20113,60459,1793,449,2242,21674,3550,25221,4450,1230,5677,7548,1451,9001,1976,334,2309,3147,705,3853,40585,7720,48308,7536,2306,9841,22595,13423,36014,2154,702,2855,1335,2165,3502,4814,870,5683,1149,378,1528,2877,1664,4542,876,178,1049,3972,1992,5963,3275,939,4211,4779,841,5627,9154,1593,10749,7994,1476,9474,9741,1569,11311,7889,2361,10251,4774,1295,6070,94917,33747,128666,175,63,237,8964,2660,11626,806,184,994,3793,1359,5151,4639,1163,5803,18381,5430,23806,8036,1215,9257,43655,8595,52249,15235,2552,17792,97184,13288,110467,164113,25655,189766,1777,969,2745,10035,3946,13986,10873,3634,14507,4184,1083,5265,6414,3522,9939,4027,4480,8510,728,374,1098,38037,18018,56050,2992,3550,6546,13801,4667,18463,3432,4084,7519,30830,38720,69549,36593,71412,107999,566,858,1428,88208,123293,211506,206,233,436,11755,17830,29590,55746,71165,126915,67711,89228,156938,3179,1298,4474,35336,6832,42172,8336,2134,10476,1113,548,1665,6539,4334,10869,1691,808
4,318,120,439,18204,7179,25383,462,103,569,612,94,704,780,179,957,1477,500,1977,21855,8171,30022,448,80,530,236,42,282,1202,350,1544,3906,582,4492,583,77,659,990,212,1199,7355,1347,8702,2976,810,3793,8030,5400,13431,4644,2337,6982,659,836,1498,2354,334,2686,1211,366,1580,1218,541,1755,102,13,120,917,640,1564,1638,532,2164,1829,293,2123,3850,432,4283,2528,499,3026,6174,840,7016,4207,1223,5431,1625,472,2094,43964,15567,59528,102,28,131,2887,1019,3908,312,138,451,1627,604,2226,2006,354,2361,6942,2143,9081,2227,305,2535,12677,2616,15300,3958,655,4609,29980,3676,33650,48839,7258,56095,604,266,871,3982,1292,5276,4194,1394,5589,1352,254,1609,2981,1374,4347,1440,1278,2720,413,236,650,14963,6091,21056,1283,1352,2636,4909,1275,6180,1611,1613,3226,13838,15677,29521,12890,24786,37677,191,185,374,34727,44889,79614,55,65,121,2863,4587,7447,18554,23435,41988,21466,28087,49555,1274,467,1740,12014,1812,13824,1366,370,1734,285,142,430,1289,799,2092,431,202
5,274,137,410,16338,7730,24066,185,76,261,589,112,702,923,206,1126,1523,644,2162,19829,8906,28733,2487,533,3022,1292,207,1494,6788,2125,8906,42225,8488,50717,2025,427,2450,8081,1743,9828,62904,13513,76417,4308,1320,5626,6197,5007,11209,2347,1234,3582,573,1045,1619,1858,348,2203,359,151,509,1461,801,2263,642,148,790,2781,1084,3868,1514,438,1956,2447,452,2904,6854,1091,7949,4786,927,5712,4124,623,4749,5342,1115,6457,2583,793,3374,48184,16575,64757,132,33,166,4016,1214,5229,1213,402,1613,2370,1059,3430,2433,731,3159,10164,3439,13602,4925,766,5693,24156,5355,29518,13205,2116,15321,56619,8334,64949,98908,16576,115482,940,531,1474,5520,2157,7676,5993,1875,7864,2056,533,2594,3367,1994,5358,1885,1941,3833,447,213,661,20207,9255,29457,1290,1557,2848,6707,2148,8856,2060,2045,4108,16303,21134,37437,18102,38413,56517,195,366,557,44647,65672,110316,122,112,234,4301,6815,11114,28718,34704,63421,33136,41636,74770,1739,597,2338,19031,4058,23083,2055,402,2454,1031,299,1327,3017,1879,4895,653,299
6,99,32,133,5357,2206,7562,1239,349,1585,776,119,900,439,113,551,496,166,663,8404,2988,11390,158,24,182,41,9,51,25,5,23,1134,105,1234,198,17,218,162,14,172,1710,167,1881,635,178,819,3449,2117,5570,506,242,749,112,195,304,872,128,1003,359,45,404,280,134,413,14,3,12,370,121,490,190,30,222,499,63,563,1572,141,1714,521,59,577,781,52,838,606,96,708,312,108,420,11077,3724,14804,19,4,25,1367,454,1826,85,34,115,695,229,929,471,130,597,2640,855,3493,863,108,972,3982,467,4445,1411,183,1591,8463,856,9322,14717,1614,16330,132,47,184,1064,359,1420,735,167,906,339,63,397,821,319,1137,311,277,590,112,46,156,3520,1274,4797,416,433,846,1417,350,1772,367,389,757,3481,5042,8527,4167,7388,11557,51,51,101,9903,13660,23564,19,37,57,1362,2472,3833,5215,7381,12601,6597,9891,16488,304,135,433,3542,607,4147,222,23,242,453,174,626,259,274,526,161,71
7,28,10,43,1044,602,1649,31,5,37,64,13,78,174,60,237,193,73,265,1534,765,2304,159,33,190,22,3,27,756,94,844,2095,312,2404,96,18,110,190,27,217,3321,482,3802,162,38,205,222,161,381,41,20,62,18,47,66,64,13,78,0,0,0,56,39,95,16,0,15,122,23,147,74,12,83,122,36,165,194,41,239,276,51,332,322,33,361,171,45,213,101,26,127,1971,596,2563,40,13,54,791,311,1100,132,23,154,103,26,134,218,67,283,1277,440,1716,1088,130,1216,2338,424,2763,2933,417,3352,4435,658,5097,10795,1630,12418,50,17,71,386,171,552,358,95,457,110,22,131,245,135,377,80,78,158,31,7,38,1257,528,1782,129,143,278,530,184,716,173,160,333,1340,1522,2867,1188,2141,3324,24,45,70,3390,4199,7587,18,22,44,1159,1356,2517,2168,2499,4667,3351,3882,7231,153,40,200,1547,330,1878,59,13,70,93,25,116,587,263,851,174,66
8,18,5,22,237,174,411,0,0,0,17,8,29,10,3,13,34,24,58,315,211,526,3,0,4,3,0,3,3,0,3,18,8,19,15,4,23,20,0,22,66,12,79,137,29,169,352,345,701,50,18,69,27,68,95,238,41,282,3,13,13,199,89,287,7,0,7,30,14,50,29,6,37,171,41,213,142,20,159,107,21,131,190,37,224,493,125,614,268,134,407,2449,1003,3457,13,5,19,504,242,742,52,16,72,324,133,458,262,45,307,1154,440,1592,544,89,636,3546,549,4096,435,54,489,6941,672,7613,11461,1367,12828,54,30,91,308,82,389,634,165,800,142,30,169,269,92,366,188,163,355,98,30,124,1703,591,2299,198,222,414,1060,220,1277,179,56,235,2730,2282,5011,3484,5621,9110,33,36,66,7682,8428,16109,14,15,28,981,1088,2070,6455,5604,12057,7450,6711,14157,128,45,171,1833,259,2092,22,7,22,14,3,19,308,196,501,35,15
9,0,0,0,20,8,27,0,0,0,0,0,0,7,0,7,3,0,3,32,8,41,3,0,3,0,0,0,11,0,12,24,0,25,131,19,152,15,0,15,184,20,202,0,0,0,3,8,16,3,0,3,0,3,3,6,0,8,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,3,0,6,29,20,51,0,0,0,21,3,18,3,0,3,9,3,14,9,0,9,40,4,45,19,3,19,47,3,46,22,8,29,80,5,84,166,17,184,0,0,3,11,7,14,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,21,8,32,7,15,27,3,0,3,4,4,13,30,38,70,29,59,83,0,0,0,77,123,198,0,0,0,54,82,140,49,86,138,107,169,276,8,0,8,10,10,18,0,0,0,11,3,12,27,5,25,14,0
