STE_CODE_2016,P_M1_Tram_Inc_LR_15_24,P_M1_Tram_Inc_LR_25_34,P_M1_Tram_Inc_LR_35_44,P_M1_Tram_Inc_LR_45_54,P_M1_Tram_Inc_LR_55_64,P_M1_Tram_Inc_LR_65_74,P_M1_Tram_Inc_LR_75ov,P_M1_Tram_Inc_LR_Tot,P_M1_Taxi_15_24,P_M1_Taxi_25_34,P_M1_Taxi_35_44,P_M1_Taxi_45_54,P_M1_Taxi_55_64,P_M1_Taxi_65_74,P_M1_Taxi_75ov,P_M1_Taxi_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_Inc_LR_15_24,P_M2_TrnTrm_Inc_LR_25_34,P_M2_TrnTrm_Inc_LR_35_44,P_M2_TrnTrm_Inc_LR_45_54,P_M2_TrnTrm_Inc_LR_55_64,P_M2_TrnTrm_Inc_LR_65_74,P_M2_TrnTrm_Inc_LR_75ov,P_M2_TrnTrm_Inc_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_Inc_LR_15_24,P_M2_BusTrm_Inc_LR_25_34,P_M2_BusTrm_Inc_LR_35_44,P_M2_BusTrm_Inc_LR_45_54,P_M2_BusTrm_Inc_LR_55_64,P_M2_BusTrm_Inc_LR_65_74,P_M2_BusTrm_Inc_LR_75ov,P_M2_BusTrm_Inc_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
1,352,889,740,448,211,42,5,2691,579,1645,1664,1522,972,305,51,6741,219059,409765,451702,466226,317902,65949,6546,1937141,54421,28197,19176,20948,16156,3798,555,143246,1787,5212,7077,8629,7139,2466,448,32762,2656,5496,5048,4410,2759,428,72,20874,2337,6114,6399,5387,2623,305,40,23204,2021,3662,3887,4190,3324,1349,298,18724,23983,36894,24149,22088,17686,5270,1011,131084,367137,637553,612226,593816,402807,86724,9652,2709919,10932,21126,12704,8455,5507,1394,117,60228,128,608,413,250,176,54,3,1627,244,596,339,164,117,22,4,1486,3969,8764,9085,7463,4142,716,43,34183,2202,3033,1798,1577,1118,163,16,9914,349,1059,965,676,368,52,6,3474,17829,35186,25305,18580,11429,2396,190,110915,96,359,435,297,159,55,10,1417,73,160,124,56,36,4,0,457,793,1310,1649,1294,633,130,18,5822,1565,820,534,477,342,55,5,3798,220,537,419,269,151,35,3,1632,2745,3188,3160,2387,1321,275,39,13124,3108,4571,4316,4086,2440,536,101,19162,23675,42954,32780,25056,15195,3207,335,143201
2,8644,22857,9741,5761,3277,907,120,51305,500,1503,1135,876,631,134,32,4814,180347,381846,390913,406919,268958,55306,5630,1689927,48399,21622,13332,13572,10225,2471,386,110011,713,2712,3500,4475,3819,1219,231,16666,1074,2493,2415,2254,1408,205,48,9897,3697,10582,9127,6666,3309,431,52,33868,1224,2853,3082,3103,2526,950,200,13940,18516,25569,14209,13588,11477,3556,700,87617,292287,534968,492185,486688,322048,68215,7665,2204057,4002,6840,4740,3058,1895,416,35,20987,4,12,8,3,0,0,0,20,2594,6908,3404,1976,1168,284,21,16354,2770,7627,8348,5961,3116,476,34,28327,1233,2077,1219,846,561,99,3,6033,334,1026,929,631,315,44,3,3277,10931,24483,18643,12469,7052,1322,89,75006,5,0,0,3,3,0,0,11,531,936,536,386,301,76,9,2777,293,391,340,364,208,37,5,1638,1200,296,186,161,88,26,3,1958,112,159,92,66,45,8,0,488,2144,1789,1154,987,637,154,21,6874,3007,4845,3743,3464,2009,454,60,17584,16082,31117,23546,16918,9704,1927,172,99458
3,517,660,234,202,151,28,3,1801,655,872,667,684,449,153,19,3500,177064,298153,320109,323364,207196,40769,3366,1370018,46722,22963,14938,14848,10187,2323,305,112275,878,2908,4225,5572,4718,1452,182,19934,2182,4651,4528,4868,2992,380,53,19648,3124,5605,5478,4822,2316,281,24,21659,1344,2917,3079,3390,2664,1001,195,14595,15102,17559,11473,12149,10048,2869,527,69735,268926,387946,387663,387992,251231,50969,4817,1739529,1665,2112,1432,1087,702,126,10,7136,14,21,9,8,7,0,0,67,7,20,7,5,4,0,0,41,1263,2702,3336,2846,1476,222,12,11857,557,638,462,424,237,29,5,2356,127,237,266,203,123,20,0,987,3639,5728,5519,4574,2552,395,29,22435,95,226,209,173,101,8,0,813,193,169,70,77,63,18,0,585,743,1182,1280,972,529,87,7,4803,1269,665,410,360,196,47,0,2947,185,345,230,146,87,11,0,1006,2478,2586,2204,1727,970,171,11,10146,2679,3805,3375,3199,2033,384,38,15516,8794,12118,11099,9495,5559,953,76,48098
4,423,870,641,454,307,47,5,2740,136,345,313,280,222,61,12,1369,58065,103230,108364,119302,84231,16634,1673,491499,11752,7134,4853,5196,3878,860,117,33791,174,610,818,1368,1104,379,57,4518,525,742,698,834,562,61,11,3439,682,1675,1862,1908,1179,128,10,7435,338,877,941,1210,1068,365,83,4882,3685,4138,3385,4107,3610,1151,213,20290,82057,130268,130125,141911,101135,20520,2255,608272,336,439,270,260,182,32,3,1525,0,0,0,0,3,0,0,3,42,53,29,43,25,3,0,190,296,476,446,389,261,26,3,1899,91,78,41,40,31,12,0,291,19,56,50,44,25,3,0,196,777,1102,834,769,526,79,8,4100,0,0,0,0,0,0,0,3,58,98,65,46,47,4,0,319,383,690,809,687,394,49,4,3014,411,331,186,155,112,23,0,1230,70,98,79,60,50,6,0,366,923,1217,1141,945,607,84,6,4924,837,1356,1165,1181,824,148,20,5528,2537,3679,3140,2897,1963,309,29,14549
5,21,23,26,22,20,4,0,114,299,558,441,411,274,71,11,2058,86808,169034,167117,170353,113613,24410,2339,733671,21186,13143,8156,7695,5231,1114,170,56693,416,1488,1778,2413,1862,574,88,8619,941,1200,1200,1466,798,132,28,5754,1550,2739,2953,2843,1432,231,14,11774,1142,4625,4133,3988,2407,621,101,17027,6182,7691,5451,6073,5082,1518,248,32239,129266,223898,208211,208763,138420,29905,3077,941539,2846,3903,3122,2435,1546,325,26,14199,4,3,3,0,0,0,0,15,4,0,0,0,0,0,0,9,960,2698,2585,2103,1104,143,6,9597,350,492,311,268,187,27,3,1634,73,215,215,178,85,19,3,785,4236,7312,6237,4980,2919,509,33,26238,4,12,13,7,5,0,0,41,3,3,0,3,0,0,0,9,237,549,425,375,222,37,8,1850,650,325,193,128,73,19,0,1389,97,279,174,138,62,17,0,763,982,1170,811,644,367,70,9,4056,1185,1854,1457,1425,891,187,23,7014,6404,10333,8504,7051,4177,770,65,37308
6,6,0,0,12,4,3,0,31,109,122,106,103,86,33,6,561,15520,26837,31086,36324,26255,4654,459,141129,4619,2492,1713,1979,1428,250,27,12507,61,221,328,454,432,140,31,1667,385,253,212,261,151,20,6,1293,166,360,449,442,190,19,4,1629,102,195,238,307,343,107,24,1318,1889,2280,1728,2086,1835,437,75,10331,24222,33877,36767,42892,31453,5765,642,175613,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,13,3,3,0,41,0,3,0,0,0,0,0,7,0,3,0,0,0,3,0,9,6,20,17,15,6,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,72,89,132,75,11,0,437,152,72,45,46,21,7,0,336,17,31,10,15,12,3,0,92,226,175,147,188,116,20,4,868,227,317,301,299,229,35,5,1414,459,516,459,497,351,58,7,2349
7,0,0,7,0,0,0,0,9,52,88,60,53,33,5,0,298,7163,15992,14886,13840,8990,1996,163,63034,1916,2029,1389,1219,818,156,8,7532,29,122,135,165,116,36,3,609,188,387,274,313,223,18,0,1402,324,852,565,533,316,39,0,2634,203,492,387,392,250,56,5,1791,1613,2745,1704,1705,1250,287,28,9336,12185,24862,21197,19783,12898,2725,223,93871,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,7,14,3,6,0,0,28,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,55,409,266,154,73,12,3,976,53,70,46,28,25,3,0,229,20,96,45,35,19,0,0,213,132,570,361,227,121,16,3,1427,140,286,210,208,138,14,3,998,275,866,585,433,264,35,6,2458
8,3,11,7,10,11,0,0,38,44,102,88,87,39,9,0,379,17811,35252,36937,33820,18817,3670,291,146601,3499,3645,2414,2470,1432,247,15,13718,41,178,231,266,200,110,7,1040,220,520,551,625,270,24,3,2210,662,1435,1466,1321,587,52,3,5532,200,261,235,243,149,62,7,1159,2540,3269,1548,1222,811,164,16,9572,27382,48606,46103,42301,23760,4584,362,193099,0,5,5,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,14,27,14,0,0,84,3,0,0,3,0,0,0,9,0,3,4,3,3,0,0,8,13,30,23,37,25,0,0,134,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,99,239,262,220,127,22,3,963,227,186,125,106,68,10,0,725,47,106,69,52,19,4,0,293,383,527,448,382,218,36,3,1992,247,506,456,368,193,40,0,1815,645,1063,933,784,431,77,3,3938
9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,119,233,350,380,313,142,18,1552,19,40,23,26,15,3,0,136,0,3,12,21,22,11,3,77,16,6,8,9,5,5,0,52,0,4,8,5,3,0,0,20,14,22,16,17,15,0,0,88,33,59,36,44,37,9,3,218,205,401,490,544,432,186,24,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,8,6,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,5,0,0,22,3,5,7,9,10,3,0,28,3,11,8,10,7,3,0,54
