STE_CODE_2016,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_2016,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_2016,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_2016,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_2016,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_2016,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_2016,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_2016,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_2016,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_2016,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_2016,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_2016,Tot_EdTrn_NS,Tot_EdTrn_Tot,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_2016,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_2016,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_2016,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_2016,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_2016,Tot_Tot_NS,Tot_Tot_Tot
1,74286,13571,3505,4818,5309,6789,6052,443,666,41146,27423,7086,10512,11311,17012,16544,1331,1832,93060,16346,4752,7396,9195,18094,26069,3458,2695,88005,23139,5484,6746,6679,9125,6061,502,1211,58949,7847,2422,3212,3849,5058,4893,499,405,28182,21350,6999,9125,10441,11217,9497,845,948,70417,6627,1360,1909,2241,2875,2291,160,309,17764,29830,8873,12015,14027,19169,22700,2886,1721,111227,13476,3358,4723,4738,7882,10398,1295,1160,47028,21057,5085,5361,5321,5149,3203,200,770,46144,26185,6318,7656,8210,9060,8655,666,1141,67880,50642,13152,15542,18504,27416,21918,1156,2469,150799,4161,977,1352,1508,1818,1946,187,287,12236,12744,3081,3764,3617,5671,5610,455,780,35718,17586,4548,6312,7009,10541,11734,1294,3549,62578,354381,91612,118326,129650,181770,183514,17655,23934,1100847
2,47759,9996,2043,2598,3602,5635,4865,330,494,29552,21146,4731,6514,8379,14831,13891,905,1400,71797,11020,2997,4738,7181,16585,21815,2586,1888,68813,16005,3377,3867,5324,11233,6512,440,939,47707,5016,1108,1562,2669,3586,3039,268,232,17478,11737,2907,4112,6196,7512,5306,361,513,38644,4214,725,1015,1604,2463,1873,120,225,12239,21452,5217,6837,10090,15083,16242,1763,1171,77844,10024,1961,2479,3324,6880,9136,1003,900,35704,15298,2518,2857,3725,4725,2717,129,528,32512,20849,4114,5424,7187,10124,9305,672,928,58610,37079,8505,9610,14510,25762,18607,934,1872,116883,3474,720,1161,1479,2055,1915,145,213,11159,9597,2012,2131,2717,6001,4979,457,658,28559,13524,2926,3676,5088,9306,9638,883,2580,47618,264055,56903,70927,98443,168596,152939,12601,17703,842155
3,39916,4796,967,1479,1857,3052,2288,142,243,14826,13083,2787,4833,5906,9399,7236,432,917,44595,8362,2335,4148,6273,12327,14465,1681,1505,51097,9857,1812,2850,3267,6824,4068,190,623,29501,1909,448,704,895,1257,1049,73,114,6450,4477,964,1520,2139,2884,1991,105,221,14298,4131,812,1256,1539,1927,1459,63,209,11387,11156,2545,3938,5576,8115,5929,445,537,38238,6655,1404,2153,2671,4828,6049,720,736,25219,11134,2109,2964,3341,4171,1969,104,438,26228,15168,2965,4324,5403,7282,5809,370,780,42092,25660,5719,7988,11063,20255,13107,673,1456,85930,2487,534,821,1046,1455,1232,100,196,7873,6146,1301,1843,2428,4419,3690,258,515,20603,7058,1440,2454,3135,5257,4925,557,1658,26484,165069,34448,52994,68712,114254,91996,7687,13251,548416
4,10784,1908,218,232,411,883,804,58,100,4613,5568,686,961,1385,3005,1979,124,252,13957,2848,502,866,1404,3806,3529,295,302,13553,3086,358,383,507,1927,781,42,150,7237,799,120,123,209,428,383,32,37,2139,1822,235,294,447,732,460,26,53,4078,1090,64,108,146,291,209,12,42,1960,4034,599,739,1167,2023,1634,147,162,10491,2752,333,466,572,1498,1734,147,185,7693,5587,664,686,973,1588,762,28,171,10464,6226,812,957,1329,2303,1754,99,212,13707,12256,1736,1838,3359,8249,4971,216,488,33112,721,92,149,172,300,233,21,45,1729,2641,373,375,550,1276,1015,83,122,6440,2249,273,342,648,1279,1113,104,353,6364,68425,9042,10656,16239,35943,26656,1843,3565,172359
5,41309,3674,622,864,1089,2586,2334,84,195,11447,10498,2009,3050,4098,8314,7801,436,737,36939,5151,1457,2201,3591,9647,12005,964,870,35882,6900,1188,1778,2138,5178,3633,134,428,21382,1343,236,348,447,863,749,42,79,4107,3729,707,932,1314,1964,1566,46,136,10391,2783,421,475,681,1190,1150,48,109,6865,9684,2068,2816,4049,6796,5544,292,381,31625,4521,875,1156,1541,3444,5127,474,441,17583,10817,1734,1967,2515,4417,2953,109,391,24899,13790,2397,2947,3808,5811,4389,203,519,33864,20116,3878,4634,7123,14562,12135,496,977,63926,2054,363,512,676,1162,915,39,118,5838,5122,1027,1246,1651,3944,3971,229,329,17514,5972,1149,1586,2180,4813,4638,347,1175,21865,138547,26197,34422,47891,99165,90103,4944,9171,450443
6,1073,207,20,35,27,52,43,0,16,399,849,103,155,175,295,255,19,61,1909,621,122,204,297,539,802,81,70,2737,450,35,52,74,144,130,7,22,914,170,11,27,31,48,36,5,8,333,215,19,23,54,53,37,8,5,404,173,12,15,12,24,22,3,14,270,795,89,135,154,219,214,16,35,1656,352,44,56,64,125,161,16,24,835,1171,93,151,154,186,85,8,39,1883,1412,155,171,245,288,294,25,59,2653,2269,291,370,502,862,624,47,79,5048,247,39,38,43,67,53,8,6,509,405,46,53,63,116,85,3,18,798,332,47,56,75,134,131,18,58,845,11637,1391,1890,2393,3780,3652,299,656,25695
7,3372,148,26,20,35,105,142,9,10,492,530,74,121,160,617,730,49,75,2357,500,108,147,178,838,1535,283,153,3737,422,66,67,101,329,260,17,34,1293,104,14,16,20,51,60,3,0,264,84,20,24,19,60,59,0,8,274,143,21,26,24,69,103,4,11,406,583,96,111,186,446,482,35,43,1986,298,53,76,84,248,357,51,63,1227,1491,239,289,359,720,651,56,103,3901,845,132,176,204,480,413,39,61,2347,968,184,245,414,1341,1262,74,116,4603,144,27,33,46,154,187,15,29,639,273,45,42,76,193,256,30,29,958,371,49,86,132,301,367,52,127,1486,8805,1441,1931,2530,7162,8218,831,1048,31970
8,2566,243,33,43,63,95,85,4,9,581,983,219,326,510,974,1093,56,69,4236,762,204,394,518,1368,1839,185,127,5402,625,95,114,184,406,218,10,28,1692,354,87,110,150,144,120,4,14,988,328,71,84,134,195,154,9,12,985,274,53,45,66,109,97,7,7,662,2142,532,647,967,1115,925,74,86,6490,603,126,141,192,390,676,84,47,2262,7803,1782,1931,2124,1582,817,97,269,16406,2020,437,552,730,1069,1224,86,84,6206,2124,515,597,950,2237,2216,94,126,8859,297,54,73,85,90,124,9,14,746,545,116,121,159,367,371,30,39,1747,487,107,141,214,383,387,31,110,1863,21195,4684,5640,7437,11205,11005,805,1152,63120
9,59,3,0,0,3,3,0,0,0,10,43,3,7,5,4,5,3,8,77,49,4,3,10,30,29,8,5,142,16,3,5,0,4,4,0,6,34,3,0,0,0,0,3,0,3,13,7,0,0,0,0,0,0,0,13,7,0,4,3,3,0,0,0,12,13,0,3,4,10,0,0,4,39,22,0,0,4,5,3,0,3,45,120,8,10,18,23,15,0,9,215,25,5,5,4,0,0,5,9,52,24,0,6,6,4,3,3,3,47,12,0,0,0,0,0,0,0,14,14,3,0,0,3,3,0,3,36,18,4,6,0,10,10,3,12,59,514,49,60,72,132,106,34,79,1045
