GCCSA_CODE_2016,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000mo_A_15_19,OIDNS_3000mo_A_20_24,OIDNS_3000mo_A_25_34,OIDNS_3000mo_A_35_44,OIDNS_3000mo_A_45_54,OIDNS_3000mo_A_55_64,OIDNS_3000mo_A_65_74,OIDNS_3000mo_A_75ov,OIDNS_3000mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54
9OTER,5,0,0,0,0,6,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,15,0,0,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,9,0,0,3,0,3,3,0,0,9,0,6,14,21,17,14,7,0,76,3,0,0,0,3,10,3,0,21,20,8,3,4,5,6,7,0,56,11,6,15,11,16,14,6,3,78,4,3,18,20,22,25,12,6,116,10,9,24,12,32,38,16,3,142,7,16,33,48,56,52,21,6,244,7,25,62,63,61,66,15,3,301,4,30,53,71,66,58,31,0,315,3,28,61,64,80,56,26,0,319,0,8,47,43,54,52,22,0,236,0,11,39,50,60,45,19,3,228,0,3,36,54,51
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,5,0,0,3,4,3,4,0,0,9,0,0,3,0,3,0,0,0,5,0,0,0,3,3,0,0,0,10,0,0,0,0,4
8ACTE,31,29,21,10,0,166,5,49,85,47,34,19,12,3,260,7,55,117,92,74,30,6,4,381,10,81,217,162,100,68,21,4,658,0,31,239,163,148,75,9,3,665,0,16,238,211,151,74,10,4,705,0,8,113,150,127,68,13,4,479,0,4,153,355,340,153,22,3,1033,0,5,15,98,126,82,34,7,373,31,46,82,79,73,42,19,5,369,163,392,1379,1469,1265,675,180,66,5577,186,82,181,177,148,86,39,13,909,4881,949,370,307,214,139,60,17,6937,2159,2055,800,565,451,363,146,23,6560,850,1874,1093,732,612,499,212,57,5928,784,1970,1487,1017,807,674,298,39,7076,912,2542,2545,1786,1456,1116,471,79,10909,623,2843,3782,2669,2158,1509,504,56,14143,386,3243,5724,3828,3230,2145,585,58,19202,157,3236,8645,5318,4512,2882,696,63,25509,30,1671,9582,5838,4744,3016,564,51,25504,9,538,8133,6979,5914,3197,572,47,25392,7,141,4641,5485,4534
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,5,0,0,0,0,12,0,4,5,3,3,0,0,0,15,0,0,10,3,3,6,0,0,14,0,0,3,3,5,7,0,0,22,0,0,0,3,5,0,0,0,16,0,0,5,7,3,3,0,0,16,0,0,0,3,0,3,0,0,4,0,0,3,4,4,0,0,0,13,0,0,0,4,3,0,0,0,13,0,4,3,0,5,0,0,0,18,4,18,44,46,42,24,6,4,178,10,9,11,6,19,3,3,0,70,138,65,35,21,19,16,0,0,294,57,82,45,39,36,22,7,0,286,44,49,53,48,46,43,20,7,305,47,79,57,52,64,58,16,0,373,55,104,111,92,96,93,43,6,597,23,113,159,116,116,95,37,3,658,19,121,221,150,149,111,30,3,809,4,107,288,239,196,143,31,5,1008,0,49,245,166,134,81,18,3,702,0,31,199,133,122,78,12,0,577,0,10,91,110,64
7RNTE,18,18,7,3,3,81,3,6,22,9,11,18,0,0,71,0,10,19,17,21,5,0,0,68,3,9,24,21,14,11,6,0,82,0,3,16,11,19,6,0,0,58,0,3,13,11,19,11,0,0,57,0,0,9,7,17,10,7,0,38,0,0,9,20,9,13,0,0,53,0,3,4,7,14,3,4,0,35,26,17,49,38,19,21,4,0,174,77,118,274,224,225,129,38,14,1082,48,11,44,38,45,43,12,0,243,359,40,129,90,86,50,19,12,775,166,159,355,307,237,147,57,12,1434,99,110,255,217,197,139,62,7,1085,96,136,271,269,200,178,70,17,1237,174,310,580,482,422,297,109,11,2386,192,481,753,490,510,356,108,9,2906,124,511,1025,626,680,476,121,14,3566,46,414,1297,877,916,700,148,11,4416,13,211,1068,755,819,601,119,10,3599,13,114,869,774,782,562,94,3,3211,0,58,505,570,665
7GDAR,13,6,11,4,3,60,7,18,21,15,13,8,7,0,80,3,30,40,30,22,27,7,3,156,3,25,49,23,33,20,9,0,165,3,12,38,32,25,18,6,0,135,0,10,37,40,33,14,3,0,134,0,0,18,30,23,19,0,0,91,0,0,34,39,25,18,0,0,124,0,6,17,31,26,12,4,0,100,14,37,52,50,45,23,11,0,230,71,172,354,318,282,184,58,19,1456,82,33,82,75,66,53,13,5,418,1036,85,116,86,48,39,21,0,1432,501,202,209,160,153,130,49,10,1418,265,308,374,230,183,136,68,17,1580,237,389,526,364,274,220,94,15,2126,292,544,887,614,531,440,143,26,3464,248,893,1381,928,807,580,180,15,5036,234,1302,2149,1534,1292,846,228,21,7605,112,1278,3282,2104,1833,1186,266,20,10093,27,757,2825,1895,1633,1032,218,16,8405,18,352,2344,1971,1658,1032,179,16,7571,0,138,1465,1649,1611
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,3
79499,0,0,0,3,0,3,0,6,0,0,0,3,0,0,8,0,0,3,0,7,0,0,0,7,0,0,0,6,3,8,3,0,22,0,4,9,3,4,3,0,0,16,0,0,0,3,4,0,0,0,9,0,0,0,3,0,0,0,0,3,0,0,0,3,7,0,0,0,7,0,0,0,0,3,0,0,0,5,0,3,3,3,0,4,0,0,15,4,12,28,15,30,25,5,3,122,3,5,7,8,8,7,0,0,43,12,4,14,11,5,10,3,0,60,9,17,23,20,13,20,6,0,111,10,9,27,28,17,21,7,3,117,18,6,27,23,25,23,6,0,135,21,14,42,48,40,49,13,0,227,12,32,58,40,42,42,13,0,238,15,41,102,71,55,60,9,0,353,7,49,138,93,104,73,20,4,480,0,26,101,88,98,60,10,0,386,0,19,79,84,83,49,6,0,318,0,4,84,87,83
