GCCSA_CODE_2016,EAFW_18_TechFEI_NS,EAFW_18_TechFEI_Tot,EAFW_18_UniOTIs_FT,EAFW_18_UniOTIs_PT,EAFW_18_UniOTIs_NS,EAFW_18_UniOTIs_Tot,EAFW_18_Other,EAFW_18_NS,EAFW_18_Tot,EAFW_19_TechFEI_FT,EAFW_19_TechFEI_PT,EAFW_19_TechFEI_NS,EAFW_19_TechFEI_Tot,EAFW_19_UniOTIs_FT,EAFW_19_UniOTIs_PT,EAFW_19_UniOTIs_NS,EAFW_19_UniOTIs_Tot,EAFW_19_Other,EAFW_19_NS,EAFW_19_Tot,EAFW_20_24_TechFEI_FT,EAFW_20_24_TechFEI_PT,EAFW_20_24_TechFEI_NS,EAFW_20_24_TechFEI_Tot,EAFW_20_24_UniOTIs_FT,EAFW_20_24_UniOTIs_PT,EAFW_20_24_UniOTIs_NS,EAFW_20_24_UniOTIs_Tot,EAFW_20_24_Other,EAFW_20_24_NS,EAFW_20_24_Tot,EAFW_25_29_TechFEI_FT,EAFW_25_29_TechFEI_PT,EAFW_25_29_TechFEI_NS,EAFW_25_29_TechFEI_Tot,EAFW_25_29_UniOTIs_FT,EAFW_25_29_UniOTIs_PT,EAFW_25_29_UniOTIs_NS,EAFW_25_29_UniOTIs_Tot,EAFW_25_29_Other,EAFW_25_29_NS,EAFW_25_29_Tot,EAFW_30over_TechFEI_FT,EAFW_30over_TechFEI_PT,EAFW_30over_TechFEI_NS,EAFW_30over_TechFEI_Tot,EAFW_30over_UniOTIs_FT,EAFW_30over_UniOTIs_PT,EAFW_30over_UniOTIs_NS,EAFW_30over_UniOTIs_Tot,EAFW_30over_Other,EAFW_30over_NS,EAFW_30over_Tot,EAFW_Tot_TechFEI_FT,EAFW_Tot_TechFEI_PT,EAFW_Tot_TechFEI_NS,EAFW_Tot_TechFEI_Tot,EAFW_Tot_UniOTIs_FT,EAFW_Tot_UniOTIs_PT,EAFW_Tot_UniOTIs_NS,EAFW_Tot_UniOTIs_Tot,EAFW_Tot_Other,EAFW_Tot_NS,EAFW_Tot_Tot,Tot_16_TechFEI_FT,Tot_16_TechFEI_PT,Tot_16_TechFEI_NS,Tot_16_TechFEI_Tot,Tot_16_UniOTIs_FT,Tot_16_UniOTIs_PT,Tot_16_UniOTIs_NS,Tot_16_UniOTIs_Tot,Tot_16_Other,Tot_16_NS,Tot_16_Tot,Tot_17_TechFEI_FT,Tot_17_TechFEI_PT,Tot_17_TechFEI_NS,Tot_17_TechFEI_Tot,Tot_17_UniOTIs_FT,Tot_17_UniOTIs_PT,Tot_17_UniOTIs_NS,Tot_17_UniOTIs_Tot,Tot_17_Other,Tot_17_NS,Tot_17_Tot,Tot_18_TechFEI_FT,Tot_18_TechFEI_PT,Tot_18_TechFEI_NS,Tot_18_TechFEI_Tot,Tot_18_UniOTIs_FT,Tot_18_UniOTIs_PT,Tot_18_UniOTIs_NS,Tot_18_UniOTIs_Tot,Tot_18_Other,Tot_18_NS,Tot_18_Tot,Tot_19_TechFEI_FT,Tot_19_TechFEI_PT,Tot_19_TechFEI_NS,Tot_19_TechFEI_Tot,Tot_19_UniOTIs_FT,Tot_19_UniOTIs_PT,Tot_19_UniOTIs_NS,Tot_19_UniOTIs_Tot,Tot_19_Other,Tot_19_NS,Tot_19_Tot,Tot_20_24_TechFEI_FT,Tot_20_24_TechFEI_PT,Tot_20_24_TechFEI_NS,Tot_20_24_TechFEI_Tot,Tot_20_24_UniOTIs_FT,Tot_20_24_UniOTIs_PT,Tot_20_24_UniOTIs_NS,Tot_20_24_UniOTIs_Tot,Tot_20_24_Other,Tot_20_24_NS,Tot_20_24_Tot,Tot_25_29_TechFEI_FT,Tot_25_29_TechFEI_PT,Tot_25_29_TechFEI_NS,Tot_25_29_TechFEI_Tot,Tot_25_29_UniOTIs_FT,Tot_25_29_UniOTIs_PT,Tot_25_29_UniOTIs_NS,Tot_25_29_UniOTIs_Tot,Tot_25_29_Other,Tot_25_29_NS,Tot_25_29_Tot,Tot_30over_TechFEI_FT,Tot_30over_TechFEI_PT,Tot_30over_TechFEI_NS,Tot_30over_TechFEI_Tot,Tot_30over_UniOTIs_FT,Tot_30over_UniOTIs_PT,Tot_30over_UniOTIs_NS,Tot_30over_UniOTIs_Tot,Tot_30over_Other,Tot_30over_NS,Tot_30over_Tot,Tot_Tot_TechFEI_FT,Tot_Tot_TechFEI_PT,Tot_Tot_TechFEI_NS,Tot_Tot_TechFEI_Tot,Tot_Tot_UniOTIs_FT,Tot_Tot_UniOTIs_PT,Tot_Tot_UniOTIs_NS,Tot_Tot_UniOTIs_Tot,Tot_Tot_Other,Tot_Tot_NS,Tot_Tot_Tot
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,8,3,0,0,3,3,0,0,3,9,5,18,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,11,0,13,0,3,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,4,0,5,0,5,3,0,0,5,8,0,18,0,7,0,3,3,3,0,6,4,0,24,5,21,0,26,7,29,0,31,22,45,129,6,30,0,40,16,34,0,46,57,50,194
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,9,0,0,0,0,0,4,0,7,3,0,8
8ACTE,0,13,94,3,0,95,44,7,153,9,9,0,19,174,8,0,186,4,4,214,35,43,0,78,539,76,3,616,19,22,735,12,32,0,44,124,113,0,233,18,11,308,27,116,0,140,109,308,0,421,47,95,712,95,216,0,306,1042,508,9,1558,333,139,2337,21,11,0,36,0,0,0,0,1473,18,1529,36,52,0,89,39,6,0,42,1733,22,1886,105,195,0,295,878,33,3,917,692,19,1923,114,291,0,408,1710,103,3,1821,80,15,2328,378,1132,10,1518,6628,1436,5,8075,355,104,10056,270,755,3,1031,1704,2302,3,4006,327,80,5441,461,2365,14,2838,1738,6237,36,8010,1329,743,12923,1395,4797,26,6211,12707,10116,50,22878,5994,1002,36085
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,15,0,0,15,0,0,18,0,0,0,0,18,0,0,18,0,0,18,3,3,0,7,30,3,0,32,0,0,33,0,3,0,3,7,3,0,7,0,0,13,3,5,0,5,3,7,0,3,4,3,24,6,15,0,20,67,7,0,74,6,4,103,0,0,0,0,0,0,0,0,24,0,24,3,4,0,10,0,0,0,0,29,3,42,4,23,0,27,50,0,0,46,11,0,91,7,33,0,39,77,4,0,77,0,0,119,17,107,0,126,190,26,0,217,14,3,357,12,45,0,61,59,24,0,76,8,3,151,20,91,0,110,38,68,0,107,42,31,293,66,305,0,374,404,125,0,529,121,42,1071
7RNTE,0,3,0,0,0,0,5,3,13,0,0,0,0,3,0,0,3,0,3,7,0,10,0,10,7,4,0,19,3,18,44,3,7,0,6,3,15,0,18,3,16,42,5,30,0,34,24,62,0,85,19,71,204,10,45,0,51,35,79,0,116,64,112,344,0,3,0,3,0,0,0,0,165,6,176,3,4,0,13,3,0,0,4,133,3,153,15,24,0,33,7,10,0,20,55,11,118,6,26,0,31,10,14,0,23,12,3,69,37,109,0,155,70,95,0,162,30,48,389,19,112,0,134,56,231,0,291,45,49,520,41,370,8,417,153,924,3,1083,240,388,2130,126,647,10,785,305,1271,8,1580,676,510,3550
7GDAR,0,7,9,0,0,5,14,3,32,0,3,0,3,10,5,0,12,3,0,20,7,9,0,23,49,10,0,66,8,15,111,3,13,0,16,31,29,0,55,8,11,88,5,35,3,40,38,102,4,144,33,63,281,19,68,5,89,133,150,3,284,120,99,597,0,6,0,12,0,3,0,3,416,10,440,10,19,0,25,16,6,0,25,467,13,534,23,51,0,75,92,25,0,117,131,13,331,10,67,4,82,124,58,0,178,22,12,299,71,234,3,308,711,367,5,1083,116,64,1571,61,233,3,298,476,531,0,1009,143,73,1520,97,728,8,842,498,1839,14,2356,583,491,4274,263,1351,21,1639,1914,2834,20,4774,1887,671,8970
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,3,10,0,0,0,0,0,6,0,9,0,3,9
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,5,0,0,0,0,3,0,0,8,0,0,8,0,4,0,4,3,3,0,9,0,11,25,0,7,0,7,8,6,0,15,3,14,44,0,0,0,0,0,0,0,0,9,0,9,0,3,0,3,0,0,0,0,4,0,11,0,0,0,0,0,0,0,3,0,0,4,0,9,0,9,5,0,0,4,0,0,10,0,7,0,8,13,11,0,32,3,0,46,0,17,0,19,6,12,0,23,3,7,48,0,34,0,37,19,37,0,54,17,27,135,6,68,0,70,47,68,0,119,43,42,265
