GCCSA_CODE_2016,HQ_NNI_Mng,HQ_NNI_Pro,HQ_NNI_TecTW,HQ_NNI_CoPSW,HQ_NNI_ClAW,HQ_NNI_SWks,HQ_NNI_MaOpDv,HQ_NNI_Lab,HQ_NNI_IDNS,HQ_NNI_Tot,HQ_1_149_Mng,HQ_1_149_Pro,HQ_1_149_TecTW,HQ_1_149_CoPSW,HQ_1_149_ClAW,HQ_1_149_SWks,HQ_1_149_MaOpDv,HQ_1_149_Lab,HQ_1_149_IDNS,HQ_1_149_Tot,HQ_150_299_Mng,HQ_150_299_Pro,HQ_150_299_TecTW,HQ_150_299_CoPSW,HQ_150_299_ClAW,HQ_150_299_SWks,HQ_150_299_MaOpDv,HQ_150_299_Lab,HQ_150_299_IDNS,HQ_150_299_Tot,HQ_300_399_Mng,HQ_300_399_Pro,HQ_300_399_TecTW,HQ_300_399_CoPSW,HQ_300_399_ClAW,HQ_300_399_SWks,HQ_300_399_MaOpDv,HQ_300_399_Lab,HQ_300_399_IDNS,HQ_300_399_Tot,HQ_400_499_Mng,HQ_400_499_Pro,HQ_400_499_TecTW,HQ_400_499_CoPSW,HQ_400_499_ClAW,HQ_400_499_SWks,HQ_400_499_MaOpDv,HQ_400_499_Lab,HQ_400_499_IDNS,HQ_400_499_Tot,HQ_500_649_Mng,HQ_500_649_Pro,HQ_500_649_TecTW,HQ_500_649_CoPSW,HQ_500_649_ClAW,HQ_500_649_SWks,HQ_500_649_MaOpDv,HQ_500_649_Lab,HQ_500_649_IDNS,HQ_500_649_Tot,HQ_650_799_Mng,HQ_650_799_Pro,HQ_650_799_TecTW,HQ_650_799_CoPSW,HQ_650_799_ClAW,HQ_650_799_SWks,HQ_650_799_MaOpDv,HQ_650_799_Lab,HQ_650_799_IDNS,HQ_650_799_Tot,HQ_800_999_Mng,HQ_800_999_Pro,HQ_800_999_TecTW,HQ_800_999_CoPSW,HQ_800_999_ClAW,HQ_800_999_SWks,HQ_800_999_MaOpDv,HQ_800_999_Lab,HQ_800_999_IDNS,HQ_800_999_Tot,HQ_1000_1249_Mng,HQ_1000_1249_Pro,HQ_1000_1249_TecTW,HQ_1000_1249_CoPSW,HQ_1000_1249_ClAW,HQ_1000_1249_SWks,HQ_1000_1249_MaOpDv,HQ_1000_1249_Lab,HQ_1000_1249_IDNS,HQ_1000_1249_Tot,HQ_1250_1499_Mng,HQ_1250_1499_Pro,HQ_1250_1499_TecTW,HQ_1250_1499_CoPSW,HQ_1250_1499_ClAW,HQ_1250_1499_SWks,HQ_1250_1499_MaOpDv,HQ_1250_1499_Lab,HQ_1250_1499_IDNS,HQ_1250_1499_Tot,HQ_1500_1749_Mng,HQ_1500_1749_Pro,HQ_1500_1749_TecTW,HQ_1500_1749_CoPSW,HQ_1500_1749_ClAW,HQ_1500_1749_SWks,HQ_1500_1749_MaOpDv,HQ_1500_1749_Lab,HQ_1500_1749_IDNS,HQ_1500_1749_Tot,HQ_1750_1999_Mng,HQ_1750_1999_Pro,HQ_1750_1999_TecTW,HQ_1750_1999_CoPSW,HQ_1750_1999_ClAW,HQ_1750_1999_SWks,HQ_1750_1999_MaOpDv,HQ_1750_1999_Lab,HQ_1750_1999_IDNS,HQ_1750_1999_Tot,HQ_2000_2999_Mng,HQ_2000_2999_Pro,HQ_2000_2999_TecTW,HQ_2000_2999_CoPSW,HQ_2000_2999_ClAW,HQ_2000_2999_SWks,HQ_2000_2999_MaOpDv,HQ_2000_2999_Lab,HQ_2000_2999_IDNS,HQ_2000_2999_Tot,HQ_3000mo_Mng,HQ_3000mo_Pro,HQ_3000mo_TecTW,HQ_3000mo_CoPSW,HQ_3000mo_ClAW,HQ_3000mo_SWks,HQ_3000mo_MaOpDv,HQ_3000mo_Lab,HQ_3000mo_IDNS,HQ_3000mo_Tot,HQ_PINS_Mng,HQ_PINS_Pro,HQ_PINS_TecTW,HQ_PINS_CoPSW,HQ_PINS_ClAW,HQ_PINS_SWks,HQ_PINS_MaOpDv,HQ_PINS_Lab,HQ_PINS_IDNS,HQ_PINS_Tot,HQ_Tot_Mng,HQ_Tot_Pro,HQ_Tot_TecTW,HQ_Tot_CoPSW,HQ_Tot_ClAW,HQ_Tot_SWks,HQ_Tot_MaOpDv,HQ_Tot_Lab,HQ_Tot_IDNS,HQ_Tot_Tot,CL_nfd_NNI_Mng,CL_nfd_NNI_Pro,CL_nfd_NNI_TecTW,CL_nfd_NNI_CoPSW,CL_nfd_NNI_ClAW,CL_nfd_NNI_SWks,CL_nfd_NNI_MaOpDv,CL_nfd_NNI_Lab,CL_nfd_NNI_IDNS,CL_nfd_NNI_Tot,CL_nfd_1_149_Mng,CL_nfd_1_149_Pro,CL_nfd_1_149_TecTW,CL_nfd_1_149_CoPSW,CL_nfd_1_149_ClAW,CL_nfd_1_149_SWks,CL_nfd_1_149_MaOpDv,CL_nfd_1_149_Lab,CL_nfd_1_149_IDNS,CL_nfd_1_149_Tot,CL_nfd_150_299_Mng,CL_nfd_150_299_Pro,CL_nfd_150_299_TecTW,CL_nfd_150_299_CoPSW,CL_nfd_150_299_ClAW,CL_nfd_150_299_SWks,CL_nfd_150_299_MaOpDv,CL_nfd_150_299_Lab,CL_nfd_150_299_IDNS,CL_nfd_150_299_Tot,CL_nfd_300_399_Mng,CL_nfd_300_399_Pro,CL_nfd_300_399_TecTW,CL_nfd_300_399_CoPSW,CL_nfd_300_399_ClAW,CL_nfd_300_399_SWks,CL_nfd_300_399_MaOpDv,CL_nfd_300_399_Lab,CL_nfd_300_399_IDNS,CL_nfd_300_399_Tot
9OTER,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,5,6,7,0,4,3,0,0,0,0,21,6,5,3,11,3,3,0,5,0,38,9,13,0,6,0,5,0,3,3,33,4,18,6,13,3,3,0,3,0,48,12,11,8,17,10,4,0,6,3,62,22,11,4,13,12,6,0,5,0,79,18,28,4,18,11,0,0,3,3,84,17,27,5,14,9,0,0,0,0,77,15,45,11,8,14,0,0,0,0,92,28,51,3,7,9,0,0,0,0,99,56,44,6,8,8,0,3,7,3,141,32,29,3,3,3,0,0,0,8,80,0,0,0,0,0,0,0,0,0,4,223,294,56,128,87,25,8,34,26,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,7,3,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,25,4,3,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8ACTE,73,118,14,35,46,24,8,9,22,352,38,275,31,150,99,90,13,57,16,774,77,391,55,388,201,243,32,138,18,1555,88,421,81,488,232,314,35,189,27,1863,125,551,147,573,290,320,49,254,38,2341,234,1087,213,815,543,442,62,311,54,3766,387,1467,352,1087,879,456,93,259,74,5045,823,2570,606,1376,1465,424,122,302,123,7804,1307,5599,844,1185,2805,309,110,163,253,12570,1378,7782,644,670,3237,220,80,85,294,14401,2066,9432,616,626,3116,146,60,52,405,16528,2554,7333,346,445,1670,92,22,28,275,12771,10446,13583,536,893,3078,175,32,41,767,29551,5116,6539,138,186,883,183,6,11,296,13361,159,375,38,76,127,14,3,16,94,901,24872,57524,4675,9004,18668,3459,720,1929,2744,123593,0,3,0,0,3,0,0,0,0,10,0,3,0,12,6,9,3,9,0,48,6,4,4,28,14,16,4,8,4,85,6,4,3,32,17,16,6,9,0,87
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,0,3,0,0,0,0,11,0,22,3,11,9,3,0,4,3,54,0,20,3,16,9,7,3,17,0,74,3,28,10,23,5,4,12,15,0,91,3,25,11,20,5,4,8,16,4,95,4,40,18,37,10,7,8,23,3,153,5,26,30,27,8,7,19,19,3,157,13,45,25,25,10,3,14,24,3,168,23,48,36,30,13,5,10,21,3,186,25,42,27,12,13,5,3,8,7,148,24,51,22,11,12,0,4,6,11,142,29,43,21,8,8,0,0,3,3,114,41,91,18,34,20,3,3,4,5,211,35,81,4,0,9,0,0,3,11,149,0,10,3,4,0,3,3,0,0,25,214,578,236,257,121,53,83,165,64,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
7RNTE,4,12,3,9,5,0,3,0,3,41,4,14,0,11,3,0,5,3,4,53,15,45,3,30,18,10,8,10,9,136,3,44,8,29,20,5,11,16,4,135,14,61,8,48,25,18,7,20,5,208,26,99,18,97,57,31,4,37,0,364,47,137,51,145,65,45,19,67,10,575,77,217,67,216,140,54,16,86,8,890,184,538,85,234,225,39,16,46,16,1377,175,761,47,224,159,20,5,24,17,1435,190,949,75,145,127,10,19,13,11,1539,197,967,45,120,90,9,9,4,13,1457,486,1035,89,241,94,14,37,7,18,2026,265,364,55,41,26,4,6,6,9,775,18,54,8,11,7,3,0,5,6,116,1710,5305,570,1608,1055,253,172,340,130,11129,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,6,0,3,0,12,0,6,0,12,3,6,3,5,11,45,0,10,4,14,6,0,3,5,0,39
7GDAR,21,34,5,14,19,9,0,8,4,117,7,42,3,22,12,13,3,11,0,129,15,53,15,67,32,42,14,36,3,282,27,64,11,87,42,79,30,70,5,411,27,97,34,149,58,106,31,116,4,618,51,199,56,211,128,100,38,108,13,907,76,269,99,302,202,168,48,134,11,1306,181,518,203,487,347,142,65,119,25,2095,309,1145,368,494,659,125,76,83,33,3286,369,1525,262,312,513,57,54,37,31,3161,433,1884,213,229,405,50,30,22,45,3316,502,1876,168,197,266,30,15,17,36,3100,1401,2470,265,407,411,37,38,66,48,5142,999,1277,263,141,152,29,25,47,31,2980,31,107,28,19,19,11,7,4,23,246,4447,11576,1992,3135,3262,1006,474,888,322,27092,0,0,0,0,3,0,0,3,3,14,0,5,3,0,0,6,0,3,0,19,0,4,4,14,4,3,0,8,0,39,0,3,3,3,4,3,3,3,3,23
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,6,0,12,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,3,3,22,7,0,0,0,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,3,0,3,0,0,0,4,0,12,0,4,0,4,3,0,0,0,0,11,0,9,0,7,3,6,4,4,0,32,0,5,12,5,3,0,0,5,0,33,0,5,3,3,3,3,3,0,0,22,3,14,3,16,0,3,4,7,0,47,5,13,3,7,0,0,3,8,0,45,5,24,6,11,4,3,3,10,0,75,8,17,10,13,11,5,0,4,3,64,14,30,9,0,12,3,0,11,3,80,7,25,5,11,4,0,0,3,3,60,4,35,4,9,4,0,3,3,0,57,6,43,12,4,6,0,0,0,5,92,13,22,10,0,0,0,0,3,0,56,0,3,0,0,0,0,0,0,0,7,66,252,90,89,64,23,30,64,16,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5
