GCCSA_CODE_2016,OM_IEs_45_49_HW_0,OM_IEs_45_49_HW_1_15,OM_IEs_45_49_HW_16_24,OM_IEs_45_49_HW_25_34,OM_IEs_45_49_HW_35_39,OM_IEs_45_49_HW_40,OM_IEs_45_49_HW_41_48,OM_IEs_45_49_HW_49mor,OM_IEs_45_49_HW_NS,OM_IEs_45_49_Tot,OM_IEs_50_54_HW_0,OM_IEs_50_54_HW_1_15,OM_IEs_50_54_HW_16_24,OM_IEs_50_54_HW_25_34,OM_IEs_50_54_HW_35_39,OM_IEs_50_54_HW_40,OM_IEs_50_54_HW_41_48,OM_IEs_50_54_HW_49mor,OM_IEs_50_54_HW_NS,OM_IEs_50_54_Tot,OM_IEs_55_59_HW_0,OM_IEs_55_59_HW_1_15,OM_IEs_55_59_HW_16_24,OM_IEs_55_59_HW_25_34,OM_IEs_55_59_HW_35_39,OM_IEs_55_59_HW_40,OM_IEs_55_59_HW_41_48,OM_IEs_55_59_HW_49mor,OM_IEs_55_59_HW_NS,OM_IEs_55_59_Tot,OM_IEs_60_64_HW_0,OM_IEs_60_64_HW_1_15,OM_IEs_60_64_HW_16_24,OM_IEs_60_64_HW_25_34,OM_IEs_60_64_HW_35_39,OM_IEs_60_64_HW_40,OM_IEs_60_64_HW_41_48,OM_IEs_60_64_HW_49mor,OM_IEs_60_64_HW_NS,OM_IEs_60_64_Tot,OM_IEs_65_69_HW_0,OM_IEs_65_69_HW_1_15,OM_IEs_65_69_HW_16_24,OM_IEs_65_69_HW_25_34,OM_IEs_65_69_HW_35_39,OM_IEs_65_69_HW_40,OM_IEs_65_69_HW_41_48,OM_IEs_65_69_HW_49mor,OM_IEs_65_69_HW_NS,OM_IEs_65_69_Tot,OM_IEs_70_74_HW_0,OM_IEs_70_74_HW_1_15,OM_IEs_70_74_HW_16_24,OM_IEs_70_74_HW_25_34,OM_IEs_70_74_HW_35_39,OM_IEs_70_74_HW_40,OM_IEs_70_74_HW_41_48,OM_IEs_70_74_HW_49mor,OM_IEs_70_74_HW_NS,OM_IEs_70_74_Tot,OM_IEs_75ov_HW_0,OM_IEs_75ov_HW_1_15,OM_IEs_75ov_HW_16_24,OM_IEs_75ov_HW_25_34,OM_IEs_75ov_HW_35_39,OM_IEs_75ov_HW_40,OM_IEs_75ov_HW_41_48,OM_IEs_75ov_HW_49mor,OM_IEs_75ov_HW_NS,OM_IEs_75ov_Tot,OM_IEs_Tot_HW_0,OM_IEs_Tot_HW_1_15,OM_IEs_Tot_HW_16_24,OM_IEs_Tot_HW_25_34,OM_IEs_Tot_HW_35_39,OM_IEs_Tot_HW_40,OM_IEs_Tot_HW_41_48,OM_IEs_Tot_HW_49mor,OM_IEs_Tot_HW_NS,OM_IEs_Tot_Tot,OM_UIE_15_19_HW_0,OM_UIE_15_19_HW_1_15,OM_UIE_15_19_HW_16_24,OM_UIE_15_19_HW_25_34,OM_UIE_15_19_HW_35_39,OM_UIE_15_19_HW_40,OM_UIE_15_19_HW_41_48,OM_UIE_15_19_HW_49mor,OM_UIE_15_19_HW_NS,OM_UIE_15_19_Tot,OM_UIE_20_24_HW_0,OM_UIE_20_24_HW_1_15,OM_UIE_20_24_HW_16_24,OM_UIE_20_24_HW_25_34,OM_UIE_20_24_HW_35_39,OM_UIE_20_24_HW_40,OM_UIE_20_24_HW_41_48,OM_UIE_20_24_HW_49mor,OM_UIE_20_24_HW_NS,OM_UIE_20_24_Tot,OM_UIE_25_29_HW_0,OM_UIE_25_29_HW_1_15,OM_UIE_25_29_HW_16_24,OM_UIE_25_29_HW_25_34,OM_UIE_25_29_HW_35_39,OM_UIE_25_29_HW_40,OM_UIE_25_29_HW_41_48,OM_UIE_25_29_HW_49mor,OM_UIE_25_29_HW_NS,OM_UIE_25_29_Tot,OM_UIE_30_34_HW_0,OM_UIE_30_34_HW_1_15,OM_UIE_30_34_HW_16_24,OM_UIE_30_34_HW_25_34,OM_UIE_30_34_HW_35_39,OM_UIE_30_34_HW_40,OM_UIE_30_34_HW_41_48,OM_UIE_30_34_HW_49mor,OM_UIE_30_34_HW_NS,OM_UIE_30_34_Tot,OM_UIE_35_39_HW_0,OM_UIE_35_39_HW_1_15,OM_UIE_35_39_HW_16_24,OM_UIE_35_39_HW_25_34,OM_UIE_35_39_HW_35_39,OM_UIE_35_39_HW_40,OM_UIE_35_39_HW_41_48,OM_UIE_35_39_HW_49mor,OM_UIE_35_39_HW_NS,OM_UIE_35_39_Tot,OM_UIE_40_44_HW_0,OM_UIE_40_44_HW_1_15,OM_UIE_40_44_HW_16_24,OM_UIE_40_44_HW_25_34,OM_UIE_40_44_HW_35_39,OM_UIE_40_44_HW_40,OM_UIE_40_44_HW_41_48,OM_UIE_40_44_HW_49mor,OM_UIE_40_44_HW_NS,OM_UIE_40_44_Tot,OM_UIE_45_49_HW_0,OM_UIE_45_49_HW_1_15,OM_UIE_45_49_HW_16_24,OM_UIE_45_49_HW_25_34,OM_UIE_45_49_HW_35_39,OM_UIE_45_49_HW_40,OM_UIE_45_49_HW_41_48,OM_UIE_45_49_HW_49mor,OM_UIE_45_49_HW_NS,OM_UIE_45_49_Tot,OM_UIE_50_54_HW_0,OM_UIE_50_54_HW_1_15,OM_UIE_50_54_HW_16_24,OM_UIE_50_54_HW_25_34,OM_UIE_50_54_HW_35_39,OM_UIE_50_54_HW_40,OM_UIE_50_54_HW_41_48,OM_UIE_50_54_HW_49mor,OM_UIE_50_54_HW_NS,OM_UIE_50_54_Tot,OM_UIE_55_59_HW_0,OM_UIE_55_59_HW_1_15,OM_UIE_55_59_HW_16_24,OM_UIE_55_59_HW_25_34,OM_UIE_55_59_HW_35_39,OM_UIE_55_59_HW_40,OM_UIE_55_59_HW_41_48,OM_UIE_55_59_HW_49mor,OM_UIE_55_59_HW_NS,OM_UIE_55_59_Tot,OM_UIE_60_64_HW_0,OM_UIE_60_64_HW_1_15,OM_UIE_60_64_HW_16_24,OM_UIE_60_64_HW_25_34,OM_UIE_60_64_HW_35_39,OM_UIE_60_64_HW_40,OM_UIE_60_64_HW_41_48,OM_UIE_60_64_HW_49mor,OM_UIE_60_64_HW_NS,OM_UIE_60_64_Tot,OM_UIE_65_69_HW_0,OM_UIE_65_69_HW_1_15,OM_UIE_65_69_HW_16_24,OM_UIE_65_69_HW_25_34,OM_UIE_65_69_HW_35_39,OM_UIE_65_69_HW_40,OM_UIE_65_69_HW_41_48,OM_UIE_65_69_HW_49mor,OM_UIE_65_69_HW_NS,OM_UIE_65_69_Tot,OM_UIE_70_74_HW_0,OM_UIE_70_74_HW_1_15,OM_UIE_70_74_HW_16_24,OM_UIE_70_74_HW_25_34,OM_UIE_70_74_HW_35_39,OM_UIE_70_74_HW_40,OM_UIE_70_74_HW_41_48,OM_UIE_70_74_HW_49mor,OM_UIE_70_74_HW_NS,OM_UIE_70_74_Tot
9OTER,0,0,0,0,0,3,0,7,0,15,0,0,0,3,0,0,0,3,0,5,4,0,0,0,0,9,3,5,0,18,0,0,0,0,4,0,0,0,0,6,0,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,3,9,16,7,18,9,26,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,6,3,4,3,3,3,3,0,23,0,4,0,0,0,8,0,5,0,17,0,0,0,0,4,3,0,9,0,21,3,6,3,0,3,9,3,12,0,32,0,0,3,3,6,9,0,6,3,39,0,6,5,4,4,6,7,10,0,46,3,3,5,3,3,4,3,4,0,31,0,3,0,3,3,9,0,3,0,24,4,3,0,3,0,0,0,3,0,17
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,17,51,59,133,108,321,161,605,18,1465,16,51,54,113,109,263,128,492,17,1242,25,70,60,88,82,211,102,400,9,1050,21,74,80,80,65,149,63,231,4,763,14,82,57,65,35,82,45,114,6,504,5,50,23,29,13,31,10,48,0,210,6,32,13,11,6,20,3,18,0,109,170,627,524,818,765,1980,894,3295,122,9191,0,47,8,0,0,4,4,11,0,70,8,77,29,20,23,32,13,49,12,269,5,78,41,52,52,92,41,96,14,478,25,128,71,87,81,142,55,152,12,744,14,147,94,117,81,120,54,170,14,819,13,140,85,126,68,146,67,215,11,876,15,124,78,121,92,169,87,236,16,945,21,125,92,122,96,157,85,255,13,973,34,136,117,116,87,120,71,185,6,878,26,196,106,97,54,94,46,141,11,769,26,183,88,73,34,57,20,73,6,549,11,78,39,28,7,17,15,25,3,222
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,6,3,13,4,29,18,24,0,100,0,5,3,10,4,32,9,28,0,89,3,3,3,6,7,12,7,17,0,65,5,9,5,5,3,8,6,9,0,50,0,0,4,4,0,4,0,10,0,20,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,16,45,34,68,65,200,88,278,10,805,0,21,0,0,0,0,0,0,3,38,7,34,4,13,4,17,10,13,4,106,0,18,5,19,26,32,9,25,0,141,4,21,3,20,16,44,10,35,0,149,7,25,16,27,24,44,7,24,0,165,3,29,27,23,20,37,13,29,0,175,3,26,31,35,13,49,14,27,3,196,6,35,15,31,17,24,15,26,0,173,3,35,21,27,10,40,6,21,4,170,4,27,18,21,12,29,8,9,0,119,0,21,14,8,3,8,3,6,0,70,3,12,7,0,0,0,3,0,0,24
7RNTE,3,7,4,13,9,37,10,101,0,189,3,9,9,15,15,29,10,104,3,201,8,5,6,13,9,39,19,80,3,170,13,8,3,14,10,19,12,62,0,137,8,5,7,3,7,7,5,39,0,75,0,0,0,4,10,4,0,12,0,33,0,0,0,3,0,0,3,6,0,15,44,64,38,77,95,205,92,597,24,1238,0,7,3,0,0,0,0,3,3,11,3,0,3,0,3,5,0,11,0,29,3,6,10,6,6,7,13,29,7,83,3,21,11,13,11,16,9,36,3,110,3,22,4,19,8,21,10,30,3,120,7,16,13,11,9,16,7,44,0,117,3,15,6,9,4,21,15,54,5,136,4,22,6,8,8,29,18,57,8,166,5,10,9,12,8,31,6,49,0,138,4,21,14,14,6,18,8,38,5,125,3,11,13,7,3,11,3,17,0,73,0,13,0,3,0,5,4,10,0,33
7GDAR,9,10,21,28,37,99,50,238,4,508,9,11,10,25,35,81,46,236,11,468,19,18,20,27,28,76,45,169,3,396,0,13,17,15,23,50,18,125,4,270,4,15,12,17,8,26,10,65,8,160,0,14,3,6,10,17,3,10,0,66,3,6,3,3,3,3,3,3,0,24,73,151,138,223,263,588,301,1386,47,3172,3,5,3,3,0,0,0,0,0,16,0,7,5,3,16,14,4,12,3,64,4,29,13,38,19,31,11,43,7,190,11,37,25,32,30,47,19,87,4,301,8,48,24,36,38,51,26,91,6,334,3,41,33,34,34,60,47,113,6,369,11,35,27,53,34,72,39,137,5,415,9,43,39,63,33,71,41,117,7,424,9,46,33,52,27,57,16,96,8,347,7,46,35,45,24,41,19,66,7,296,3,27,27,22,17,24,3,44,0,170,0,15,4,11,4,9,8,21,0,78
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,4,3,0,3,8,3,7,0,31,7,0,0,3,3,16,5,12,0,50,6,0,6,6,5,3,0,15,0,42,5,6,0,4,6,3,3,12,3,30,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,34,27,15,24,37,57,29,91,12,331,0,0,0,0,0,0,0,0,0,6,0,3,4,9,0,6,0,7,0,30,3,0,4,9,6,5,9,12,0,50,4,11,3,16,7,10,5,19,0,78,8,7,6,10,4,11,5,21,0,82,3,15,9,11,8,21,13,13,0,104,4,13,3,20,10,19,15,27,4,110,9,11,12,11,6,18,6,17,0,94,14,13,8,9,0,17,10,12,4,89,4,13,5,10,3,7,0,3,0,53,3,7,4,0,0,7,3,9,0,29,0,4,0,0,0,0,0,0,0,5
