GCCSA_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
6RTAS,260,219,68,4020,3792,143,658,368,101,5059,4343,218,831,284,126,5811,5922,261,876,231,149,7437,9496,435,1174,254,160,11519,11837,573,1118,173,163,13867,12703,573,1030,158,141,14600,11936,721,987,111,137,13892,7339,546,602,74,65,8630,5930,545,425,56,47,7005,4038,251,233,27,41,4588,3646,465,348,45,28,4531,1057,525,387,48,24,2037,1171,84,156,83,126,1622,86849,5446,9220,2597,1406,105512
6GHOB,203,71,58,3705,3438,70,442,103,51,4108,3573,130,546,90,65,4399,4734,126,599,117,88,5669,8021,263,832,93,105,9314,9968,369,847,77,115,11380,12155,426,785,65,112,13539,12757,525,781,47,91,14192,8702,423,551,45,53,9776,7318,446,410,25,39,8236,4843,298,255,17,34,5448,5383,549,379,22,42,6376,1752,628,387,30,26,2823,918,57,91,33,85,1176,87152,4358,7171,1005,974,100657
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,4,11,0,0,0,0,11,14,0,0,0,0,15,9,0,0,0,0,9,0,0,0,0,0,0,50,3,0,0,0,55
69499,69,5,7,223,321,20,167,30,18,544,338,19,223,7,17,609,459,24,254,13,19,771,660,43,358,14,26,1100,700,69,323,10,15,1124,787,84,371,3,20,1271,755,96,374,0,12,1243,458,71,237,3,13,777,269,82,169,5,4,525,133,24,91,0,4,251,151,41,71,7,3,280,84,22,42,0,6,158,116,15,41,0,7,186,5407,613,2815,126,170,9132
5RWAU,519,489,109,6998,5623,228,997,617,143,7611,6525,354,1184,583,188,8835,8298,439,1305,583,194,10829,13509,831,1884,667,271,17162,16629,931,1917,492,254,20226,19583,1211,2200,495,280,23766,22099,1596,2441,521,284,26939,16923,1367,1667,348,176,20479,16834,1519,1440,284,160,20233,15638,862,865,168,128,17654,34837,1429,1215,213,212,37907,19933,1750,1176,267,131,23258,3159,232,450,279,232,4350,206089,12972,19556,7194,2833,248646
5GPER,1883,752,298,31831,29998,760,3086,863,313,35020,29459,1230,3359,777,423,35251,34486,1388,3703,671,405,40658,52157,2495,5333,861,537,61388,63891,3078,5255,703,608,73539,82712,4120,6084,603,690,94205,98702,5791,6567,671,659,112397,74430,4821,4712,423,458,84839,64388,5963,4119,356,334,75153,48705,3759,2528,266,242,55506,77739,7147,3758,358,307,89311,40583,9374,4092,397,270,54721,9357,700,858,251,644,11813,737794,51438,55976,10098,6322,861625
59799,0,0,0,5,0,0,0,0,0,3,8,0,0,0,0,5,8,0,0,0,0,9,8,0,0,0,0,7,12,0,0,0,0,19,20,0,0,0,0,21,40,0,3,0,0,44,28,0,3,0,0,32,48,9,0,0,0,57,77,0,0,0,3,79,434,3,5,0,0,447,820,7,8,0,0,837,26,0,0,0,3,32,1533,22,23,5,8,1595
59499,382,58,32,1492,1398,72,777,74,33,2352,1499,101,917,58,55,2629,1886,128,1044,53,55,3165,2617,246,1483,77,79,4508,2839,304,1594,58,90,4883,3439,501,1938,53,92,6020,3965,688,2310,61,98,7117,3055,590,1821,29,68,5570,2460,641,1419,29,52,4591,1892,392,849,6,42,3185,3352,511,996,15,45,4914,1711,354,370,19,32,2483,579,64,240,25,75,983,31866,4658,16258,754,848,54378
4RSAU,429,432,99,5618,4786,220,1039,622,161,6819,5489,330,1201,564,165,7756,7367,478,1390,541,212,9977,12005,715,2006,570,245,15539,14788,886,1924,492,262,18351,16477,968,1894,438,277,20061,15176,1229,1845,401,211,18853,9512,883,1157,237,102,11892,7426,829,907,204,110,9481,5301,477,495,129,42,6442,6278,645,703,171,50,7850,1745,724,639,191,62,3369,1675,155,327,235,174,2568,112942,8717,16248,6161,2224,146296
4GADE,1130,464,252,20811,20335,565,2311,702,328,24237,20098,913,2649,656,355,24667,25543,1111,3102,530,455,30756,41412,1815,4440,584,496,48748,54247,2332,4116,473,536,61704,68351,2929,4423,383,542,76629,70694,3671,4173,352,499,79393,46992,2911,2497,178,281,52853,39107,3190,2027,207,214,44761,27225,1793,1144,96,115,30372,32466,3123,1875,171,153,37789,12331,3902,2314,188,129,18864,5663,413,503,142,445,7176,484637,29190,37092,6352,4901,562169
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,7,0,0,0,0,7,21,0,0,0,0,22,15,0,0,0,0,15,0,0,0,0,0,0,52,0,4,0,0,64
49499,303,46,19,1082,1110,59,661,50,39,1914,1257,99,781,52,63,2250,1593,108,922,54,56,2729,2255,196,1362,45,65,3932,2307,326,1469,34,59,4199,2527,366,1591,35,79,4601,2502,471,1642,25,53,4697,1471,324,1072,19,37,2932,1043,314,688,14,27,2077,610,150,366,0,8,1133,743,205,354,12,12,1332,257,126,148,10,10,551,318,55,160,22,36,591,18802,2837,11594,492,577,34306
3RQLD,2380,1830,445,37103,30482,1221,4913,2492,594,39707,33787,2327,5849,2335,837,45135,44705,2511,6619,1904,835,56571,77418,4836,9201,2053,1083,94593,102635,5945,8823,1547,1185,120137,115032,7039,8942,1400,1088,133502,109834,8815,8647,1283,965,129545,72678,6926,5622,809,571,86606,60777,7533,4319,615,461,73713,39682,3917,2496,384,257,46739,54493,6494,3348,496,349,65180,19848,7497,3236,721,299,31601,12217,1269,1537,1033,1070,17131,808289,67459,77247,23575,10270,986831
3GBRI,2077,971,304,34894,32581,1009,3562,1176,432,38760,33166,1789,4118,1105,512,40689,40407,2085,4534,922,556,48502,67426,3704,6319,1053,781,79283,94502,4611,6251,805,842,107009,118852,5873,6531,709,870,132831,129313,7408,6657,670,720,144764,92999,5930,4353,383,448,104115,80921,7187,3455,348,373,92286,53821,3960,2165,203,214,60373,78396,7426,3069,293,282,89460,36746,9530,3920,388,262,50849,11439,945,919,298,797,14396,904578,62455,58597,11759,7520,1044909
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,10,9,0,0,0,0,9,5,0,0,0,0,12,14,0,3,0,0,17,17,0,3,0,0,22,17,0,3,0,0,22,13,0,0,0,0,14,12,0,3,0,0,17,43,5,0,0,0,47,28,0,0,0,0,28,3,0,0,0,0,3,174,12,15,6,0,202
39499,730,122,50,2731,2311,184,1512,183,80,4270,2884,268,2000,161,109,5421,3699,388,2206,123,146,6557,5540,671,3027,118,181,9539,6518,908,3089,105,149,10762,7825,1178,3562,85,185,12836,8494,1637,3722,89,178,14120,5796,1321,2537,48,95,9798,4201,1353,1771,47,71,7445,2850,695,1060,25,55,4683,3400,879,996,33,40,5346,1330,515,445,25,41,2356,1131,186,493,58,169,2040,58103,10357,27359,1522,1571,98920
2RVIC,1550,1314,473,25390,19843,933,3193,1786,474,26228,21934,1520,4105,1742,582,29883,28081,1861,4602,1450,621,36616,45317,3224,6107,1636,832,57115,57142,3862,5777,1241,879,68898,64108,4419,5922,1026,828,76308,60375,4866,5329,837,698,72104,39092,3576,3304,495,325,46797,29708,3461,2458,334,314,36284,19834,1871,1396,235,208,23544,21570,3022,1952,269,206,27015,7588,3511,1924,417,167,13607,7382,755,1075,650,678,10535,445362,37599,49662,16285,7444,556360
2GMEL,3980,1891,850,72826,70753,2652,7429,2406,1079,84315,70775,4686,8556,2332,1273,87624,82696,5444,9521,1902,1464,101025,128938,9342,13075,2114,1806,155278,174887,11996,12789,1744,2072,203480,224397,14326,13738,1480,2220,256152,242642,17326,13296,1262,1863,276388,174980,13439,8996,728,1099,199247,144246,14574,6889,732,859,167306,100967,8869,4442,423,546,115243,151242,15321,6432,579,629,174205,81947,20544,8421,771,674,112356,27199,2514,2159,764,1947,34589,1747384,143527,121009,24076,18785,2054783
29799,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,7,4,0,0,0,7,5,0,0,0,0,5,5,0,0,0,0,9,10,0,0,0,0,7,8,0,0,0,0,8,11,0,0,0,0,11,28,0,0,0,0,28,59,0,0,0,0,60,3,0,0,3,0,5,139,3,4,3,3,155
29499,719,135,66,3522,3530,222,1875,169,127,5917,3897,409,2220,159,142,6830,5299,620,2736,140,218,9016,7172,1064,3875,136,240,12486,7334,1502,4014,123,246,13207,8409,2099,4601,128,268,15509,8405,2518,4853,103,267,16146,6024,1804,3268,53,157,11307,4322,1770,2184,26,106,8413,2767,863,1196,23,56,4907,3144,1064,1089,20,63,5374,1130,636,508,36,45,2357,1595,397,640,76,216,2924,66028,15169,33979,1616,2241,119037
1RNSW,2447,1951,662,39618,32059,1266,5700,2881,847,42754,37013,2212,7019,2739,1061,50042,48661,2545,7931,2327,1163,62624,80569,4672,11293,2494,1377,100401,103540,5623,10679,1807,1396,123048,113607,6775,10971,1633,1374,134360,106015,8161,10188,1439,1120,126928,69169,5754,6390,817,652,82781,56355,6057,4790,684,544,68422,42977,3229,2816,388,285,49703,53705,5464,3892,552,377,63984,16483,6351,4066,618,265,27785,12174,989,1825,1012,1203,17207,809074,59974,91362,25609,12584,998604
1GSYD,3844,1603,647,62603,65297,2360,6816,2124,969,77559,70416,4237,8456,2194,1205,86515,83768,5076,9902,1767,1389,101898,128451,9530,14024,2058,1846,155904,174079,12145,14048,1620,2026,203916,224852,15489,15039,1499,2209,259091,251620,18989,15189,1355,1992,289134,186653,14840,10078,774,1204,213551,162751,16043,8195,683,901,188570,122593,10185,5290,445,645,139162,200833,18444,7889,637,823,228631,124744,25701,10721,944,798,162907,25434,2456,2107,615,1972,32579,1883735,157758,132937,22667,19028,2216135
19799,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,9,0,3,0,0,12,8,0,0,0,0,10,6,3,3,0,0,14,4,0,0,0,0,4,8,0,0,0,0,9,4,0,0,0,0,4,12,0,0,0,0,11,11,0,0,0,0,16,0,0,0,0,0,0,65,7,16,0,3,90
19499,939,174,77,3849,3820,260,2162,178,154,6583,4682,498,2945,203,187,8520,6261,639,3501,169,235,10803,8914,1278,4797,200,288,15476,9332,1717,4905,143,291,16387,10723,2314,5589,137,315,19077,10878,2898,5773,99,312,19961,6945,2053,3893,51,143,13076,5266,1907,2729,65,108,10075,3120,1043,1492,20,64,5739,3772,1211,1563,44,74,6653,1316,814,718,44,48,2938,1527,372,690,70,255,2913,79641,17188,41955,1991,2587,143362
