GCCSA_CODE_2016,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
9OTER,0,0,0,58,53,0,3,0,3,61,64,3,5,0,0,72,55,6,9,0,3,72,70,3,7,0,0,78,72,0,9,0,3,86,65,0,10,0,0,81,41,0,4,0,0,51,25,0,5,3,0,30,6,0,8,0,0,13,0,0,0,0,0,0,535,20,66,5,9,632,23,0,0,0,0,21,21,0,0,0,0,21,17,0,0,0,0,23,33,4,9,0,0,47,31,3,4,0,0,36,46,0,0,0,0,52,31,0,7,0,0,38,35,0,4,0,0,40,32,0,7,0,0,39,29,0,3,3,0,40,20,0,6,0,0,28,8,0,0,0,0,14,3,6,3,0,0,13,335,11,38,10,11,406,59,0,6,0,3,72,26,0,7,0,7,37,956,34,112,21,28,1145,28,0,0,0,0,26,100,0,0,0,0,108,144,0,8,0,0,153,152,4,13,0,5,172,174,4,12,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,28,3,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,3,8,0,0,0
8ACTE,75,12,24,9564,8065,112,127,18,22,8334,6873,170,125,21,19,7206,7510,218,165,22,24,7942,7745,268,212,28,23,8277,7092,217,213,25,24,7574,5051,184,151,20,15,5424,2438,91,91,16,14,2644,635,49,43,10,7,748,114,20,21,10,0,164,30,6,9,5,0,47,61205,1427,1265,179,198,64272,4729,5,33,15,27,4810,4904,16,64,13,13,5009,2924,31,83,21,6,3069,3938,99,175,42,10,4266,4198,139,255,45,18,4651,3867,143,225,40,19,4299,3283,145,206,48,17,3696,2633,121,190,33,9,2995,2175,108,196,47,10,2535,1676,103,166,35,12,2000,810,64,145,34,15,1070,243,28,53,22,5,344,79,20,30,15,3,148,35461,1033,1820,414,176,38905,5911,68,94,28,44,6146,1261,34,44,37,106,1480,103836,2557,3220,654,528,110796,2025,3,15,8,13,2063,11041,94,122,5,35,11298,18964,366,283,28,48,19690,19154,686,428,35,53,20367,17165,860,427,44
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,0,0,70,56,3,6,0,0,65,39,3,8,0,0,49,46,3,3,0,0,59,50,10,10,0,0,69,39,13,9,0,0,55,27,3,9,0,0,39,15,0,3,0,0,20,10,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,408,29,55,4,3,499,88,3,8,0,0,104,113,0,24,3,0,144,65,4,22,0,0,84,53,5,7,4,0,70,59,3,18,0,0,84,50,9,20,0,0,78,62,8,29,4,0,100,59,3,25,3,0,92,56,3,26,0,0,86,60,0,17,0,0,77,28,0,10,0,0,42,6,0,0,0,0,9,0,0,0,0,0,5,692,37,217,19,5,972,130,5,16,3,5,157,44,0,9,0,10,61,1276,73,290,31,19,1683,133,0,9,0,0,140,421,5,48,0,0,478,459,73,90,0,0,635,360,100,99,0,3,569,302,94,99,5
7RNTE,14,3,7,1412,1200,21,19,0,4,1252,942,31,27,4,5,1000,969,43,30,7,8,1056,1128,53,27,8,6,1223,1103,50,37,12,12,1213,959,43,24,4,8,1043,596,30,25,4,8,665,201,9,10,4,3,222,35,7,6,0,0,42,10,0,3,3,0,16,9596,301,227,56,66,10242,320,0,3,0,3,331,285,0,0,3,3,289,365,6,21,9,0,395,513,7,24,3,3,553,450,8,26,3,13,508,433,16,24,0,3,473,392,11,16,4,7,431,299,16,21,3,4,349,279,11,17,6,3,320,203,3,20,5,0,232,105,6,11,8,3,133,36,0,3,7,0,46,14,0,9,3,0,18,3700,86,201,53,41,4087,721,15,10,10,21,773,433,8,17,11,43,504,14444,418,452,126,170,15613,558,0,3,0,10,573,1927,3,17,4,10,1969,3057,38,55,3,15,3169,2871,81,72,3,8,3037,2332,79,70,10
7GDAR,37,3,14,3064,2657,54,73,10,16,2810,2241,65,66,8,12,2391,2205,121,99,16,24,2455,2221,121,110,15,16,2480,1965,123,104,10,14,2216,1549,102,63,16,16,1737,856,51,46,12,6,965,290,27,25,7,3,351,48,8,9,11,0,76,16,3,3,3,0,21,19262,697,647,99,131,20845,1041,3,3,6,12,1068,909,5,9,5,4,938,973,17,45,5,6,1036,1057,28,64,17,11,1181,979,40,76,23,5,1130,846,43,79,18,14,996,727,36,77,19,9,867,548,23,68,18,9,669,530,37,57,15,3,644,364,23,46,15,4,453,198,16,28,13,3,257,55,13,17,9,0,92,19,0,12,4,3,40,8262,293,573,175,81,9382,1469,26,31,15,26,1564,503,15,18,19,67,623,29507,1028,1272,304,303,32412,927,0,0,0,10,943,4401,29,40,3,24,4498,7087,90,105,9,42,7342,7058,200,184,24,49,7518,6017,311,207,25
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,20,0,0,0,0,20,3,0,0,0
79499,4,0,3,51,46,3,4,0,0,50,33,4,3,4,0,43,20,3,5,0,0,32,23,0,6,0,0,39,33,4,8,0,0,44,22,0,4,0,0,28,15,3,4,3,0,21,5,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,265,22,55,9,3,356,16,0,0,0,0,14,20,0,3,0,0,30,24,0,6,0,0,28,29,3,16,0,0,43,22,3,10,3,0,37,20,5,20,0,0,43,13,3,13,0,0,29,15,0,15,0,0,30,13,3,16,0,0,36,23,7,9,3,0,37,3,0,0,0,0,4,3,0,0,0,0,6,3,0,0,0,0,3,201,20,108,15,3,352,83,6,11,5,3,111,19,3,5,0,8,33,571,58,183,23,14,849,49,0,0,0,0,48,156,3,13,3,5,176,336,16,31,0,6,394,296,31,43,0,7,367,214,32,45,4
