GCCSA_CODE_2016,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_15,OIDNS_2000_2999_H_16_24,OIDNS_2000_2999_H_25_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40,OIDNS_2000_2999_H_41_48,OIDNS_2000_2999_H_49mo,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000mo_H_0,OIDNS_3000mo_H_1_15,OIDNS_3000mo_H_16_24,OIDNS_3000mo_H_25_34,OIDNS_3000mo_H_35_39,OIDNS_3000mo_H_40,OIDNS_3000mo_H_41_48,OIDNS_3000mo_H_49mo,OIDNS_3000mo_H_NS,OIDNS_3000mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_15,OIDNS_PINS_H_16_24,OIDNS_PINS_H_25_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40,OIDNS_PINS_H_41_48,OIDNS_PINS_H_49mo,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_15,OIDNS_Tot_H_16_24,OIDNS_Tot_H_25_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40,OIDNS_Tot_H_41_48,OIDNS_Tot_H_49mo,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_15,Tot_NNI_H_16_24,Tot_NNI_H_25_34,Tot_NNI_H_35_39,Tot_NNI_H_40,Tot_NNI_H_41_48,Tot_NNI_H_49mo,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_15,Tot_1_149_H_16_24,Tot_1_149_H_25_34,Tot_1_149_H_35_39,Tot_1_149_H_40,Tot_1_149_H_41_48,Tot_1_149_H_49mo,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_15,Tot_150_299_H_16_24,Tot_150_299_H_25_34,Tot_150_299_H_35_39,Tot_150_299_H_40,Tot_150_299_H_41_48,Tot_150_299_H_49mo,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_15,Tot_300_399_H_16_24,Tot_300_399_H_25_34,Tot_300_399_H_35_39,Tot_300_399_H_40,Tot_300_399_H_41_48,Tot_300_399_H_49mo,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_15,Tot_400_499_H_16_24,Tot_400_499_H_25_34,Tot_400_499_H_35_39,Tot_400_499_H_40,Tot_400_499_H_41_48,Tot_400_499_H_49mo,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_15,Tot_500_649_H_16_24,Tot_500_649_H_25_34,Tot_500_649_H_35_39,Tot_500_649_H_40,Tot_500_649_H_41_48,Tot_500_649_H_49mo,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_15,Tot_650_799_H_16_24,Tot_650_799_H_25_34,Tot_650_799_H_35_39,Tot_650_799_H_40,Tot_650_799_H_41_48,Tot_650_799_H_49mo,Tot_650_799_H_NS,Tot_650_799_H_Tot,Tot_800_999_H_0,Tot_800_999_H_1_15,Tot_800_999_H_16_24,Tot_800_999_H_25_34,Tot_800_999_H_35_39,Tot_800_999_H_40,Tot_800_999_H_41_48,Tot_800_999_H_49mo,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_15,Tot_1000_1249_H_16_24,Tot_1000_1249_H_25_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40,Tot_1000_1249_H_41_48,Tot_1000_1249_H_49mo,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_15,Tot_1250_1499_H_16_24,Tot_1250_1499_H_25_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40,Tot_1250_1499_H_41_48,Tot_1250_1499_H_49mo,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_15,Tot_1500_1749_H_16_24,Tot_1500_1749_H_25_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40,Tot_1500_1749_H_41_48,Tot_1500_1749_H_49mo,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_15,Tot_1750_1999_H_16_24,Tot_1750_1999_H_25_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40,Tot_1750_1999_H_41_48,Tot_1750_1999_H_49mo,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_15,Tot_2000_2999_H_16_24,Tot_2000_2999_H_25_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40,Tot_2000_2999_H_41_48,Tot_2000_2999_H_49mo,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000mo_H_0,Tot_3000mo_H_1_15,Tot_3000mo_H_16_24,Tot_3000mo_H_25_34,Tot_3000mo_H_35_39,Tot_3000mo_H_40,Tot_3000mo_H_41_48,Tot_3000mo_H_49mo,Tot_3000mo_H_NS,Tot_3000mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_15,Tot_PINS_H_16_24,Tot_PINS_H_25_34,Tot_PINS_H_35_39,Tot_PINS_H_40,Tot_PINS_H_41_48,Tot_PINS_H_49mo,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_15,Tot_Tot_H_16_24,Tot_Tot_H_25_34,Tot_Tot_H_35_39,Tot_Tot_H_40,Tot_Tot_H_41_48,Tot_Tot_H_49mo,Tot_Tot_H_NS,Tot_Tot_H_Tot
9OTER,0,0,0,0,3,0,0,9,0,10,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,7,9,4,6,4,3,17,4,4,14,16,76,0,7,0,3,0,0,0,8,3,21,3,38,3,3,0,0,0,0,9,56,6,40,14,9,3,4,0,3,3,78,10,36,29,12,15,6,0,11,4,116,3,22,22,31,20,21,7,14,6,142,12,17,31,61,50,32,8,29,4,244,19,10,26,37,96,44,30,39,8,301,17,18,18,21,93,44,35,57,6,315,16,10,8,21,95,55,51,66,3,319,17,10,4,14,61,38,34,47,10,236,18,9,3,11,51,40,41,42,3,228,14,6,4,5,45,34,38,40,3,200,24,4,7,7,42,58,50,84,0,268,16,3,4,4,12,23,15,41,0,120,4,3,4,3,12,4,0,3,13,45,168,227,177,244,591,410,319,476,75,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,6,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,5,3,0,0,0,0,3,0,0,3,9,4,0,0,0,0,5,0,4,0,5,0,0,0,0,0,0,0,4,0,10,3,0,0,0,0,3,0,3,0,9,4,0,0,0,4,4,0,4,0,17,9,0,0,0,0,3,0,16,0,27,0,0,0,0,0,0,0,0,0,0,31,8,6,7,4,22,4,31,6,118
8ACTE,50,19,10,44,206,301,161,202,51,1033,9,15,12,13,29,82,50,131,26,373,6,9,8,15,26,36,7,26,237,369,290,261,236,355,1351,1147,450,619,873,5577,115,287,96,64,73,82,26,102,66,909,410,5574,427,123,66,44,23,61,205,6937,315,4028,1227,383,111,109,37,115,229,6560,212,2475,1790,640,232,205,54,159,165,5928,260,1684,2508,1156,490,390,156,244,193,7076,427,1618,2571,2676,1472,922,351,645,226,10909,547,1086,1979,2870,3686,2003,781,955,233,14143,637,846,1702,2740,6018,3559,1636,1782,277,19202,935,791,1587,2660,8384,5511,2605,2723,311,25509,1217,594,1011,2241,8690,5961,2818,2732,235,25504,1326,500,750,2074,8276,6330,2914,3023,208,25392,794,308,455,1207,4641,4810,2517,2786,152,17666,1687,521,658,1561,7677,10534,6634,7412,216,36899,447,291,302,644,1227,4014,2600,6127,104,15752,81,191,148,170,401,375,166,268,464,2262,9400,20815,17212,21208,51430,44855,23313,29131,3273,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,3,0,5,0,13,0,3,0,0,0,3,0,0,0,13,0,0,0,0,3,3,0,0,11,18,12,19,11,10,25,40,13,14,31,178,13,20,3,4,4,4,3,10,3,70,23,211,17,0,7,0,3,3,23,294,31,167,33,19,0,16,4,4,11,286,20,143,61,32,6,21,3,3,8,305,10,114,72,59,27,53,12,22,12,373,29,106,130,87,62,96,39,32,13,597,21,69,83,123,121,134,44,52,14,658,34,60,67,106,150,221,73,101,3,809,36,43,48,78,196,317,124,150,15,1008,24,24,20,47,92,201,120,166,4,702,32,14,10,27,79,175,69,155,12,577,15,3,11,11,37,102,49,115,5,351,20,14,7,23,46,106,60,149,0,436,10,14,9,13,11,58,26,91,0,238,0,9,0,10,21,21,9,21,27,115,317,1019,574,659,860,1521,641,1078,157,6817
7RNTE,3,0,0,0,3,12,8,18,4,53,3,4,0,0,0,7,3,13,5,35,0,8,4,6,6,3,3,8,125,174,55,63,48,58,140,115,49,122,433,1082,29,39,26,18,17,23,6,54,28,243,50,402,76,57,39,29,7,31,87,775,45,391,256,219,171,114,18,63,163,1434,36,233,222,198,171,88,28,58,57,1085,52,188,247,236,227,120,17,105,43,1237,85,213,311,482,528,347,104,239,75,2386,92,116,190,425,795,560,221,438,69,2906,133,119,128,309,1086,716,351,654,73,3566,168,93,120,260,1333,983,445,942,73,4416,171,57,82,159,1005,727,418,945,40,3599,182,38,57,117,765,753,365,887,48,3211,132,28,38,85,502,599,331,744,26,2485,278,45,54,88,420,723,535,1694,35,3868,100,27,25,35,96,252,172,691,21,1405,35,100,61,74,155,124,62,138,231,978,1581,2091,1889,2754,7310,6152,3073,7684,1071,33604
7GDAR,8,3,0,0,16,15,10,36,19,124,7,5,3,3,4,10,3,54,8,100,12,9,0,9,17,18,3,15,148,230,92,57,50,67,236,206,91,268,390,1456,38,128,35,36,34,31,19,59,43,418,79,1074,113,40,18,23,8,24,50,1432,52,762,298,97,43,43,13,61,43,1418,44,526,541,176,93,67,29,48,53,1580,64,377,807,382,139,133,46,104,63,2126,138,365,772,903,521,323,125,222,94,3464,162,252,476,971,1592,754,348,377,107,5036,270,222,373,792,2578,1667,749,821,145,7605,394,230,314,690,3017,2406,1285,1568,188,10093,376,136,196,439,2239,2008,1183,1703,126,8405,386,110,135,367,1818,1856,1002,1800,93,7571,304,75,85,203,1200,1322,819,1865,72,5930,499,121,131,271,1288,1825,1183,4494,116,9911,321,85,66,150,309,644,461,4116,71,6222,43,73,64,69,152,169,76,214,307,1170,3166,4534,4399,5589,15038,13267,7341,17475,1571,72381
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,16,0,0,0,0,0,0,6,18,0,20,3,0,0,0,0,4,3,26,0,33,0,0,0,0,0,0,0,0,0,3,9,0,3,3,4,4,7,60,3,91
79499,0,0,0,0,0,3,0,6,3,7,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,10,15,23,0,8,3,11,13,7,28,31,122,7,4,3,7,3,7,0,10,3,43,9,30,10,3,0,4,0,4,4,60,14,48,18,11,4,0,3,4,6,111,18,33,23,12,8,11,3,9,3,117,11,36,36,11,13,11,4,9,0,135,18,36,30,35,21,28,11,25,9,227,19,10,26,50,32,30,21,42,12,238,25,22,28,41,69,69,32,54,4,353,44,15,22,46,72,119,47,110,8,480,22,22,14,26,43,81,55,121,6,386,29,11,5,21,24,60,33,131,9,318,32,5,4,12,27,46,41,130,3,296,46,5,9,14,24,56,38,301,9,499,30,4,4,12,10,22,13,235,0,319,6,8,3,4,0,13,5,14,30,85,334,295,225,297,358,561,299,1194,109,3674
