GCCSA_CODE_2016,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
9OTER,21,19,0,0,41,71,18,8,3,96,95,19,15,3,127,114,16,7,3,143,131,20,8,8,165,124,8,10,3,147,131,21,10,6,163,141,38,4,3,192,147,21,13,4,187,101,24,10,4,143,67,28,6,0,104,20,5,0,0,25,13,5,0,3,22,1167,245,98,37,1545,10,21,3,3,37,38,21,8,0,65,58,23,8,3,93,61,47,10,0,112,72,36,9,3,117,72,52,9,3,128,78,38,5,4,128,86,40,5,7,143,81,39,9,4,129,51,40,8,4,90,30,28,4,3,66,13,14,0,0,24,0,13,0,0,13,632,406,72,37,1145,26,41,3,10,75,108,39,11,3,161,153,37,19,5,212,172,61,22,3,250,197,60,21,9,289,195,53,20,5,271,210,55,16,7,289,233,76,9,10,335,222,60,24,7,320,147,62,17,6,234,98,58,7,6,167,33,23,0,0,54
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,5,3,3,0,11,3,0,0,0,10,8,0,3,0,9,3,5,3,0,14,5,6,6,0,15,8,0,0,0,13,7,0,4,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,44,17,19,3,83,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,3,3,0,8,0,0,0,0,0,0,0,0,0,3,3,0,3,0,4,0,0,0,0,3,3,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,0,32,0,0,0,0,0,0,0,4,0,7,4,4,3,0,16,3,4,5,0,17,8,3,3,0,11,3,5,3,3,16,8,6,6,0,19,12,0,0,0,18,5,3,4,0,12,0,0,0,0,3,4,0,3,0,3,0,0,0,0,0
8ACTE,1167,3541,202,167,5073,5846,4027,272,275,10424,10133,2003,304,218,12663,12031,1707,385,212,14338,11343,1489,328,216,13376,11006,1270,298,173,12745,10727,1112,286,146,12274,9348,1064,382,132,10922,7077,1167,331,101,8677,3811,1229,239,59,5340,1511,1017,145,33,2706,348,469,44,23,880,120,242,26,30,424,84456,20338,3259,1792,109846,896,4810,210,202,6122,5455,5009,406,263,11137,9564,3069,834,155,13619,8334,4266,1503,157,14262,7206,4651,983,143,12986,7942,4299,495,112,12842,8277,3696,380,136,12488,7574,2995,438,108,11107,5424,2535,423,86,8475,2644,2000,294,60,4992,748,1070,126,32,1977,164,344,31,15,553,47,148,24,23,245,64272,38905,6146,1480,110796,2063,8350,416,365,11188,11298,9034,684,539,21559,19690,5079,1140,374,26283,20367,5972,1887,368,28594,18553,6142,1309,366,26366,18946,5563,797,280,25587,19002,4806,667,280,24765,16919,4061,820,234,22031,12502,3703,755,192,17153,6459,3226,531,116,10335,2257,2086,273,65,4678,505,814,76,38,1437
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,132,122,9,7,274,419,170,14,12,618,565,118,14,21,711,502,99,15,8,627,456,85,18,14,569,407,122,7,3,541,359,122,11,12,507,295,99,25,10,423,237,111,21,5,378,156,109,10,6,274,56,74,5,0,138,10,30,0,0,39,3,12,3,0,20,3600,1275,162,104,5137,7,104,12,11,134,60,144,22,17,235,70,84,17,8,179,65,70,21,6,159,49,84,19,0,153,59,78,15,8,149,69,100,14,0,180,55,92,9,0,161,39,86,7,4,137,20,77,10,3,111,9,42,4,0,56,0,9,3,3,12,3,5,3,4,11,499,972,157,61,1683,140,228,20,17,410,478,312,36,23,847,635,200,36,29,895,569,172,35,13,789,502,168,37,14,725,468,198,20,11,698,430,226,21,15,690,349,192,37,15,587,275,200,30,11,516,174,184,18,6,385,69,113,12,0,199,13,37,4,5,53
7RNTE,317,353,33,42,747,1128,230,47,65,1472,1754,262,76,81,2170,1786,279,87,74,2230,1511,242,100,60,1904,1519,234,85,56,1897,1548,222,83,45,1895,1555,217,95,49,1918,1378,192,95,35,1702,932,189,63,28,1218,383,129,31,14,560,118,64,10,9,196,45,32,3,4,79,13978,2645,808,559,17986,256,331,20,43,652,842,289,46,62,1252,1412,395,117,60,1992,1252,553,132,65,2001,1000,508,94,57,1658,1056,473,64,39,1628,1223,431,71,47,1773,1213,349,73,55,1685,1043,320,77,34,1460,665,232,51,21,970,222,133,25,13,394,42,46,3,7,99,16,18,3,7,53,10242,4087,773,504,15613,573,687,58,87,1399,1969,526,92,132,2720,3169,656,192,148,4160,3037,836,221,140,4227,2514,748,192,110,3566,2578,703,150,93,3525,2775,659,148,88,3667,2765,571,169,102,3603,2421,511,169,71,3167,1598,421,114,49,2183,608,263,56,28,953,164,106,11,13,293
7GDAR,554,905,62,68,1588,2624,720,160,134,3636,4270,621,184,139,5215,4702,479,217,122,5522,4197,381,153,100,4830,3828,338,160,91,4419,3735,333,152,76,4307,3222,333,155,85,3804,2571,337,172,58,3137,1710,316,106,41,2173,644,240,47,16,939,162,94,16,6,275,58,48,7,5,124,32275,5146,1597,947,39969,392,1068,42,59,1561,1875,938,114,83,3010,3064,1036,216,83,4410,2810,1181,326,86,4401,2391,1130,205,51,3777,2455,996,131,48,3630,2480,867,124,66,3537,2216,669,142,54,3088,1737,644,135,42,2556,965,453,78,31,1526,351,257,44,17,662,76,92,9,4,183,21,40,4,9,74,20845,9382,1564,623,32412,943,1978,99,126,3147,4498,1659,279,216,6652,7342,1657,397,220,9620,7518,1655,545,205,9926,6588,1509,360,146,8610,6289,1335,287,136,8044,6219,1203,278,146,7840,5441,1004,300,141,6885,4307,980,307,96,5692,2673,773,179,67,3695,989,495,85,36,1608,239,184,24,10,464
79799,0,0,0,0,0,3,0,0,0,4,3,0,0,0,3,17,3,0,0,21,5,0,0,0,4,12,0,0,0,13,6,0,0,0,9,12,0,3,3,15,14,0,0,0,15,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,68,5,4,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,8,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,20,3,0,0,21,3,0,0,0,4,14,0,0,0,13,7,0,0,0,9,12,0,3,3,15,14,0,0,0,13,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0
79499,44,33,0,6,80,145,39,11,10,205,340,42,30,7,422,316,41,17,10,384,254,43,28,4,333,244,48,20,5,320,227,53,21,10,308,189,53,34,7,279,159,50,35,8,249,88,33,25,8,151,36,22,5,3,74,6,11,3,0,18,10,3,0,0,13,2056,468,228,74,2829,9,14,0,0,29,28,30,0,5,64,51,28,15,0,94,50,43,16,3,115,43,37,14,0,95,32,43,9,3,89,39,29,5,8,79,44,30,18,0,92,28,36,12,3,81,21,37,7,3,73,5,4,6,3,23,0,6,3,0,11,0,3,0,0,7,356,352,111,33,849,48,48,3,6,110,176,61,10,17,264,394,72,42,13,516,367,84,29,12,496,300,84,36,6,427,274,89,30,12,413,268,87,29,15,389,232,83,51,9,372,190,79,47,10,324,109,72,29,6,221,48,30,12,3,98,11,15,7,0,29
