GCCSA_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
6GHOB,6,6,0,3,15,743,527,52,68,1389,898,4173,241,134,5443,4203,4285,331,167,8983,6224,3018,415,166,9833,6424,3330,594,167,10520,6089,3478,441,118,10129,7002,3791,350,126,11263,7578,3594,316,136,11617,7475,3455,398,152,11476,6484,3517,450,117,10568,3464,2813,334,83,6695,1076,1545,121,51,2792,235,568,60,19,883,92,293,27,49,462,57235,37844,4087,1488,100657
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,4,4,0,0,0,5,3,0,0,0,7,5,0,0,0,5,4,0,0,0,5,9,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,5,0,55
69499,0,0,0,0,3,78,61,11,12,159,146,136,12,18,314,445,211,27,22,712,540,272,50,21,882,596,274,60,22,957,474,299,39,18,830,532,344,53,19,943,606,426,60,37,1130,590,426,59,28,1099,489,478,70,18,1050,298,418,57,19,790,81,168,24,6,278,15,56,7,13,85,12,28,4,7,54,4823,3544,518,250,9132
5RWAU,17,18,9,8,45,2011,956,157,194,3326,3410,6930,393,372,11102,11599,4291,721,484,17099,18625,4615,1485,470,25196,19884,6149,1872,530,28435,18186,6429,1423,471,26501,19605,7020,1273,513,28412,20763,6974,1411,554,29696,19703,6475,1530,531,28235,16506,6326,1586,437,24850,9859,5398,1165,298,16720,3747,3149,500,180,7576,1160,1502,204,113,2981,653,916,116,156,1836,163712,66170,13665,5099,248646
5GPER,10,42,4,11,72,5255,2939,306,483,8982,7655,34935,1371,1026,44994,40700,38411,2342,1923,83374,69014,25694,3590,1887,100179,71997,26950,4936,1679,105567,61853,27107,3499,1373,93829,62593,27983,2410,1340,94326,64750,26988,2395,1338,95476,59144,23991,2614,1102,86845,47288,22079,2717,904,72984,28381,19199,2279,603,50464,9813,11431,1141,312,22701,2205,4658,367,191,7422,819,2272,178,186,3458,526225,291704,29838,13860,861625
59799,0,0,0,0,0,6,0,3,0,8,9,8,0,0,12,37,0,0,3,42,131,10,10,3,155,199,7,29,5,244,190,16,24,0,223,192,10,14,8,229,175,11,29,4,216,185,10,32,0,230,131,3,19,0,154,49,3,3,0,64,9,0,0,0,17,3,0,0,0,3,4,0,0,0,4,1315,74,169,31,1595
59499,3,3,0,0,9,376,231,45,47,694,951,905,75,74,2008,2982,1814,248,133,5176,4302,1729,395,141,6570,4134,1720,436,163,6447,3503,1739,369,139,5747,3516,1958,327,121,5924,3580,2080,352,122,6137,3293,2041,361,121,5820,2462,1898,368,93,4818,1438,1633,339,68,3480,489,877,151,30,1547,116,300,48,12,474,51,125,37,22,229,30815,18821,3494,1251,54378
4RSAU,12,15,3,12,42,1266,849,109,123,2346,1844,5694,298,261,8100,6771,4157,466,247,11643,8352,3447,641,247,12682,8095,4170,692,264,13226,7884,4396,477,205,12966,9480,4867,466,244,15054,10899,5441,514,268,17127,10940,5389,640,265,17238,9931,5546,761,252,16493,6614,4599,693,184,12093,2516,2657,363,126,5664,866,1253,147,103,2361,573,797,106,163,1646,84769,52413,6274,2837,146296
4GADE,12,47,6,16,83,3715,2350,203,349,6618,3543,22706,920,616,27786,22996,27183,1593,1127,52902,38808,17245,2327,1058,59429,40899,18516,3419,974,63813,37365,18715,2321,784,59186,39751,19361,1553,748,61414,42522,19187,1489,837,64027,40450,17963,1788,703,60907,34340,16886,1968,539,53734,20510,13672,1545,454,36181,6589,7798,764,244,15392,1506,3097,232,146,4981,627,1450,137,193,2404,329918,203775,20058,8419,562169
49799,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,4,0,0,0,4,4,0,3,0,9,8,3,0,0,10,9,3,0,0,13,10,0,6,0,12,0,0,0,0,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,14,0,64
