GCCSA_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
9OTER,7,24,9,20,36,24,14,30,6,167,0,13,4,0,10,7,5,7,0,54,0,11,3,5,0,0,0,10,3,35,168,227,177,244,591,410,319,476,75,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,6,7,4,22,4,31,6,118
8ACTE,273,908,618,568,737,663,311,543,65,4678,76,413,232,171,149,149,71,136,38,1437,46,250,80,66,49,60,17,46,54,665,9400,20815,17212,21208,51430,44855,23313,29131,3273,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,12,54,30,31,17,31,12,12,0,199,4,22,6,4,0,3,4,4,5,53,4,15,3,0,0,0,0,0,4,32,317,1019,574,659,860,1521,641,1078,157,6817
7RNTE,56,89,102,77,166,149,73,220,28,953,11,52,22,29,45,37,18,63,13,293,6,26,15,10,12,10,10,25,7,130,1581,2091,1889,2754,7310,6152,3073,7684,1071,33604
7GDAR,85,180,147,164,318,257,99,320,36,1608,24,95,50,48,68,66,28,72,10,464,9,52,17,28,24,21,9,27,15,195,3166,4534,4399,5589,15038,13267,7341,17475,1571,72381
79799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,4,4,7,60,3,91
79499,12,18,10,3,6,16,4,22,3,98,7,12,4,0,3,0,6,4,0,29,4,0,0,3,0,4,0,3,0,20,334,295,225,297,358,561,299,1194,109,3674
6RTAS,238,826,514,432,340,372,164,489,88,3466,67,414,205,152,63,121,53,176,63,1314,47,229,129,99,36,61,37,107,74,821,4615,14021,11926,14015,19611,15870,9238,14234,1978,105512
6GHOB,121,726,469,345,359,280,131,300,51,2792,60,328,143,91,63,72,35,70,19,883,27,177,63,53,26,23,22,20,49,462,4087,13123,11144,13585,21716,15861,8686,10971,1488,100657
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,3,3,3,28,0,55
69499,24,83,51,32,13,25,7,29,6,278,7,22,17,15,3,5,0,7,13,85,4,20,7,3,4,3,0,3,7,54,518,1454,963,1119,1132,1649,727,1317,250,9132
5RWAU,500,1435,920,792,660,857,517,1717,180,7576,204,729,419,352,141,282,155,585,113,2981,116,437,240,238,89,204,71,290,156,1836,13665,23776,19150,23242,30816,32950,24588,75352,5099,248646
5GPER,1141,4818,3741,2873,3073,2831,1441,2465,312,22701,367,2407,1326,935,594,683,301,630,191,7422,178,1296,620,362,193,255,125,242,186,3458,29838,107120,90511,94072,162135,163795,81234,119064,13860,861625
