GCCSA_CODE_2016,F_IDNS_H_0,F_IDNS_H_1_15,F_IDNS_H_16_24,F_IDNS_H_25_34,F_IDNS_H_35_39,F_IDNS_H_40,F_IDNS_H_41_48,F_IDNS_H_49_more,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_15,F_Tot_H_16_24,F_Tot_H_25_34,F_Tot_H_35_39,F_Tot_H_40,F_Tot_H_41_48,F_Tot_H_49_more,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_15,P_AgFF_H_16_24,P_AgFF_H_25_34,P_AgFF_H_35_39,P_AgFF_H_40,P_AgFF_H_41_48,P_AgFF_H_49_more,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_15,P_Min_H_16_24,P_Min_H_25_34,P_Min_H_35_39,P_Min_H_40,P_Min_H_41_48,P_Min_H_49_more,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_15,P_Mnf_H_16_24,P_Mnf_H_25_34,P_Mnf_H_35_39,P_Mnf_H_40,P_Mnf_H_41_48,P_Mnf_H_49_more,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_15,P_EGWWS_H_16_24,P_EGWWS_H_25_34,P_EGWWS_H_35_39,P_EGWWS_H_40,P_EGWWS_H_41_48,P_EGWWS_H_49_more,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_15,P_Const_H_16_24,P_Const_H_25_34,P_Const_H_35_39,P_Const_H_40,P_Const_H_41_48,P_Const_H_49_more,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_15,P_WST_H_16_24,P_WST_H_25_34,P_WST_H_35_39,P_WST_H_40,P_WST_H_41_48,P_WST_H_49_more,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_15,P_RetT_H_16_24,P_RetT_H_25_34,P_RetT_H_35_39,P_RetT_H_40,P_RetT_H_41_48,P_RetT_H_49_more,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_15,P_AcFd_H_16_24,P_AcFd_H_25_34,P_AcFd_H_35_39,P_AcFd_H_40,P_AcFd_H_41_48,P_AcFd_H_49_more,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_15,P_TPW_H_16_24,P_TPW_H_25_34,P_TPW_H_35_39,P_TPW_H_40,P_TPW_H_41_48,P_TPW_H_49_more,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_15,P_IMT_H_16_24,P_IMT_H_25_34,P_IMT_H_35_39,P_IMT_H_40,P_IMT_H_41_48,P_IMT_H_49_more,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_15,P_FinIns_H_16_24,P_FinIns_H_25_34,P_FinIns_H_35_39,P_FinIns_H_40,P_FinIns_H_41_48,P_FinIns_H_49_more,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_15,P_RHRE_H_16_24,P_RHRE_H_25_34,P_RHRE_H_35_39,P_RHRE_H_40,P_RHRE_H_41_48,P_RHRE_H_49_more,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_15,P_ProSTS_H_16_24,P_ProSTS_H_25_34,P_ProSTS_H_35_39,P_ProSTS_H_40,P_ProSTS_H_41_48,P_ProSTS_H_49_more,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_15,P_AdSup_H_16_24,P_AdSup_H_25_34,P_AdSup_H_35_39,P_AdSup_H_40,P_AdSup_H_41_48,P_AdSup_H_49_more,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_15,P_PubAS_H_16_24,P_PubAS_H_25_34,P_PubAS_H_35_39,P_PubAS_H_40,P_PubAS_H_41_48,P_PubAS_H_49_more,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_15,P_EdTrn_H_16_24,P_EdTrn_H_25_34,P_EdTrn_H_35_39,P_EdTrn_H_40,P_EdTrn_H_41_48,P_EdTrn_H_49_more,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_15,P_HltHC_SA_H_16_24,P_HltHC_SA_H_25_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40,P_HltHC_SA_H_41_48,P_HltHC_SA_H_49_more,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_15,P_ArtsR_H_16_24,P_ArtsR_H_25_34,P_ArtsR_H_35_39,P_ArtsR_H_40,P_ArtsR_H_41_48,P_ArtsR_H_49_more,P_ArtsR_H_NS,P_ArtsR_H_Tot
9OTER,3,7,3,9,11,3,0,6,17,52,72,140,119,147,264,147,95,125,37,1145,0,3,4,5,6,4,3,9,0,35,22,8,4,3,55,16,29,50,3,191,0,9,6,3,12,5,5,3,4,43,0,3,0,0,12,11,3,9,0,45,13,8,8,13,34,38,27,32,0,173,0,0,0,0,3,10,7,4,0,30,6,31,21,32,33,21,21,27,3,195,14,38,35,35,64,21,17,37,10,267,16,17,10,14,23,26,7,14,3,123,0,3,0,0,8,3,0,0,0,24,4,3,3,3,8,3,0,0,0,23,0,7,3,4,3,7,0,6,0,26,6,3,3,7,17,20,10,11,0,69,5,22,17,26,40,13,5,13,6,146,32,18,22,16,158,96,140,196,8,680,10,20,16,32,32,36,18,27,3,186,17,19,5,16,32,33,4,10,0,134,8,3,11,11,32,10,11,3,0,82
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,4,0,0,0,7,6,3,0,3,3,8,0,0,0,32,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,4,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,10,0,0,5,0,0,0,0,0,0,9,5,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8ACTE,99,319,214,203,356,276,107,149,546,2280,6146,12736,11629,14532,26539,18367,9514,9854,1480,110796,26,60,44,58,116,91,35,70,8,499,7,4,8,3,12,16,10,24,0,71,93,354,195,216,697,780,428,575,23,3363,70,27,49,63,457,415,208,235,15,1529,215,420,432,605,1337,2941,1333,2532,141,9963,52,143,111,128,489,524,295,434,12,2198,530,3874,2189,2102,2937,1550,1093,1432,207,15919,443,4296,2195,1653,1729,1339,774,1363,279,14064,231,288,283,488,1095,1053,628,858,51,4979,161,277,252,305,1069,968,465,478,32,3999,146,187,201,292,941,816,400,469,21,3464,79,185,150,189,673,690,356,552,19,2899,613,1180,1214,1733,4512,5911,2600,3305,125,21197,177,678,703,584,1041,954,389,527,63,5120,4089,1470,2882,5181,21056,17627,9586,9244,464,71598,883,2910,1934,2304,4566,3152,1960,3098,170,20974,1110,2150,2958,3776,5737,3502,1415,1991,189,22831,140,918,418,430,722,471,274,392,46,3813
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,9,21,4,0,14,13,6,4,27,97,157,514,242,218,170,175,65,91,61,1683,0,5,3,5,6,6,3,3,0,28,0,0,0,0,0,0,0,0,0,7,3,5,13,6,16,18,11,21,0,94,3,0,0,4,21,15,9,10,0,70,67,121,124,237,374,925,393,600,36,2867,5,10,5,12,13,32,11,12,0,99,15,35,22,13,32,27,12,27,3,194,9,24,11,17,13,6,10,7,0,94,7,33,37,32,26,41,23,65,4,275,7,16,14,7,11,24,4,8,3,102,0,7,0,3,0,9,3,8,0,33,3,9,0,3,4,11,0,6,0,40,18,67,42,31,48,86,36,74,5,408,26,178,106,89,69,71,20,45,5,619,41,19,18,12,66,87,43,72,3,368,22,177,37,49,25,20,9,19,17,373,36,147,86,89,52,40,15,38,6,518,8,60,15,9,5,3,0,6,3,109
7RNTE,33,45,29,42,86,60,21,62,263,639,773,1203,1188,1699,3964,2743,1216,2323,504,15613,37,59,47,53,116,230,64,819,30,1460,264,32,50,35,63,163,249,1430,21,2303,18,29,15,19,74,95,68,121,3,426,16,11,4,13,82,79,50,86,3,341,75,75,47,101,293,364,229,813,26,2014,9,14,9,14,58,52,47,104,0,305,96,308,197,272,461,280,226,342,44,2229,70,224,165,214,382,454,259,615,37,2419,55,69,58,111,177,181,124,324,16,1120,8,28,15,16,73,47,15,29,0,230,5,11,9,20,49,36,13,16,3,166,6,9,17,26,80,61,34,52,7,290,35,67,48,73,213,232,136,224,9,1040,25,78,76,115,187,163,92,217,20,975,264,192,214,352,1668,1299,562,776,68,5404,184,278,290,468,951,743,345,654,60,3981,246,242,338,523,1574,980,317,520,82,4821,31,91,67,88,143,136,49,83,14,710
7GDAR,54,99,75,90,177,162,44,100,260,1071,1564,2839,2808,3737,8187,5640,2813,4196,623,32412,23,48,43,52,74,165,71,243,21,734,109,20,17,24,71,129,125,811,21,1329,65,98,79,106,416,484,289,511,22,2083,66,17,19,53,374,291,180,321,18,1341,343,236,223,356,857,1349,798,4710,128,8999,33,42,54,77,383,354,199,305,13,1447,166,860,604,670,1214,641,401,629,74,5267,90,839,730,610,812,569,370,639,83,4746,138,125,195,294,726,657,448,766,49,3400,33,56,47,44,200,158,92,106,16,749,62,29,33,91,234,252,83,180,6,972,37,81,52,75,278,220,148,301,9,1210,210,229,213,307,725,908,411,2223,46,5274,70,195,202,225,415,329,179,335,27,1977,940,223,352,622,3663,3128,1879,2388,165,13362,224,452,480,528,1309,1014,583,993,63,5640,314,389,622,898,1953,1273,508,713,89,6771,45,206,130,145,330,305,109,195,18,1489
79799,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,7,3,0,0,0,0,4,4,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,7,10,7,9,11,15,3,9,19,76,111,140,103,109,97,100,32,121,33,849,9,4,6,5,9,14,3,49,3,102,27,3,3,0,3,11,7,84,3,145,3,6,3,4,10,10,0,15,0,57,0,0,0,3,5,7,0,19,0,36,99,49,58,94,112,266,147,555,22,1411,5,0,0,4,8,0,3,8,3,30,8,10,13,15,12,18,5,15,3,95,10,9,14,4,9,12,5,9,0,67,18,12,10,13,25,23,15,53,3,184,5,9,3,0,15,12,4,3,0,43,5,3,0,0,3,3,3,7,0,20,4,8,0,3,0,6,0,3,0,24,15,24,14,21,12,5,14,158,0,263,15,68,33,52,23,42,24,49,7,308,16,16,6,7,36,40,24,50,3,196,21,14,14,11,16,12,5,10,0,98,28,16,15,25,31,12,8,15,8,156,7,12,3,9,10,10,5,15,0,65
