GCCSA_CODE_2016,Pro_400_499_H_0,Pro_400_499_H_1_15,Pro_400_499_H_16_24,Pro_400_499_H_25_34,Pro_400_499_H_35_39,Pro_400_499_H_40,Pro_400_499_H_41_48,Pro_400_499_H_49mo,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_15,Pro_500_649_H_16_24,Pro_500_649_H_25_34,Pro_500_649_H_35_39,Pro_500_649_H_40,Pro_500_649_H_41_48,Pro_500_649_H_49mo,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_15,Pro_650_799_H_16_24,Pro_650_799_H_25_34,Pro_650_799_H_35_39,Pro_650_799_H_40,Pro_650_799_H_41_48,Pro_650_799_H_49mo,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_15,Pro_800_999_H_16_24,Pro_800_999_H_25_34,Pro_800_999_H_35_39,Pro_800_999_H_40,Pro_800_999_H_41_48,Pro_800_999_H_49mo,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_15,Pro_1000_1249_H_16_24,Pro_1000_1249_H_25_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40,Pro_1000_1249_H_41_48,Pro_1000_1249_H_49mo,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_15,Pro_1250_1499_H_16_24,Pro_1250_1499_H_25_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40,Pro_1250_1499_H_41_48,Pro_1250_1499_H_49mo,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_15,Pro_1500_1749_H_16_24,Pro_1500_1749_H_25_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40,Pro_1500_1749_H_41_48,Pro_1500_1749_H_49mo,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_15,Pro_1750_1999_H_16_24,Pro_1750_1999_H_25_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40,Pro_1750_1999_H_41_48,Pro_1750_1999_H_49mo,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_15,Pro_2000_2999_H_16_24,Pro_2000_2999_H_25_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40,Pro_2000_2999_H_41_48,Pro_2000_2999_H_49mo,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000mo_H_0,Pro_3000mo_H_1_15,Pro_3000mo_H_16_24,Pro_3000mo_H_25_34,Pro_3000mo_H_35_39,Pro_3000mo_H_40,Pro_3000mo_H_41_48,Pro_3000mo_H_49mo,Pro_3000mo_H_NS,Pro_3000mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_15,Pro_PINS_H_16_24,Pro_PINS_H_25_34,Pro_PINS_H_35_39,Pro_PINS_H_40,Pro_PINS_H_41_48,Pro_PINS_H_49mo,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_15,Pro_Tot_H_16_24,Pro_Tot_H_25_34,Pro_Tot_H_35_39,Pro_Tot_H_40,Pro_Tot_H_41_48,Pro_Tot_H_49mo,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_15,TaTW_NNI_H_16_24,TaTW_NNI_H_25_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40,TaTW_NNI_H_41_48,TaTW_NNI_H_49mo,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_15,TaTW_1_149_H_16_24,TaTW_1_149_H_25_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40,TaTW_1_149_H_41_48,TaTW_1_149_H_49mo,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_15,TaTW_150_299_H_16_24,TaTW_150_299_H_25_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40,TaTW_150_299_H_41_48,TaTW_150_299_H_49mo,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_15,TaTW_300_399_H_16_24,TaTW_300_399_H_25_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40,TaTW_300_399_H_41_48,TaTW_300_399_H_49mo,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_15,TaTW_400_499_H_16_24,TaTW_400_499_H_25_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40,TaTW_400_499_H_41_48,TaTW_400_499_H_49mo,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_15,TaTW_500_649_H_16_24,TaTW_500_649_H_25_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40,TaTW_500_649_H_41_48,TaTW_500_649_H_49mo,TaTW_500_649_H_NS,TaTW_500_649_H_Tot,TaTW_650_799_H_0,TaTW_650_799_H_1_15,TaTW_650_799_H_16_24,TaTW_650_799_H_25_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40,TaTW_650_799_H_41_48,TaTW_650_799_H_49mo,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_15,TaTW_800_999_H_16_24,TaTW_800_999_H_25_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40,TaTW_800_999_H_41_48,TaTW_800_999_H_49mo,TaTW_800_999_H_NS,TaTW_800_999_H_Tot
9OTER,0,0,3,6,4,7,0,0,0,17,0,3,5,8,4,3,7,4,0,23,4,0,0,0,7,6,0,4,0,20,0,0,0,3,5,3,0,0,0,16,0,0,3,3,10,14,3,14,0,52,3,3,0,5,10,7,3,0,0,36,3,0,3,3,11,14,5,12,0,53,0,0,0,0,18,17,4,10,3,52,3,0,4,0,9,16,8,7,0,51,6,3,0,0,3,11,3,8,0,38,0,0,0,0,0,0,0,0,0,0,25,23,29,30,88,100,41,58,3,393,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,3,12,0,5,4,3,10,0,0,0,0,16,0,0,3,4,10,3,0,9,0,36,3,3,7,7,19,9,10,0,0,58,4,8,5,5,19,8,9,10,3,65
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,8,3,0,0,5,9,0,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,40,306,168,98,38,49,5,36,18,764,87,418,339,196,98,115,31,83,21,1396,122,333,500,318,229,180,64,120,18,1884,141,258,635,557,698,431,193,187,29,3130,286,284,719,959,2023,1307,524,502,58,6659,455,222,480,1077,3200,2125,944,752,41,9300,602,241,394,1031,3876,2697,1154,1013,76,11079,393,159,232,621,2283,2333,1127,1180,50,8381,642,248,323,789,3505,4686,2422,2694,64,15377,195,136,158,407,689,2262,1190,2298,40,7375,21,22,30,40,102,98,53,67,50,472,3111,3796,4190,6219,16824,16386,7734,9003,505,67771,8,12,14,3,16,7,0,18,0,74,16,144,20,3,8,11,0,8,10,223,13,161,63,23,17,19,4,14,8,327,23,110,113,45,63,62,13,35,11,471,18,112,194,92,137,144,67,51,10,823,35,107,186,241,293,257,107,130,17,1362,67,78,141,258,539,444,203,194,19,1935,54,70,98,227,861,734,297,346,28,2721
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,25,0,8,3,0,0,3,0,39,0,22,6,7,5,0,0,3,0,50,0,6,9,8,3,3,0,3,3,42,6,12,11,8,9,4,0,3,0,61,6,11,0,8,13,22,0,6,0,77,0,3,5,7,11,18,0,3,0,56,10,3,3,7,13,19,3,7,0,61,3,3,0,0,8,10,5,16,0,49,3,9,0,6,17,33,17,22,0,112,3,5,8,6,3,30,17,29,0,101,0,0,0,0,3,0,0,4,0,10,56,227,60,71,86,148,55,104,34,850,0,0,0,3,4,0,0,0,0,9,3,18,0,0,3,0,0,0,0,29,0,11,3,3,0,7,0,0,0,35,4,22,8,6,7,17,0,0,0,69,0,15,9,21,17,40,8,7,5,116,8,20,26,21,33,65,20,12,3,201,3,19,22,44,50,74,31,18,0,259,8,16,16,44,55,115,41,37,0,333
7RNTE,4,35,36,30,46,17,0,6,3,176,15,48,43,52,73,52,15,15,8,320,7,15,41,41,71,66,18,41,9,313,33,21,34,42,108,69,37,43,7,395,28,22,50,79,262,170,70,118,7,809,59,13,35,65,319,231,85,150,7,960,77,16,29,68,326,299,108,181,8,1114,52,11,13,54,261,307,133,224,8,1068,70,13,15,44,178,323,192,329,8,1172,20,3,9,21,48,112,64,127,5,413,0,19,4,13,30,38,13,9,13,153,382,346,393,583,1801,1753,751,1266,91,7374,3,7,0,7,3,0,3,5,0,24,3,13,12,0,0,3,0,3,3,41,3,18,20,23,18,6,3,6,0,94,0,17,17,13,23,15,0,6,0,97,0,13,14,14,25,27,7,19,0,128,7,13,26,22,46,39,14,29,4,209,11,11,16,35,91,111,31,68,5,368,14,14,9,32,133,114,59,88,3,457
7GDAR,6,55,35,20,4,14,4,15,3,148,26,62,75,38,30,33,6,22,7,296,21,54,89,68,61,46,26,23,6,388,32,49,108,127,178,124,48,61,4,732,66,56,102,206,411,302,147,193,16,1506,97,47,69,174,525,436,219,278,17,1871,131,37,55,159,673,604,258,391,11,2328,115,25,38,113,506,570,281,498,19,2162,153,36,48,129,562,687,366,851,19,2849,70,33,27,69,107,238,147,744,10,1446,6,5,15,12,24,27,19,28,27,154,755,639,688,1147,3098,3087,1539,3113,146,14219,8,6,3,0,0,6,0,14,0,35,4,43,9,3,3,4,0,3,5,80,4,40,20,7,8,3,3,16,3,103,0,35,26,14,24,27,8,10,3,155,7,31,64,35,36,52,18,18,3,266,10,31,68,69,94,94,40,52,12,468,22,25,49,76,216,146,66,66,10,681,28,28,40,85,361,287,133,144,28,1119
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,4,6,0,0,0,0,0,0,10,3,9,0,0,3,3,0,3,0,25,0,0,3,0,9,0,0,0,3,21,3,6,5,0,14,8,0,8,0,42,0,4,3,7,3,7,3,6,0,29,3,0,4,3,5,8,6,6,0,35,9,3,0,0,4,4,4,17,0,41,6,0,0,3,4,7,3,18,0,42,12,0,0,3,7,6,5,27,0,55,3,0,0,3,3,0,0,12,0,30,0,0,0,3,0,0,0,0,0,4,47,45,29,24,50,41,23,96,12,367,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,4,3,3,3,0,0,0,0,10,4,3,3,3,5,6,3,3,0,25,3,3,6,3,4,4,0,3,0,29,0,7,5,6,6,10,3,3,3,52,4,4,4,20,12,8,4,11,3,71,4,4,5,8,26,17,12,12,0,89
