GCCSA_CODE_2016,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,12,5,0,0,16,26,41,3,10,76,101,35,11,3,159,155,37,15,5,208,167,58,17,3,248,190,58,21,9,277,186,53,20,5,265,199,58,16,7,278,228,78,9,10,329,222,63,24,7,309,139,64,19,6,224,99,52,7,6,161,30,18,0,0,50,6,16,0,3,30,1753,626,165,75,2618,0,0,0,0,0,0,3,0,0,6,3,0,0,0,7,3,0,0,0,3,6,0,0,0,10,3,0,0,0,4,3,0,0,0,3,3,0,0,0,6,4,3,0,0,8,5,3,0,0,8,5,4,0,0,8,3,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,4,4,3,0,16,3,4,5,0,17,8,3,3,0,11,3,5,3,3,16,8,6,6,0,19,11,0,0,0,14,5,3,4,0,12,0,0,0,0,3,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,56,23,31,6,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,15,100,7,4,119,47,99,3,3,154,75,99,28,0,198,83,101,23,4,213,89,106,22,3,221,129,96,34,5,262,151,99,34,7,289,136,103,40,5,281,104,77,31,0,211,56,68,14,3,138,38,39,11,0,89,4,20,3,3,36,12,30,8,10,50,935,1028,254,42,2266,2038,8193,403,355,10988,11152,8875,674,528,21230,19476,4949,1102,366,25891,20141,5813,1849,358,28155,18266,5968,1277,350,25860,18621,5400,757,259,25040,18649,4655,625,267,24200,16602,3911,771,219,21502,12277,3589,721,183,16775,6316,3119,507,102,10050,2178,2029,259,65,4529,494,780,77,31,1381,157,354,39,42,599,146376,57645,9063,3123,216201,15,61,3,13,81,101,63,4,10,172,141,35,4,7,193,145,58,15,8,229,199,64,12,9,285,193,70,8,11,282,200,50,7,8,275,183,44,13,12,248,117,38,3,4,163,85,40,7,6,148,34,21,3,3,60,5,15,0,3,25
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,3,0,0,3,0,8,0,0,9,0,3,0,0,4,0,3,0,0,4,0,0,0,0,9,0,0,0,0,5,3,6,4,0,11,0,3,0,0,6,4,7,3,0,13,3,3,0,0,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,15,43,11,6,77,139,224,20,17,399,463,303,36,21,828,621,198,36,29,877,559,165,40,12,779,492,168,36,14,711,463,197,17,11,686,422,217,22,15,675,345,185,31,8,570,265,191,29,13,496,169,180,18,6,376,67,106,12,0,191,8,35,4,5,52,9,20,4,0,29,4025,2179,311,153,6660,3,3,0,0,4,10,0,0,3,12,10,3,0,0,9,10,0,0,0,9,12,3,0,0,10,4,5,0,0,8,3,0,0,0,3,6,6,0,0,14,4,0,0,0,5,3,0,0,0,5,0,3,0,0,3,0,0,0,0,0
7RNTE,0,10,0,0,11,6,4,3,0,10,4,7,3,0,16,5,3,7,0,21,3,4,6,0,14,10,15,0,4,22,12,18,4,0,38,18,16,9,5,51,21,18,5,3,50,14,9,8,3,32,11,16,0,3,22,0,11,0,3,10,0,3,3,0,9,110,140,43,25,315,560,664,52,75,1353,1937,508,94,117,2654,3123,632,184,126,4062,2971,812,209,121,4113,2469,723,187,95,3476,2531,667,143,81,3422,2710,629,140,79,3563,2696,538,161,88,3484,2362,476,165,59,3056,1558,406,110,41,2117,588,254,53,22,914,159,97,12,11,276,61,48,7,5,119,23735,6448,1503,926,32613,11,5,0,11,31,29,11,4,17,55,35,12,8,20,80,53,22,3,19,101,36,17,5,12,72,39,31,3,7,75,45,12,4,3,73,52,15,3,9,74,38,10,0,9,58,26,7,0,4,39,14,3,4,0,15,3,3,0,0,4
7GDAR,3,16,0,0,22,4,28,3,3,39,6,24,3,0,40,23,18,0,3,44,7,14,0,0,24,27,18,8,3,53,47,23,0,0,75,31,22,6,0,66,35,16,12,3,60,20,24,8,3,48,17,6,3,3,27,7,10,0,0,17,0,4,3,5,17,232,229,47,22,532,926,1940,99,120,3082,4442,1605,270,201,6517,7266,1622,392,204,9490,7401,1615,537,194,9749,6491,1467,355,137,8455,6179,1298,281,125,7884,6101,1161,272,137,7669,5335,967,296,129,6721,4229,947,292,85,5559,2614,744,173,63,3586,958,476,81,30,1551,229,173,28,12,439,80,83,11,8,178,52246,14100,3076,1450,70874,12,21,0,4,46,51,26,5,13,96,63,13,3,17,95,90,22,7,8,133,88,28,9,8,132,81,18,3,11,111,73,11,0,10,95,78,14,3,14,102,43,16,5,9,73,45,6,3,3,55,13,8,0,0,28,0,3,0,5,8
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,20,3,0,0,21,3,0,0,0,4,14,0,0,0,13,7,0,0,0,9,12,0,3,3,15,14,0,0,0,13,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,74,6,9,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,6,3,26,47,49,3,6,102,170,61,10,11,258,388,72,41,13,515,365,79,29,10,483,293,83,36,6,424,271,89,33,12,403,261,83,24,11,379,222,84,51,3,367,186,80,43,10,309,105,75,30,6,218,48,30,12,3,98,11,15,7,0,28,6,4,0,0,14,2369,797,323,95,3591,0,0,0,0,0,8,0,0,3,5,4,0,0,0,4,5,3,0,0,3,3,0,0,0,7,3,0,0,0,4,3,3,0,3,7,3,3,0,0,5,3,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
