GCCSA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
9OTER,5,5,11,10,11,11,4,8,3,64,12,16,8,12,24,20,4,20,37,143,168,227,177,244,591,410,319,476,75,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,3,0,16,31,8,6,7,4,22,4,31,6,118
8ACTE,159,811,632,720,1394,1105,684,935,73,6508,184,572,375,381,863,959,368,615,1335,5657,9400,20815,17212,21208,51430,44855,23313,29131,3273,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,11,50,21,30,27,38,14,26,4,226,18,43,19,22,47,47,21,23,59,302,317,1019,574,659,860,1521,641,1078,157,6817
7RNTE,58,185,154,176,455,347,117,238,72,1788,82,88,57,85,224,201,75,217,559,1585,1581,2091,1889,2754,7310,6152,3073,7684,1071,33604
7GDAR,56,173,160,217,521,517,259,419,35,2366,136,195,131,187,484,515,208,695,678,3231,3166,4534,4399,5589,15038,13267,7341,17475,1571,72381
79799,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,10,3,18,9,0,3,3,4,4,7,60,3,91
79499,11,18,6,11,11,9,8,28,5,111,22,11,23,17,22,38,21,47,47,251,334,295,225,297,358,561,299,1194,109,3674
6RTAS,116,559,432,474,811,685,342,461,40,3919,193,469,274,341,555,521,221,365,860,3803,4615,14021,11926,14015,19611,15870,9238,14234,1978,105512
6GHOB,115,536,439,519,827,644,338,426,44,3888,140,335,234,298,468,424,142,284,653,2977,4087,13123,11144,13585,21716,15861,8686,10971,1488,100657
69799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,6,3,0,3,3,3,28,0,55
69499,11,61,37,35,35,41,19,36,4,285,39,62,46,46,62,77,29,60,112,521,518,1454,963,1119,1132,1649,727,1317,250,9132
5RWAU,318,1012,744,868,1314,1548,887,1884,131,8707,575,1013,597,696,1012,1393,658,2355,2072,10368,13665,23776,19150,23242,30816,32950,24588,75352,5099,248646
5GPER,901,4669,3623,3923,7013,6570,3242,4592,334,34855,1265,4231,3052,2924,6338,7777,2898,5202,6301,39985,29838,107120,90511,94072,162135,163795,81234,119064,13860,861625
59799,3,0,0,0,0,0,0,4,0,9,19,3,4,0,3,12,9,180,15,231,169,39,16,21,31,37,35,1225,31,1595
59499,92,553,293,322,248,323,159,358,24,2369,265,423,262,274,305,486,154,492,512,3179,3494,7379,5206,6234,5877,9732,4125,11072,1251,54378
4RSAU,163,758,455,634,967,937,504,753,58,5232,239,560,324,389,631,628,266,567,1166,4774,6274,18522,14999,18889,23937,21215,13371,26246,2837,146296
4GADE,598,2880,2302,2818,5140,3757,2184,2573,206,22453,599,2012,1341,1661,3306,2550,1071,1783,3672,17993,20058,71191,58493,74087,124691,87913,52235,65077,8419,562169
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,3,8,4,5,19,0,64
49499,73,316,149,205,177,214,77,137,18,1372,137,243,123,152,174,183,64,183,265,1522,1811,5455,3686,4687,4523,5944,2625,4868,699,34306
3RQLD,993,5109,3792,4829,7706,6945,3816,6136,447,39769,1449,4206,2908,3681,6115,6367,2579,5979,8452,41734,33928,111995,93066,126092,182712,154180,91046,175001,18808,986831
3GBRI,947,4662,3914,4661,8381,7175,3935,5320,398,39401,1165,3934,3174,3491,7773,7931,2792,5619,7996,43871,33638,110315,98916,118510,215752,194748,101065,154777,17182,1044909
39799,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,6,0,12,24,7,3,7,12,17,15,114,11,202
39499,171,809,427,565,511,668,287,714,59,4212,353,714,471,508,635,791,285,840,974,5569,4788,12939,9269,11598,11824,17984,8844,19262,2400,98920
2RVIC,607,2888,2020,2364,4005,3826,1826,2730,256,20532,969,2360,1635,1751,3142,3328,1215,2488,5050,21931,23240,75313,61408,70241,94825,91371,48617,79978,11362,556360
2GMEL,1717,9343,7963,8114,15589,13902,6842,9279,831,73573,2693,9581,7968,7671,17940,18545,6159,10598,19023,100171,62425,237071,212509,220837,400143,415093,193178,275097,38427,2054783
29799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,3,17,22,8,9,3,11,15,13,76,9,155
29499,176,872,489,558,481,708,281,528,49,4134,487,873,597,557,838,1141,311,727,1315,6842,5166,16553,12058,13727,15286,26497,9591,17030,3122,119037
1RNSW,1050,5005,3966,4223,7938,7431,3897,6078,442,40028,1490,4063,2819,3117,5672,5852,2215,4250,8861,38348,36838,124279,108045,125237,187282,163016,86119,147852,19936,998604
