GCCSA_CODE_2016,Mng_Mng_nfd_M,Mng_Mng_nfd_F,Mng_Mng_nfd_P,Mng_ChiefEx_GMng_legs__M,Mng_ChiefEx_GMng_legs__F,Mng_ChiefEx_GMng_legs__P,Mng_Farmers_FMng_M,Mng_Farmers_FMng_F,Mng_Farmers_FMng_P,Mng_Spec_Mng_M,Mng_Spec_Mng_F,Mng_Spec_Mng_P,Mng_Hosp_ret_svce_Mng_M,Mng_Hosp_ret_svce_Mng_F,Mng_Hosp_ret_svce_Mng_P,Mng_Tot_M,Mng_Tot_F,Mng_Tot_P,Pro_Pro_nfd_M,Pro_Pro_nfd_F,Pro_Pro_nfd_P,Pro_Arts_media_Pro_M,Pro_Arts_media_Pro_F,Pro_Arts_media_Pro_P,Pro_Busin_HR_mkting_Pro_M,Pro_Busin_HR_mkting_Pro_F,Pro_Busin_HR_mkting_Pro_P,Pro_DesEng_sci_tspt_Pro_M,Pro_DesEng_sci_tspt_Pro_F,Pro_DesEng_sci_tspt_Pro_P,Pro_Educ_Pro_M,Pro_Educ_Pro_F,Pro_Educ_Pro_P,Pro_Health_Pro_M,Pro_Health_Pro_F,Pro_Health_Pro_P,Pro_Inf_Com_Tec_ICT_Pro_M,Pro_Inf_Com_Tec_ICT_Pro_F,Pro_Inf_Com_Tec_ICT_Pro_P,Pro_Leg_soc_welf_Pro_M,Pro_Leg_soc_welf_Pro_F,Pro_Leg_soc_welf_Pro_P,Pro_Tot_M,Pro_Tot_F,Pro_Tot_P,TecTW_TecTW_nfd_M,TecTW_TecTW_nfd_F,TecTW_TecTW_nfd_P,TecTW_Eng_ICT_STecs_M,TecTW_Eng_ICT_STecs_F,TecTW_Eng_ICT_STecs_P,TecTW_Auto_eng_tds_wks_M,TecTW_Auto_eng_tds_wks_F,TecTW_Auto_eng_tds_wks_P,TecTW_Const_tds_wks_M,TecTW_Const_tds_wks_F,TecTW_Const_tds_wks_P,TecTW_EleTec_telco_tds_wks_M,TecTW_EleTec_telco_tds_wks_F,TecTW_EleTec_telco_tds_wks_P,TecTW_Food_tds_wks_M,TecTW_Food_tds_wks_F,TecTW_Food_tds_wks_P,TecTW_Sk_ani_hort_wks_M,TecTW_Sk_ani_hort_wks_F,TecTW_Sk_ani_hort_wks_P,TecTW_Oth_TecTW_M,TecTW_Oth_TecTW_F,TecTW_Oth_TecTW_P,TecTW_Tot_M,TecTW_Tot_F,TecTW_Tot_P,CoPSW_CoPSW_nfd_M,CoPSW_CoPSW_nfd_F,CoPSW_CoPSW_nfd_P,CoPSW_HlthWlfSptWs_M,CoPSW_HlthWlfSptWs_F,CoPSW_HlthWlfSptWs_P,CoPSW_Carers_aides_M,CoPSW_Carers_aides_F,CoPSW_Carers_aides_P,CoPSW_Hosp_wks_M,CoPSW_Hosp_wks_F,CoPSW_Hosp_wks_P,CoPSW_ProtecSvcWks_M,CoPSW_ProtecSvcWks_F,CoPSW_ProtecSvcWks_P,CoPSW_SptsPsnlSvceWs_M,CoPSW_SptsPsnlSvceWs_F,CoPSW_SptsPsnlSvceWs_P,CoPSW_Tot_M,CoPSW_Tot_F,CoPSW_Tot_P,ClAW_ClAW_nfd_M,ClAW_ClAW_nfd_F,ClAW_ClAW_nfd_P,ClAW_OfMngs_ProgAdm_M,ClAW_OfMngs_ProgAdm_F,ClAW_OfMngs_ProgAdm_P,ClAW_PsnlAs_secretaries_M,ClAW_PsnlAs_secretaries_F,ClAW_PsnlAs_secretaries_P,ClAW_GnrlClerWs_M,ClAW_GnrlClerWs_F,ClAW_GnrlClerWs_P,ClAW_InqClks_recepts_M,ClAW_InqClks_recepts_F,ClAW_InqClks_recepts_P,ClAW_Num_clerks_M,ClAW_Num_clerks_F,ClAW_Num_clerks_P,ClAW_Clerl_OfSuptWs_M,ClAW_Clerl_OfSuptWs_F,ClAW_Clerl_OfSuptWs_P,ClAW_Oth_ClAW_M,ClAW_Oth_ClAW_F,ClAW_Oth_ClAW_P,ClAW_Tot_M,ClAW_Tot_F,ClAW_Tot_P,SWs_SWs_nfd_M,SWs_SWs_nfd_F,SWs_SWs_nfd_P,SWs_Sales_reps_agnts_M,SWs_Sales_reps_agnts_F,SWs_Sales_reps_agnts_P,SWs_SalesAs_SalesPsns_M,SWs_SalesAs_SalesPsns_F,SWs_SalesAs_SalesPsns_P,SWs_SalesSptWks_M,SWs_SalesSptWks_F,SWs_SalesSptWks_P,SWs_Tot_M,SWs_Tot_F,SWs_Tot_P,MaOpD_MaOpD_nfd_M,MaOpD_MaOpD_nfd_F,MaOpD_MaOpD_nfd_P,MaOpD_Ma_StatPlntOps_M,MaOpD_Ma_StatPlntOps_F,MaOpD_Ma_StatPlntOps_P,MaOpD_MobPlntOps_M,MaOpD_MobPlntOps_F,MaOpD_MobPlntOps_P,MaOpD_RoadRail_dvrs_M,MaOpD_RoadRail_dvrs_F,MaOpD_RoadRail_dvrs_P,MaOpD_StorPsns_M,MaOpD_StorPsns_F,MaOpD_StorPsns_P,MaOpD_Tot_M,MaOpD_Tot_F,MaOpD_Tot_P,Lab_Lab_nfd_M,Lab_Lab_nfd_F,Lab_Lab_nfd_P,Lab_Clnrs_lndryWs_M,Lab_Clnrs_lndryWs_F,Lab_Clnrs_lndryWs_P,Lab_Const_and_Min_Lab_M,Lab_Const_and_Min_Lab_F,Lab_Const_and_Min_Lab_P,Lab_Factory_ProcWs_M,Lab_Factory_ProcWs_F,Lab_Factory_ProcWs_P,Lab_FarmFrstyGrdnWs_M,Lab_FarmFrstyGrdnWs_F,Lab_FarmFrstyGrdnWs_P,Lab_Food_prep_asts_M,Lab_Food_prep_asts_F,Lab_Food_prep_asts_P,Lab_Oth_Lab_M,Lab_Oth_Lab_F,Lab_Oth_Lab_P,Lab_Tot_M,Lab_Tot_F,Lab_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,NS_M,NS_F,NS_P,Tot_M,Tot_F,Tot_P
9OTER,15,4,19,25,6,32,12,3,15,162,66,230,83,85,167,300,171,469,3,0,4,6,10,16,45,32,74,72,15,86,22,71,99,20,47,69,12,3,16,14,15,26,191,198,393,11,0,11,37,9,45,80,4,85,86,0,86,62,0,62,34,27,60,52,3,55,13,20,34,375,63,435,0,0,0,5,13,18,9,74,77,16,53,73,136,31,170,20,53,74,190,218,410,0,0,0,13,39,54,0,12,9,14,50,66,6,24,33,3,53,58,3,5,10,34,29,63,71,221,291,0,0,0,3,9,14,28,74,104,3,15,25,30,100,134,14,0,10,51,0,52,43,0,44,28,5,41,17,0,21,155,14,165,8,0,8,27,109,128,42,0,42,10,3,12,22,3,32,9,15,28,66,5,75,184,136,319,43,19,58,6,10,21,1545,1145,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,3,4,5,0,0,0,11,3,19,5,0,5,19,10,26,0,0,0,0,0,0,5,5,5,15,0,15,0,4,4,0,0,0,3,5,4,0,0,3,23,10,33,0,0,0,8,0,8,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,4,5,3,7,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,3,0,7,0,3,3,83,32,118
8ACTE,587,420,1013,2051,991,3038,82,30,112,13821,10933,24759,4007,3282,7283,20549,15651,36207,1320,1231,2546,860,888,1747,9643,11755,21407,4161,2105,6262,3259,6798,10060,2282,6532,8822,9424,2218,11638,1892,3396,5289,32841,34924,67771,197,36,228,3244,1231,4477,2082,35,2121,3133,37,3176,2333,112,2438,2109,640,2749,958,490,1451,1021,1127,2151,15085,3698,18787,4,4,11,569,1344,1913,1473,6648,8120,2219,3265,5486,3540,902,4439,1190,1879,3069,8994,14036,23026,72,110,181,3425,6840,10263,180,2697,2884,3146,7390,10538,912,3523,4436,1220,3782,4997,1006,710,1719,2001,2519,4519,11973,27564,39535,16,28,44,1010,957,1968,4459,6372,10838,687,1423,2112,6179,8777,14959,63,0,66,431,117,549,440,15,457,2815,180,2993,590,69,660,4345,382,4730,131,19,147,1722,1720,3442,1212,21,1233,344,128,466,260,82,339,1533,893,2425,1636,353,1988,6839,3214,10056,2449,2063,4508,596,476,1072,109846,110796,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,18,6,22,17,7,25,3,0,3,302,48,353,62,18,81,400,81,480,10,9,22,46,38,82,92,74,168,55,14,71,89,142,240,32,55,84,112,13,128,22,40,61,462,384,850,17,0,17,117,18,138,59,0,62,1452,8,1455,468,5,476,9,3,14,263,31,290,44,30,77,2434,100,2532,0,0,0,28,39,65,74,324,398,13,22,37,85,16,97,96,67,164,297,463,762,0,0,0,26,27,58,3,10,11,28,46,75,4,20,29,15,26,38,26,12,35,25,34,56,126,170,294,0,0,0,44,39,84,55,47,98,11,74,92,112,162,272,3,0,3,54,3,51,72,0,73,254,15,270,0,0,0,388,17,401,21,3,20,165,208,375,423,5,429,11,5,19,53,3,56,9,10,14,126,8,133,804,241,1050,92,34,132,26,22,46,5137,1683,6817
7RNTE,67,33,106,242,130,369,294,114,412,1047,706,1750,713,600,1313,2364,1593,3953,31,42,71,126,143,263,378,532,911,905,270,1177,575,1422,1997,494,1526,2019,155,14,172,302,458,759,2968,4405,7374,76,3,75,436,107,547,1326,25,1349,586,27,612,689,14,705,361,311,668,255,59,315,166,85,248,3889,638,4526,3,4,4,471,688,1161,445,1575,2023,221,384,602,898,209,1105,256,217,472,2298,3076,5370,3,4,9,210,566,779,6,163,167,150,767,922,74,529,601,63,496,559,84,134,216,255,284,539,855,2935,3791,0,3,3,80,121,203,481,784,1269,104,256,357,668,1165,1831,51,3,54,712,72,784,276,20,293,717,90,807,178,26,207,1932,217,2145,198,26,219,417,642,1063,385,7,401,65,32,93,552,191,743,158,186,346,583,88,671,2353,1183,3533,402,172,574,264,243,511,17986,15613,33604
7GDAR,162,99,262,609,269,874,151,85,237,3066,1866,4928,1308,1298,2609,5298,3621,8917,73,121,193,170,192,365,1155,1837,2985,1974,570,2546,698,2119,2816,962,2439,3401,514,139,653,435,823,1259,5984,8240,14219,221,13,240,1624,350,1977,3518,58,3581,1660,28,1693,2754,63,2814,732,357,1089,378,192,562,621,372,990,11508,1437,12943,6,6,14,296,622,919,400,2158,2561,407,1041,1443,2539,486,3030,275,524,800,3923,4841,8761,0,22,24,604,1539,2141,15,483,503,387,1943,2329,204,1260,1468,262,1575,1839,261,319,577,703,897,1595,2444,8041,10487,4,3,9,387,492,880,1346,2187,3539,221,542,767,1960,3228,5197,53,11,59,873,79,946,543,40,583,1768,155,1928,583,103,683,3813,383,4204,99,13,112,579,1149,1728,1456,33,1497,303,104,408,214,59,271,514,415,927,977,283,1264,4147,2058,6207,604,335,933,295,226,517,39969,32412,72381
79799,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,16,4,20,0,0,0,0,0,0,0,0,0,0,0,0,15,5,19,0,0,0,0,0,0,3,0,3,5,0,5,3,0,3,3,0,3,0,0,0,8,0,8,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,22,20,0,25,0,0,0,0,0,0,85,8,91
79499,6,3,10,12,3,17,10,0,10,125,19,150,23,24,44,181,50,234,0,0,0,26,27,58,29,28,53,85,15,97,22,42,66,18,45,58,9,0,6,8,20,24,196,176,367,10,0,9,99,12,108,189,0,190,514,6,523,333,9,341,8,9,21,50,16,68,36,16,56,1237,74,1310,0,0,0,14,21,36,12,65,78,10,10,22,67,11,78,49,32,83,157,138,292,0,0,0,19,9,30,0,8,8,9,39,44,0,8,11,6,30,39,12,15,24,18,4,25,68,122,186,0,0,0,17,19,36,24,32,59,8,18,26,50,66,114,8,0,8,97,9,100,74,3,79,157,10,164,9,0,8,346,18,362,14,0,19,64,137,195,275,4,279,20,3,17,33,6,43,9,10,19,101,13,120,515,177,690,64,17,81,29,14,45,2829,849,3674
