GCCSA_CODE_2016,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000mo_A_15_19,Pro_3000mo_A_20_24,Pro_3000mo_A_25_34,Pro_3000mo_A_35_44,Pro_3000mo_A_45_54,Pro_3000mo_A_55_64,Pro_3000mo_A_65_74,Pro_3000mo_A_75ov,Pro_3000mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44
9OTER,7,3,3,3,4,0,20,0,3,3,3,3,3,0,0,16,0,8,4,13,10,9,4,0,52,0,5,11,9,3,6,3,0,36,0,3,6,14,16,17,6,3,53,0,0,9,11,15,14,3,0,52,0,0,12,12,12,7,8,0,51,0,0,10,12,12,11,0,0,38,0,0,0,0,0,0,0,0,0,4,23,76,100,67,83,35,3,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,12,0,0,0,0,7,0,3,0,16,0,0,8,11,12,9,0,0,36,0,4,12,9,11,19,7,0,58,0,3,12,18,20,15,0,0,65,0,4,9,12,18,14,3,0,65,0,0,6,6,8,3,3,0,32,0,0,4,9,13,3,4,0,31,0,0,3,7,7,12,3,0,32,0,4,8,8
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,7,10,4,6,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,535,479,272,216,114,4,1884,29,436,1017,722,429,360,129,13,3130,17,1066,2580,1322,892,562,201,24,6659,0,646,4410,2025,1233,777,179,28,9300,0,225,4315,2990,2155,1151,232,19,11079,0,44,2400,2651,1985,1094,194,11,8381,0,42,3058,5190,4319,2349,402,27,15377,0,11,769,2219,2414,1567,375,25,7375,0,27,149,114,95,60,22,8,472,351,3491,20271,18539,14280,8539,2083,219,67771,8,3,26,14,11,10,3,0,74,119,32,23,23,18,9,8,0,223,69,58,61,51,34,26,21,0,327,87,100,91,63,59,46,23,6,471,206,204,141,97,90,63,22,0,823,186,409,254,182,162,121,45,3,1362,80,505,588,324,257,129,40,11,1935,38,493,985,527,408,217,45,3,2721,15,399,1273,723,541,335,73,0,3362,0,179,927,577,455,283,41,0,2465,0,76,628,567,512,251,39,6,2075,0,27,293,293,295,143,17,0,1070,0,19,278,386
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,6,3,9,8,7,0,42,0,7,16,11,10,13,3,0,61,0,11,28,16,4,20,0,0,77,0,3,23,7,11,7,0,0,56,0,3,19,20,12,7,3,0,61,0,0,16,12,6,14,3,0,49,0,0,22,36,27,16,4,0,112,0,0,22,28,31,14,8,0,101,0,0,6,4,3,0,0,0,10,56,122,196,166,142,122,41,4,850,3,0,0,0,7,0,0,0,9,16,3,3,4,3,0,0,0,29,6,3,5,3,9,3,5,0,35,16,5,10,15,11,6,3,0,69,30,28,8,13,23,8,3,0,116,38,64,29,28,18,19,12,0,201,8,68,67,42,33,24,14,0,259,9,65,98,74,56,30,3,0,333,0,61,150,122,78,51,8,0,468,0,29,138,83,43,35,3,3,338,0,25,112,62,54,33,5,0,290,0,6,49,53,28,20,0,0,159,0,4,39,44
7RNTE,95,68,59,33,17,0,313,10,45,114,97,68,54,14,0,395,3,79,275,174,140,109,20,0,809,0,61,358,194,182,136,27,0,960,0,23,353,280,249,174,36,0,1114,0,12,189,244,287,294,44,0,1068,0,4,284,293,280,263,42,4,1172,0,0,54,102,125,106,34,3,413,4,19,28,36,37,18,6,0,153,78,351,2007,1705,1611,1324,280,28,7374,0,0,3,6,5,3,0,0,24,14,0,10,3,6,7,0,3,41,5,13,25,22,19,9,0,0,94,15,6,25,22,21,10,4,0,97,21,17,21,21,22,11,8,0,128,39,35,37,32,29,23,14,0,209,37,82,88,59,59,30,13,0,368,10,77,136,84,66,64,14,3,457,3,89,221,122,113,85,19,0,660,5,56,178,99,102,62,15,0,521,3,31,159,113,95,64,7,0,476,0,12,100,69,87,63,10,0,341,0,28,193,195
7GDAR,116,106,48,38,28,3,388,8,102,222,159,116,88,33,0,732,10,189,571,313,237,142,36,8,1506,0,126,820,423,281,175,41,4,1871,3,59,884,590,427,298,55,4,2328,0,24,572,581,580,351,49,4,2162,0,20,707,847,698,486,83,6,2849,0,3,219,450,411,281,69,10,1446,0,7,48,46,32,21,10,0,154,76,627,4367,3679,2949,2000,469,44,14219,3,0,7,9,3,7,0,4,35,43,3,10,10,8,3,3,0,80,32,11,18,13,13,15,8,0,103,52,21,18,23,20,23,5,0,155,76,47,31,39,28,29,8,6,266,100,92,92,60,62,52,15,0,468,55,159,188,99,95,66,16,0,681,38,220,330,225,183,92,29,0,1119,12,231,657,379,292,159,32,4,1764,11,183,564,366,262,152,25,0,1570,7,117,515,336,272,150,26,0,1419,0,46,297,258,237,129,15,0,984,3,76,652,584
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,9,5,3,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0
79499,7,4,4,0,3,0,21,0,3,17,10,3,9,0,0,42,0,7,6,4,5,6,0,0,29,0,0,12,6,5,9,0,0,35,0,3,6,8,11,9,0,0,41,0,0,14,13,14,4,3,0,42,0,0,11,18,13,15,0,0,55,0,0,7,10,5,3,0,0,30,0,0,0,0,0,0,0,0,4,3,26,85,93,77,65,15,0,367,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,3,3,0,3,0,3,3,0,10,0,0,11,3,3,4,0,0,25,10,3,0,11,6,3,0,0,29,12,6,7,10,5,9,0,0,52,0,16,15,16,9,9,0,0,71,5,9,25,24,15,13,3,0,89,0,21,56,28,29,18,3,0,160,0,12,46,42,35,18,0,0,153,0,12,43,37,25,21,0,0,138,0,6,43,39,26,9,0,0,124,0,6,105,49
