GCCSA_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
9OTER,7,0,0,0,8,159,96,0,9,272
99799,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,5,5,0,0,11
8ACTE,280,43,5,4,334,5908,1547,194,63,7720
89799,0,0,0,0,0,0,0,0,0,0
89499,43,7,0,0,45,1347,171,4,11,1533
7RNTE,46,7,0,3,60,843,266,14,40,1163
7GDAR,114,32,0,5,152,2249,682,42,55,3030
79799,0,0,0,0,0,5,0,0,0,4
79499,27,5,0,0,29,627,98,0,13,736
6RTAS,224,57,3,10,295,6150,2792,101,174,9220
6GHOB,222,57,4,11,294,5214,1750,135,68,7171
69799,0,0,0,0,0,0,0,0,0,0
69499,80,10,0,3,90,2397,362,3,56,2815
5RWAU,560,192,4,34,788,12276,6729,163,389,19556
5GPER,2542,563,39,74,3215,41809,12644,1010,511,55976
59799,3,0,0,0,3,16,6,0,0,23
59499,558,48,0,8,616,13867,2145,26,218,16258
4RSAU,353,117,0,13,488,10111,5644,143,348,16248
4GADE,1347,227,7,52,1627,27991,8030,621,446,37092
49799,0,0,0,0,0,5,0,0,0,4
49499,326,20,0,10,359,10131,1279,14,174,11594
3RQLD,3041,703,18,77,3847,55766,19614,685,1181,77247
3GBRI,2516,435,25,55,3027,44963,11980,1069,586,58597
39799,0,0,0,0,0,11,5,0,0,15
39499,882,86,3,25,995,23515,3456,29,360,27359
2RVIC,1567,330,9,64,1974,34659,13581,407,1026,49662
2GMEL,5468,900,49,153,6566,94672,22893,2095,1345,121009
29799,0,0,0,0,0,4,0,0,0,4
29499,953,80,4,28,1068,29388,3989,45,569,33979
1RNSW,2674,596,20,123,3413,62840,25974,796,1749,91362
1GSYD,5664,906,49,128,6745,102250,26893,2513,1280,132937
19799,0,0,0,0,0,16,3,0,0,16
19499,1157,123,3,35,1321,36349,4957,45,606,41955
