GCCSA_CODE_2016,M_Tot_H_0,M_Tot_H_1_15,M_Tot_H_16_24,M_Tot_H_25_34,M_Tot_H_35_39,M_Tot_H_40,M_Tot_H_41_48,M_Tot_H_49_more,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_15,F_AgFF_H_16_24,F_AgFF_H_25_34,F_AgFF_H_35_39,F_AgFF_H_40,F_AgFF_H_41_48,F_AgFF_H_49_more,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_15,F_Min_H_16_24,F_Min_H_25_34,F_Min_H_35_39,F_Min_H_40,F_Min_H_41_48,F_Min_H_49_more,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_15,F_Mnf_H_16_24,F_Mnf_H_25_34,F_Mnf_H_35_39,F_Mnf_H_40,F_Mnf_H_41_48,F_Mnf_H_49_more,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_15,F_EGWWS_H_16_24,F_EGWWS_H_25_34,F_EGWWS_H_35_39,F_EGWWS_H_40,F_EGWWS_H_41_48,F_EGWWS_H_49_more,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_15,F_Const_H_16_24,F_Const_H_25_34,F_Const_H_35_39,F_Const_H_40,F_Const_H_41_48,F_Const_H_49_more,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_15,F_WST_H_16_24,F_WST_H_25_34,F_WST_H_35_39,F_WST_H_40,F_WST_H_41_48,F_WST_H_49_more,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_15,F_RetT_H_16_24,F_RetT_H_25_34,F_RetT_H_35_39,F_RetT_H_40,F_RetT_H_41_48,F_RetT_H_49_more,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_15,F_AcFd_H_16_24,F_AcFd_H_25_34,F_AcFd_H_35_39,F_AcFd_H_40,F_AcFd_H_41_48,F_AcFd_H_49_more,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_15,F_TPW_H_16_24,F_TPW_H_25_34,F_TPW_H_35_39,F_TPW_H_40,F_TPW_H_41_48,F_TPW_H_49_more,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_15,F_IMT_H_16_24,F_IMT_H_25_34,F_IMT_H_35_39,F_IMT_H_40,F_IMT_H_41_48,F_IMT_H_49_more,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_15,F_FinIns_H_16_24,F_FinIns_H_25_34,F_FinIns_H_35_39,F_FinIns_H_40,F_FinIns_H_41_48,F_FinIns_H_49_more,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_15,F_RHRE_H_16_24,F_RHRE_H_25_34,F_RHRE_H_35_39,F_RHRE_H_40,F_RHRE_H_41_48,F_RHRE_H_49_more,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_15,F_ProSTS_H_16_24,F_ProSTS_H_25_34,F_ProSTS_H_35_39,F_ProSTS_H_40,F_ProSTS_H_41_48,F_ProSTS_H_49_more,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_15,F_AdSup_H_16_24,F_AdSup_H_25_34,F_AdSup_H_35_39,F_AdSup_H_40,F_AdSup_H_41_48,F_AdSup_H_49_more,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_15,F_PubAS_H_16_24,F_PubAS_H_25_34,F_PubAS_H_35_39,F_PubAS_H_40,F_PubAS_H_41_48,F_PubAS_H_49_more,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_15,F_EdTrn_H_16_24,F_EdTrn_H_25_34,F_EdTrn_H_35_39,F_EdTrn_H_40,F_EdTrn_H_41_48,F_EdTrn_H_49_more,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_15,F_HltHC_SA_H_16_24,F_HltHC_SA_H_25_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40,F_HltHC_SA_H_41_48,F_HltHC_SA_H_49_more,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_15,F_ArtsR_H_16_24,F_ArtsR_H_25_34,F_ArtsR_H_35_39,F_ArtsR_H_40,F_ArtsR_H_41_48,F_ArtsR_H_49_more,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_15,F_OthSvs_H_16_24,F_OthSvs_H_25_34,F_OthSvs_H_35_39,F_OthSvs_H_40,F_OthSvs_H_41_48,F_OthSvs_H_49_more,F_OthSvs_H_NS,F_OthSvs_H_Tot
9OTER,98,87,61,95,329,264,227,351,37,1545,0,0,0,0,3,0,0,0,0,9,0,0,0,0,16,0,0,0,0,20,0,5,6,0,4,3,0,0,3,19,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,3,0,0,0,15,0,0,0,0,0,3,0,0,0,6,3,17,16,23,26,7,10,9,0,123,9,22,26,24,40,15,8,14,5,165,0,6,4,5,7,7,3,3,0,34,0,7,0,0,0,0,0,0,0,9,4,0,3,3,8,0,0,0,0,25,0,7,0,4,0,4,0,0,0,10,0,3,3,6,4,5,3,3,0,30,5,14,9,21,26,3,3,6,6,89,17,9,14,11,67,26,41,46,0,226,9,15,16,22,26,22,6,17,0,141,9,11,5,16,29,24,3,8,0,106,0,3,9,4,3,4,7,0,0,34,0,3,4,7,3,4,0,0,3,23
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,19,3,6,8,4,13,3,25,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3259,8079,5586,6679,24889,26484,13798,19285,1792,109846,12,27,25,25,57,26,12,12,3,207,0,0,0,0,3,3,0,0,0,11,31,231,103,122,182,144,62,90,8,979,36,10,21,39,139,104,47,44,0,437,43,199,165,179,220,271,99,126,19,1307,17,68,59,51,125,105,45,75,0,551,339,2387,1366,1289,1475,593,363,403,116,8341,238,2322,1133,874,702,548,308,380,153,6665,83,98,120,170,358,218,89,77,11,1220,93,159,148,177,441,280,163,136,15,1614,105,115,155,218,551,396,175,152,13,1877,62,115,97,120,430,369,159,158,11,1527,370,701,792,1131,1988,1915,869,971,42,8780,96,392,396,333,533,434,168,197,32,2582,2689,822,2133,3801,10785,7735,4219,3493,221,35892,697,1943,1510,1857,2801,1826,1276,1799,93,13796,938,1723,2475,3170,4290,2462,967,1198,130,17352,90,529,268,263,328,207,132,145,24,1996,105,575,452,507,777,449,251,240,42,3401
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,162,501,330,440,695,1346,573,983,104,5137,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,3,3,3,0,24,0,0,0,0,0,0,0,0,0,7,6,12,10,3,9,13,3,8,0,56,3,5,5,4,3,11,3,0,0,40,6,24,10,8,10,13,7,6,0,93,6,14,6,11,3,0,3,0,0,46,3,3,4,0,3,0,0,3,0,24,3,7,7,6,3,6,0,0,0,33,0,0,0,0,0,0,3,0,0,10,0,4,0,0,0,3,0,0,0,13,17,34,19,10,14,14,7,16,6,133,19,102,63,37,23,24,3,6,3,280,19,12,3,11,22,21,6,6,3,106,18,109,18,24,10,6,4,9,11,211,29,116,60,74,41,32,7,16,9,382,8,16,5,4,0,4,0,0,0,38,5,30,11,14,8,5,3,3,0,81
7RNTE,808,887,701,1058,3347,3405,1855,5357,559,17986,19,26,22,16,42,89,24,240,11,493,25,3,9,11,11,41,30,149,4,282,4,14,11,6,15,14,12,17,0,92,3,0,0,0,25,14,7,5,0,49,14,26,13,27,79,65,32,55,0,315,3,5,7,12,28,18,18,15,0,98,51,168,128,182,227,141,100,137,23,1156,47,132,106,135,202,203,129,275,18,1248,20,20,22,45,51,44,24,48,0,283,3,17,6,6,32,15,0,11,0,86,5,8,12,16,40,26,9,8,3,125,8,5,10,17,46,31,20,25,3,167,21,48,32,43,126,94,44,76,9,490,18,47,45,59,112,79,53,85,9,507,140,102,123,199,841,476,190,248,28,2349,136,200,214,353,671,497,245,429,48,2795,193,189,267,391,1076,669,200,341,46,3365,16,59,47,52,62,61,25,41,9,369,29,86,85,82,198,108,41,54,26,707
7GDAR,1597,1703,1593,1854,6853,7622,4526,13280,947,39969,3,21,16,30,37,49,30,59,5,253,11,10,6,3,22,28,23,75,3,181,12,56,40,56,90,116,44,66,4,492,28,3,10,27,135,86,41,52,4,383,50,84,78,120,195,246,88,388,11,1258,13,26,20,37,101,107,57,48,3,417,110,545,385,483,717,315,182,209,50,2986,52,496,411,414,437,276,208,276,29,2598,40,41,65,104,186,169,100,116,8,830,20,33,19,31,97,51,32,40,6,326,47,27,27,85,178,160,55,74,3,646,23,47,33,56,190,133,77,122,4,690,90,147,130,200,387,386,173,376,12,1899,34,136,134,142,265,178,90,123,11,1121,479,129,220,432,2113,1260,666,707,62,6060,175,355,413,433,931,679,451,726,46,4217,262,326,525,777,1495,950,348,434,75,5187,31,132,79,87,160,136,42,83,12,756,38,123,115,134,269,154,71,122,10,1028
79799,4,0,0,3,0,3,8,59,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,228,153,126,193,255,458,264,1076,74,2829,0,0,3,0,0,3,0,7,0,15,0,0,3,0,3,3,0,7,0,16,0,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,3,11,8,6,3,0,18,3,57,0,0,0,4,0,0,0,0,0,10,8,4,5,8,3,5,4,8,3,46,3,3,10,6,3,10,3,3,0,31,3,3,3,3,5,3,0,5,0,22,0,4,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,9,3,16,4,12,3,5,3,17,0,66,16,41,15,33,12,21,10,16,0,156,5,3,6,3,15,8,0,16,0,54,17,9,13,8,6,7,0,3,0,68,24,14,16,18,18,9,8,12,8,122,0,4,3,0,8,4,0,8,0,28,8,11,3,8,3,0,0,3,0,34
