GCCSA_CODE_2016,M_Tot_H_0,M_Tot_H_1_15,M_Tot_H_16_24,M_Tot_H_25_34,M_Tot_H_35_39,M_Tot_H_40,M_Tot_H_41_48,M_Tot_H_49_more,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_15,F_AgFF_H_16_24,F_AgFF_H_25_34,F_AgFF_H_35_39,F_AgFF_H_40,F_AgFF_H_41_48,F_AgFF_H_49_more,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_15,F_Min_H_16_24,F_Min_H_25_34,F_Min_H_35_39,F_Min_H_40,F_Min_H_41_48,F_Min_H_49_more,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_15,F_Mnf_H_16_24,F_Mnf_H_25_34,F_Mnf_H_35_39,F_Mnf_H_40,F_Mnf_H_41_48,F_Mnf_H_49_more,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_15,F_EGWWS_H_16_24,F_EGWWS_H_25_34,F_EGWWS_H_35_39,F_EGWWS_H_40,F_EGWWS_H_41_48,F_EGWWS_H_49_more,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_15,F_Const_H_16_24,F_Const_H_25_34,F_Const_H_35_39,F_Const_H_40,F_Const_H_41_48,F_Const_H_49_more,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_15,F_WST_H_16_24,F_WST_H_25_34,F_WST_H_35_39,F_WST_H_40,F_WST_H_41_48,F_WST_H_49_more,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_15,F_RetT_H_16_24,F_RetT_H_25_34,F_RetT_H_35_39,F_RetT_H_40,F_RetT_H_41_48,F_RetT_H_49_more,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_15,F_AcFd_H_16_24,F_AcFd_H_25_34,F_AcFd_H_35_39,F_AcFd_H_40,F_AcFd_H_41_48,F_AcFd_H_49_more,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_15,F_TPW_H_16_24,F_TPW_H_25_34,F_TPW_H_35_39,F_TPW_H_40,F_TPW_H_41_48,F_TPW_H_49_more,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_15,F_IMT_H_16_24,F_IMT_H_25_34,F_IMT_H_35_39,F_IMT_H_40,F_IMT_H_41_48,F_IMT_H_49_more,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_15,F_FinIns_H_16_24,F_FinIns_H_25_34,F_FinIns_H_35_39,F_FinIns_H_40,F_FinIns_H_41_48,F_FinIns_H_49_more,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_15,F_RHRE_H_16_24,F_RHRE_H_25_34,F_RHRE_H_35_39,F_RHRE_H_40,F_RHRE_H_41_48,F_RHRE_H_49_more,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_15,F_ProSTS_H_16_24,F_ProSTS_H_25_34,F_ProSTS_H_35_39,F_ProSTS_H_40,F_ProSTS_H_41_48,F_ProSTS_H_49_more,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_15,F_AdSup_H_16_24,F_AdSup_H_25_34,F_AdSup_H_35_39,F_AdSup_H_40,F_AdSup_H_41_48,F_AdSup_H_49_more,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_15,F_PubAS_H_16_24,F_PubAS_H_25_34,F_PubAS_H_35_39,F_PubAS_H_40,F_PubAS_H_41_48,F_PubAS_H_49_more,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_15,F_EdTrn_H_16_24,F_EdTrn_H_25_34,F_EdTrn_H_35_39,F_EdTrn_H_40,F_EdTrn_H_41_48,F_EdTrn_H_49_more,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_15,F_HltHC_SA_H_16_24,F_HltHC_SA_H_25_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40,F_HltHC_SA_H_41_48,F_HltHC_SA_H_49_more,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_15,F_ArtsR_H_16_24,F_ArtsR_H_25_34,F_ArtsR_H_35_39,F_ArtsR_H_40,F_ArtsR_H_41_48,F_ArtsR_H_49_more,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_15,F_OthSvs_H_16_24,F_OthSvs_H_25_34,F_OthSvs_H_35_39,F_OthSvs_H_40,F_OthSvs_H_41_48,F_OthSvs_H_49_more,F_OthSvs_H_NS,F_OthSvs_H_Tot
6RTAS,1929,4473,3194,4474,10731,10504,6541,10537,1104,53486,119,418,333,387,273,371,119,414,42,2476,10,16,14,11,13,30,28,31,0,154,119,392,328,334,470,348,199,141,27,2348,17,15,27,35,83,74,25,12,0,279,33,203,119,126,98,141,45,37,4,802,32,115,91,96,172,124,43,36,5,711,304,1851,1297,1395,1140,464,307,339,69,7161,293,1923,938,813,508,252,193,430,90,5442,78,203,184,192,159,126,74,104,10,1144,25,70,65,53,109,50,34,20,3,428,81,95,188,204,363,189,70,51,7,1240,32,98,78,88,213,104,55,76,5,749,88,318,292,331,436,245,103,118,12,1942,73,414,263,208,309,150,74,99,25,1607,204,258,475,555,731,419,169,174,19,2999,289,932,1254,1246,1131,704,464,729,46,6807,723,1310,2187,2847,2054,1237,542,685,119,11701,41,223,131,131,117,74,36,46,10,812,72,409,316,317,347,168,92,94,7,1823
6GHOB,1506,4540,3127,4194,11287,10359,5763,7634,834,49249,22,77,53,89,85,58,30,32,3,452,0,3,0,0,0,3,0,0,0,16,51,282,192,185,288,157,82,90,11,1339,35,24,39,70,193,104,60,45,3,569,30,133,113,117,113,135,47,41,3,731,24,81,59,74,129,78,44,27,3,521,341,1806,1042,1118,1089,499,258,217,39,6405,149,1725,708,641,440,270,186,224,60,4404,46,85,126,143,156,173,74,53,10,867,54,99,117,137,222,132,52,31,3,844,99,76,187,254,537,196,105,80,4,1527,21,68,81,89,215,105,48,62,3,687,123,361,346,406,582,368,168,194,12,2552,56,360,233,191,303,149,62,77,18,1452,414,278,739,954,1942,763,422,398,37,5944,294,1001,1139,1269,1179,805,565,797,51,7100,648,1246,2227,2985,2261,1128,537,723,84,11848,40,309,165,169,167,114,45,68,15,1086,75,377,315,354,373,200,119,105,15,1937
69799,5,3,3,0,3,3,3,31,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,341,635,523,769,939,1513,679,1204,172,6785,3,9,4,11,8,10,0,11,3,59,0,0,0,0,0,0,0,0,0,5,3,12,3,9,9,3,0,0,0,41,0,0,0,0,0,0,0,0,0,5,5,22,9,10,8,15,3,3,0,74,0,6,0,5,8,9,3,4,0,43,10,32,17,13,11,3,3,3,0,93,3,23,8,8,0,3,0,5,0,46,8,14,6,4,7,8,0,9,0,49,0,3,0,0,3,0,0,0,0,4,11,3,0,0,0,3,0,0,0,18,0,7,3,0,0,0,0,3,0,15,4,60,30,18,3,3,3,6,3,136,11,238,106,61,27,8,3,8,10,479,14,15,12,13,5,8,0,7,4,77,26,45,37,17,16,9,7,0,3,153,57,242,165,155,64,26,15,32,11,768,3,20,0,3,0,0,0,0,3,31,3,34,19,13,7,7,4,4,3,91
5RWAU,8314,7605,5542,7043,14856,20577,17696,61716,3127,146485,320,1070,748,783,401,928,362,1462,134,6216,537,150,171,165,244,466,760,2886,70,5447,163,454,371,450,478,471,299,277,30,2990,21,31,50,48,112,80,64,75,0,490,155,545,299,356,344,462,182,616,34,2988,46,135,142,163,245,260,182,136,8,1314,517,2955,1977,2301,2084,1032,716,771,149,12506,399,2488,1319,1530,925,727,504,1552,149,9592,137,420,346,419,388,410,240,413,30,2806,15,125,66,85,126,71,52,39,13,593,127,186,259,260,387,296,110,123,13,1750,72,204,154,221,507,317,142,172,15,1802,153,611,513,517,615,477,236,402,19,3540,182,788,517,564,478,375,207,603,51,3760,363,500,673,660,1631,1134,471,454,64,5965,702,1787,2066,2688,2139,1783,1171,1727,140,14189,1022,2032,2876,3820,3665,2082,823,1229,159,17713,72,352,189,205,185,130,59,105,22,1312,134,768,544,596,627,464,196,261,54,3633
5GPER,12323,35839,26443,28307,80207,102951,55346,89642,7770,438823,87,395,382,401,380,353,136,281,31,2448,490,260,632,603,1049,2206,1012,1376,52,7679,413,1996,1686,1796,3002,2532,1027,800,98,13355,136,133,267,293,944,639,281,210,13,2919,395,1990,1687,1604,2043,3060,918,1064,127,12892,239,807,875,1058,1905,1621,614,496,44,7663,1801,14608,9538,8838,8525,4265,2081,2128,510,52302,945,11081,5838,4476,3254,2437,1325,1827,464,31636,467,986,1108,1528,2006,1903,794,784,87,9668,132,627,506,475,785,684,266,260,29,3757,694,952,1725,1707,3270,2987,998,891,71,13292,266,1039,974,1013,2010,1986,755,891,66,8990,1097,3742,3569,3634,5159,5560,2254,2624,137,27767,423,2818,2399,1971,2327,2007,767,938,159,13811,1759,1879,3000,2982,8810,5115,2334,1779,168,27825,2420,8941,9064,9894,9910,8066,4431,6104,431,59265,4436,10610,15293,18077,20026,10465,3960,4684,799,88360,321,2273,1208,1071,1063,850,411,505,71,7771,484,3545,2620,2775,3350,2117,916,915,163,16882
59799,158,37,14,20,25,36,31,1152,27,1496,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,21,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,2509,3413,2954,4215,4681,8664,3685,10050,888,41063,30,56,30,39,19,22,5,30,4,231,60,16,11,4,15,16,32,205,12,364,9,33,51,26,37,44,20,10,0,227,6,8,4,7,9,0,0,0,0,28,54,129,81,113,88,117,25,71,17,693,6,43,44,33,48,64,18,28,3,272,50,222,143,117,110,99,57,63,10,866,45,117,49,30,16,27,9,77,7,387,39,83,48,72,33,36,28,57,14,400,4,32,4,3,10,6,5,5,3,74,21,26,7,10,20,14,9,7,0,121,9,27,19,24,7,15,7,7,0,119,51,288,155,119,58,78,27,69,10,852,111,1034,497,384,136,125,41,99,30,2457,50,57,40,44,29,40,15,35,3,303,93,392,211,151,85,57,29,45,15,1069,210,753,588,622,333,151,74,110,29,2869,8,122,22,26,8,17,7,11,0,214,29,349,155,125,71,55,37,37,3,859
4RSAU,2913,5890,3998,5776,13111,14512,9515,20117,1625,77465,285,1081,741,898,594,824,340,1049,123,5940,40,20,41,28,41,72,76,237,7,557,162,594,456,552,774,638,308,290,27,3800,19,23,18,29,41,31,13,13,0,186,39,285,203,183,214,160,49,85,11,1241,50,128,122,161,235,212,98,86,13,1106,421,2414,1633,2001,1329,616,478,528,84,9513,257,2402,1208,1039,512,336,279,634,97,6768,49,258,225,223,174,129,83,130,12,1284,14,83,53,50,128,58,33,25,5,438,74,144,200,260,259,168,63,69,10,1245,42,130,111,108,234,108,55,68,0,856,81,350,289,387,380,201,123,149,13,1967,88,654,374,343,364,205,117,187,31,2369,225,201,432,498,983,523,213,220,26,3324,423,1059,1400,1753,1201,870,768,1297,59,8832,884,1735,2908,3853,2755,1128,565,765,153,14747,32,178,94,103,84,58,24,51,12,636,79,541,314,425,326,223,117,130,19,2168
4GADE,7421,24864,16812,23112,66042,57051,35277,47191,4599,282376,77,382,280,328,301,268,110,233,31,2015,46,36,50,87,160,170,93,108,5,763,365,1572,1273,1693,3223,1717,890,719,93,11542,107,99,182,231,661,378,177,98,11,1939,183,1122,776,874,975,929,425,345,52,5680,149,496,522,708,1357,828,405,318,18,4797,1360,10090,5894,6441,5503,2211,1617,1320,325,34775,638,7990,3624,3437,2010,1175,920,1072,275,21143,258,530,584,808,1088,732,367,431,46,4836,146,419,397,457,854,486,220,231,28,3236,582,617,1301,1749,3169,1695,823,643,50,10625,134,506,452,566,1100,695,359,393,39,4235,649,2140,2159,2532,3676,2532,1326,1369,96,16474,354,2067,1716,1542,2004,998,528,546,98,9846,1403,936,2218,2935,6901,3639,1742,1262,118,21160,1551,4986,5085,6118,6335,4155,2899,4332,228,35687,3858,7818,12229,17027,15614,6123,3002,3321,611,69597,152,1295,574,676,553,412,223,246,39,4175,353,2107,1653,1924,2178,1107,595,540,108,10569
49799,14,6,3,3,8,4,5,23,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
