GCCSA_CODE_2016,Emp_15_19_HW_0,Emp_15_19_HW_1_15,Emp_15_19_HW_16_24,Emp_15_19_HW_25_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40,Emp_15_19_HW_41_48,Emp_15_19_HW_49mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_15,Emp_20_24_HW_16_24,Emp_20_24_HW_25_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40,Emp_20_24_HW_41_48,Emp_20_24_HW_49mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_15,Emp_25_29_HW_16_24,Emp_25_29_HW_25_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40,Emp_25_29_HW_41_48,Emp_25_29_HW_49mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_15,Emp_30_34_HW_16_24,Emp_30_34_HW_25_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40,Emp_30_34_HW_41_48,Emp_30_34_HW_49mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_15,Emp_35_39_HW_16_24,Emp_35_39_HW_25_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40,Emp_35_39_HW_41_48,Emp_35_39_HW_49mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_15,Emp_40_44_HW_16_24,Emp_40_44_HW_25_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40,Emp_40_44_HW_41_48,Emp_40_44_HW_49mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_15,Emp_45_49_HW_16_24,Emp_45_49_HW_25_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40,Emp_45_49_HW_41_48,Emp_45_49_HW_49mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_15,Emp_50_54_HW_16_24,Emp_50_54_HW_25_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40,Emp_50_54_HW_41_48,Emp_50_54_HW_49mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_15,Emp_55_59_HW_16_24,Emp_55_59_HW_25_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40,Emp_55_59_HW_41_48,Emp_55_59_HW_49mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_15,Emp_60_64_HW_16_24,Emp_60_64_HW_25_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40,Emp_60_64_HW_41_48,Emp_60_64_HW_49mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_15,Emp_65_69_HW_16_24,Emp_65_69_HW_25_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40,Emp_65_69_HW_41_48,Emp_65_69_HW_49mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_15,Emp_70_74_HW_16_24,Emp_70_74_HW_25_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40,Emp_70_74_HW_41_48,Emp_70_74_HW_49mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_15,Emp_75ov_HW_16_24,Emp_75ov_HW_25_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40,Emp_75ov_HW_41_48,Emp_75ov_HW_49mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_15,Emp_Tot_HW_16_24,Emp_Tot_HW_25_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40,Emp_Tot_HW_41_48,Emp_Tot_HW_49mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_15,OM_IEs_15_19_HW_16_24,OM_IEs_15_19_HW_25_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40,OM_IEs_15_19_HW_41_48,OM_IEs_15_19_HW_49mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_15,OM_IEs_20_24_HW_16_24,OM_IEs_20_24_HW_25_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40,OM_IEs_20_24_HW_41_48,OM_IEs_20_24_HW_49mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_15,OM_IEs_25_29_HW_16_24,OM_IEs_25_29_HW_25_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40,OM_IEs_25_29_HW_41_48,OM_IEs_25_29_HW_49mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_15,OM_IEs_30_34_HW_16_24,OM_IEs_30_34_HW_25_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40,OM_IEs_30_34_HW_41_48,OM_IEs_30_34_HW_49mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_15,OM_IEs_35_39_HW_16_24,OM_IEs_35_39_HW_25_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40,OM_IEs_35_39_HW_41_48,OM_IEs_35_39_HW_49mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_15,OM_IEs_40_44_HW_16_24,OM_IEs_40_44_HW_25_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40,OM_IEs_40_44_HW_41_48,OM_IEs_40_44_HW_49mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
9OTER,3,28,3,3,7,6,3,8,7,70,11,18,13,7,31,19,16,42,3,155,17,13,9,17,56,26,22,43,4,203,21,11,21,19,39,40,38,43,3,216,15,10,17,20,64,37,36,33,8,248,20,17,16,18,55,37,34,30,4,233,11,8,13,19,62,36,29,35,7,226,9,23,7,33,75,38,33,50,7,270,16,15,9,17,72,30,33,37,4,242,16,13,19,15,48,25,27,22,4,182,7,11,9,10,32,16,14,19,3,120,0,4,4,0,7,8,0,0,0,31,0,5,0,0,0,0,0,0,0,10,146,176,147,189,545,317,278,360,51,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,4,0,7,0,8,0,0,0,0,0,3,3,5,0,12
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,11,5,0,0,0,0,0,0,8,0,15,3,0,0,3,0,3,0,7,0,11,3,0,0,0,0,4,0,3,3,14,6,0,0,0,0,0,0,3,0,17,0,0,0,0,0,3,0,8,0,11,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,3,3,4,17,0,28,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,403,6044,1313,839,788,598,262,387,343,10971,665,3801,2765,2245,4627,3285,1517,1613,505,21015,1113,1374,1632,1792,7714,5636,2935,2678,335,25203,1837,1166,1964,2325,7262,6030,2930,2931,322,26764,1258,1054,1880,2543,6257,5456,2608,2834,302,24204,756,891,1467,2532,5755,5512,2840,3198,219,23177,629,761,1106,2278,5620,5169,2939,3386,219,22103,761,651,997,1777,5006,4420,2669,3117,177,19581,685,708,998,1328,3888,3153,1881,2217,150,15004,470,733,808,970,2042,1543,858,1098,82,8607,218,582,447,407,653,504,236,339,37,3439,51,249,162,100,119,87,49,59,8,889,17,124,50,35,31,21,15,19,11,323,8881,18129,15583,19170,49763,41425,21739,23876,2711,201277,0,15,0,7,0,3,0,0,3,28,0,9,13,10,22,29,17,32,3,130,3,16,13,28,49,105,48,165,7,437,15,47,47,58,86,194,81,330,16,868,27,66,47,94,88,265,101,408,23,1115,13,60,59,114,99,309,141,467,18,1283
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,18,148,25,22,30,60,19,15,17,358,32,137,53,61,117,164,71,71,20,726,29,55,42,38,105,172,84,105,24,652,31,42,33,29,92,142,54,72,11,514,31,33,30,37,70,113,51,74,11,441,13,34,25,36,66,90,39,55,6,374,13,34,43,33,46,77,48,70,8,374,25,30,25,26,37,68,32,42,11,300,21,30,35,32,46,41,25,37,0,267,9,42,26,23,25,26,5,31,3,200,5,29,16,12,9,19,6,4,0,100,3,12,0,0,0,3,0,0,0,18,0,9,3,0,0,0,0,0,0,16,245,636,358,349,644,979,443,572,117,4341,0,3,0,3,0,0,0,0,0,6,0,0,0,5,0,0,0,3,0,13,0,3,0,6,7,19,11,38,0,82,3,4,9,6,12,30,16,47,0,125,0,4,3,3,9,30,12,43,0,103,0,4,6,13,10,37,18,46,0,139
7RNTE,49,437,104,123,201,159,42,163,75,1349,88,133,133,245,627,536,224,543,122,2650,185,135,193,280,952,789,403,917,129,3982,210,208,221,343,910,708,386,876,123,3975,182,168,200,301,743,593,302,700,92,3285,133,147,186,304,743,633,287,685,84,3202,144,148,182,263,806,643,335,702,72,3286,153,110,150,220,774,615,324,730,82,3159,153,101,144,194,691,519,291,649,61,2799,99,95,93,151,446,345,196,398,33,1862,41,58,82,65,157,131,64,144,20,761,9,41,15,21,33,28,13,34,8,194,3,13,9,3,9,7,6,7,5,74,1456,1784,1709,2524,7085,5700,2863,6550,896,30573,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,4,12,0,3,3,0,5,5,6,19,0,49,0,8,0,3,6,14,6,49,3,93,6,5,0,5,21,16,5,40,0,98,3,11,5,5,10,33,10,75,3,159
7GDAR,98,1306,350,264,384,290,138,115,111,3054,271,399,596,605,1461,1239,763,937,200,6474,384,336,585,628,2025,1802,1063,2196,199,9217,516,360,533,591,2040,1683,971,2372,179,9236,346,284,420,585,1821,1453,746,1997,117,7769,270,228,365,536,1551,1384,746,1892,111,7073,248,204,282,505,1555,1374,767,1753,118,6797,276,161,237,378,1301,1134,651,1626,107,5861,272,162,237,364,1128,874,504,1213,75,4828,162,140,164,260,740,546,286,670,46,3016,74,123,104,116,293,193,80,196,21,1202,18,51,34,20,54,38,24,35,3,274,6,17,12,13,21,11,7,13,0,94,2934,3765,3911,4865,14363,12021,6736,15015,1295,64902,0,4,0,3,0,0,0,0,0,12,0,8,3,0,4,5,4,8,0,40,3,3,10,11,15,22,13,40,3,121,10,13,9,21,26,58,27,96,8,254,9,21,13,30,37,63,26,176,3,387,11,15,13,34,38,92,49,216,5,465
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,19,0,21,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,3,9,3,17,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,4,3,7,56,3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,3,30,12,6,10,14,9,11,4,98,9,9,23,17,25,37,32,64,13,223,33,11,16,19,42,72,37,189,10,435,26,12,17,19,38,42,38,178,11,374,29,13,11,17,25,42,26,120,7,291,25,7,8,18,27,44,11,97,4,237,14,8,4,17,22,29,25,99,11,234,31,11,13,17,22,35,5,78,6,217,22,10,9,18,22,31,17,54,3,189,18,11,9,8,14,19,9,30,3,119,7,13,3,0,8,6,4,14,0,54,0,0,0,0,3,0,6,3,0,11,4,0,3,0,0,0,0,3,0,13,221,136,131,157,256,367,205,942,75,2491,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,4,3,8,0,16,3,0,0,4,0,11,3,15,0,40,7,0,3,3,8,9,6,11,0,44,6,4,5,3,7,13,3,18,4,53
