GCCSA_CODE_2016,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_2016,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_2016,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_2016,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_2016,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_2016,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_2016,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_2016,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_2016,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_2016,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_2016,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_2016,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_2016,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_2016,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_2016,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_2016,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_2016,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_2016,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_2016,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_2016,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_2016,SEO_IDNS_NS,SEO_IDNS_Tot,SEO_Tot_Bf_91,SEO_Tot_91_95,SEO_Tot_96_00,SEO_Tot_01_05,SEO_Tot_06_10,SEO_Tot_11_15,SEO_Tot_2016,SEO_Tot_NS,SEO_Tot_Tot,SOLSEWVW_AGFF_Bf_91,SOLSEWVW_AGFF_91_95,SOLSEWVW_AGFF_96_00,SOLSEWVW_AGFF_01_05,SOLSEWVW_AGFF_06_10,SOLSEWVW_AGFF_11_15,SOLSEWVW_AGFF_2016,SOLSEWVW_AGFF_NS,SOLSEWVW_AGFF_Tot,SOLSEWVW_Min_Bf_91,SOLSEWVW_Min_91_95
9OTER,7,0,0,0,0,0,0,0,4,6,0,3,0,3,0,0,0,9,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,13,3,0,3,4,0,0,3,28,0,0,0,0,0,0,0,0,5,27,3,7,4,0,3,3,0,43,24,0,3,4,3,6,0,3,50,8,0,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,9,0,0,0,5,0,0,0,15,8,0,0,0,3,0,0,0,16,60,4,0,4,14,14,0,6,99,13,0,3,0,0,0,0,0,25,10,0,0,3,0,3,0,0,20,4,0,0,0,0,0,0,0,9,10,3,0,0,0,0,0,0,18,11,3,3,0,3,0,0,0,18,211,27,32,26,35,40,11,17,387,0,0,0,0,0,0,0,0,3,36,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,4,4,4,23,0,0,0,0,0,0,0,0,0,0,0
8ACTE,35,0,3,5,3,15,0,3,67,7,0,0,0,0,0,0,0,11,201,20,29,25,29,36,0,6,355,95,12,13,6,24,27,0,0,176,468,40,68,67,117,116,4,23,913,151,11,21,22,16,33,0,3,253,569,88,138,150,188,206,15,23,1384,269,75,170,166,169,247,19,36,1141,349,31,39,35,48,53,8,15,592,254,45,33,47,30,31,0,9,444,239,33,26,29,32,52,0,6,423,177,25,27,17,37,32,0,5,315,1508,202,205,215,259,259,17,52,2714,235,28,39,35,35,78,4,17,477,5391,687,717,520,408,295,32,181,8223,1485,208,215,240,287,406,34,49,2920,1377,195,193,236,331,396,18,46,2786,237,29,39,43,28,56,3,3,443,343,46,46,40,68,83,3,14,653,273,36,36,42,63,67,8,43,564,13668,1804,2048,1954,2168,2497,171,547,24860,17,5,4,14,12,16,0,0,60,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,6,129,11,10,11,25,29,0,15,219,6,0,0,0,0,0,0,0,12,11,0,6,0,0,0,0,0,24,3,0,3,0,0,0,0,0,5,21,3,0,0,0,3,0,6,31,3,0,0,5,4,0,0,0,14,4,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,4,27,3,3,3,3,3,0,0,49,37,0,3,0,4,6,0,0,61,22,0,0,0,0,0,3,3,36,25,0,10,3,3,3,0,0,49,39,3,4,4,11,8,0,3,70,0,0,3,3,0,0,0,0,13,12,0,0,0,0,4,0,4,22,10,0,4,0,0,3,0,0,21,364,26,57,39,59,70,10,28,655,0,0,0,0,0,0,0,0,0,0,0
7RNTE,23,9,11,10,13,45,11,4,112,156,16,23,22,46,28,0,14,308,28,3,7,3,8,10,5,3,66,24,0,0,3,4,5,0,0,37,116,8,17,14,39,25,4,6,230,24,0,8,3,3,5,3,0,41,95,8,19,19,49,52,14,11,275,113,14,28,20,64,117,15,20,393,76,6,7,19,19,29,0,0,165,20,0,3,0,3,4,0,0,35,5,4,0,3,0,4,0,0,14,28,0,5,7,3,9,0,0,52,70,13,11,18,15,53,6,3,189,49,3,11,8,20,31,0,4,125,330,34,49,47,75,203,37,16,787,223,23,39,32,49,64,10,11,463,250,32,36,62,69,131,10,17,614,26,0,11,3,9,12,0,3,65,57,8,5,11,7,32,3,4,131,54,8,11,12,22,29,6,16,148,1773,178,303,310,514,893,113,133,4229,9,3,0,0,4,21,4,3,49,25,4
7GDAR,47,3,12,4,16,10,0,4,93,85,7,28,29,29,43,0,7,229,121,14,29,23,33,51,0,7,275,101,12,15,19,21,23,3,5,199,525,77,117,137,277,299,16,34,1474,84,10,11,9,19,42,0,3,174,264,25,61,37,76,118,10,32,624,118,21,40,33,78,220,39,31,583,232,17,22,30,63,51,3,19,434,62,3,12,13,9,20,0,0,116,49,6,16,10,21,28,0,0,128,80,4,9,5,27,41,0,4,177,348,50,71,63,177,169,10,20,908,116,14,16,22,45,55,8,15,293,837,114,136,127,184,164,7,48,1622,449,54,52,50,123,126,7,26,879,414,48,71,75,138,194,16,27,987,67,11,13,15,31,53,3,4,202,131,12,10,23,27,70,9,12,294,168,21,41,42,66,74,5,36,449,4292,514,778,754,1478,1840,144,328,10135,43,13,9,7,20,11,0,9,108,18,14
79799,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,10,4,4,0,4,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0
79499,5,0,0,0,0,3,0,0,8,8,0,3,3,4,3,0,0,19,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,80,3,13,18,29,42,3,7,197,3,0,0,0,0,0,0,0,6,3,0,0,0,0,3,0,0,7,5,0,3,0,0,3,0,0,17,15,0,0,0,3,4,0,0,18,5,0,0,0,0,4,0,0,10,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,3,24,0,0,6,3,11,0,3,52,26,3,3,7,9,6,0,0,53,12,0,0,3,4,4,0,0,25,7,3,0,0,0,3,0,3,15,10,0,3,3,3,8,0,0,31,6,0,0,0,0,3,0,0,8,9,0,0,0,3,0,0,3,17,19,0,0,3,3,9,0,3,31,246,15,33,42,69,92,4,19,524,0,0,0,0,0,0,0,0,0,3,0
