GCCSA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
9OTER,21,0,11,271,226,15,32,7,8,289,270,5,39,3,11,335,242,18,46,8,5,320,182,6,31,10,3,234,120,8,24,7,5,167,31,3,17,3,3,54,10,3,14,3,3,35,2215,93,272,49,62,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,16,17,0,4,0,0,19,11,3,3,0,0,18,8,3,0,0,0,12,3,0,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,92,13,11,3,0,118
8ACTE,876,124,123,25587,22103,1465,945,139,115,24765,19581,1242,973,126,110,22031,15004,1050,878,133,89,17153,8607,763,769,114,85,10335,3439,504,549,122,64,4678,889,210,222,77,37,1437,323,109,120,80,36,665,201277,9191,7720,1301,1151,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,175,3,7,698,374,100,196,11,12,690,300,89,173,11,7,587,267,65,170,5,8,516,200,50,119,8,11,385,100,20,70,6,5,199,18,6,24,3,3,53,16,0,9,5,3,32,4341,805,1533,69,78,6817
7RNTE,117,21,26,3525,3286,189,136,21,37,3667,3159,201,166,32,48,3603,2799,170,138,31,26,3167,1862,137,125,28,31,2183,761,75,73,28,17,953,194,33,33,21,12,293,74,15,25,15,4,130,30573,1238,1163,266,364,33604
7GDAR,369,52,85,8044,6797,508,415,57,68,7840,5861,468,424,72,64,6885,4828,396,347,60,57,5692,3016,270,296,67,48,3695,1202,160,170,46,22,1608,274,66,78,34,14,464,94,24,33,28,16,195,64902,3172,3030,572,706,72381
79799,0,0,0,13,7,0,0,0,0,9,17,0,0,0,0,15,15,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,88,3,4,4,0,91
79499,104,10,9,413,234,31,110,8,6,389,217,50,94,10,10,372,189,42,89,3,6,324,119,30,53,10,5,221,54,8,29,4,6,98,11,6,5,0,0,29,13,0,4,0,0,20,2491,331,736,60,61,3674
6RTAS,959,198,123,11104,10288,825,1188,217,166,12678,10257,828,1202,298,154,12747,9234,824,1393,399,161,12010,5913,633,1225,334,144,8248,1924,436,714,303,89,3466,547,171,335,223,50,1314,197,105,259,186,75,821,86849,5446,9220,2597,1406,105512
