GCCSA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
6GHOB,907,72,88,11263,9886,659,858,107,101,11617,9593,685,977,108,112,11476,8811,608,939,106,108,10568,5267,475,744,136,75,6695,1811,288,533,114,51,2792,446,107,225,84,24,883,185,71,105,61,39,462,87152,4358,7171,1005,974,100657
69799,0,0,0,7,5,0,0,0,0,5,3,0,0,0,0,5,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,55
69499,325,13,11,943,562,104,425,15,21,1130,586,86,390,11,25,1099,524,80,408,16,19,1050,396,48,308,15,22,790,129,18,108,10,7,278,51,6,23,3,4,85,15,0,25,8,7,54,5407,613,2815,126,170,9132
5RWAU,2196,569,250,28412,24276,1993,2439,693,299,29696,22546,1914,2678,770,321,28235,19171,1776,2714,876,308,24850,11977,1271,2326,866,279,16720,4233,799,1496,884,172,7576,1110,382,737,655,95,2981,453,207,524,544,110,1836,206089,12972,19556,7194,2833,248646
5GPER,6690,1102,567,94326,78297,7926,7413,1165,671,95476,70304,7498,7257,1166,619,86845,58425,6436,6509,1035,583,72984,38812,4776,5403,1002,469,50464,15439,2909,3181,854,321,22701,4228,1160,1323,530,185,7422,1586,586,718,396,173,3458,737794,51438,55976,10098,6322,861625
59799,3,0,0,229,209,8,4,0,0,216,221,4,3,0,0,230,146,4,3,0,3,154,58,3,0,0,0,64,16,0,0,0,0,17,3,0,0,0,0,3,4,0,0,0,0,4,1533,22,23,5,8,1595
59499,2009,80,78,5924,3040,675,2213,95,108,6137,2842,650,2156,67,104,5820,2290,514,1846,68,105,4818,1560,331,1424,80,77,3480,643,153,647,46,49,1547,218,51,174,27,13,474,81,20,77,35,17,229,31866,4658,16258,754,848,54378
4RSAU,1526,530,205,15054,13095,1270,1983,527,248,17127,12816,1264,2250,672,243,17238,11834,1280,2375,757,244,16493,7880,980,2186,851,198,12093,2704,646,1446,746,115,5664,744,283,729,524,92,2361,346,178,461,529,128,1646,112942,8717,16248,6161,2224,146296
4GADE,4189,628,451,61414,53506,4422,4854,733,517,64027,50633,4191,4875,713,493,60907,44052,3778,4773,656,472,53734,28446,2917,3785,591,439,36181,10084,1894,2556,619,236,15392,2518,774,1140,408,141,4981,947,392,567,329,172,2404,484637,29190,37092,6352,4901,562169
49799,0,0,0,10,7,0,0,0,0,13,14,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,4,0,0,64
49499,1414,25,54,3676,1930,447,1572,47,78,4076,1942,442,1632,59,62,4135,1719,327,1561,53,55,3712,1165,209,1097,57,68,2598,485,107,502,47,29,1163,162,34,154,24,8,375,61,11,51,30,25,185,18802,2837,11594,492,577,34306
3RQLD,9022,2124,982,109825,88923,10610,9872,2446,1080,112932,83635,10123,10137,2674,1115,107687,71293,8873,10232,2875,1085,94359,45139,6603,8597,2779,914,64025,16730,3846,5344,2559,559,29047,4634,1728,2568,1778,354,11068,1660,808,1624,1568,469,6129,808289,67459,77247,23575,10270,986831
3GBRI,7348,1311,763,120836,97781,9686,7866,1332,788,117460,86422,8896,7313,1283,731,104635,69700,7756,6551,1253,671,85929,42956,5464,5398,1166,554,55547,15847,3313,3281,1006,373,23825,4075,1299,1432,623,214,7639,1358,609,719,490,269,3444,904578,62455,58597,11759,7520,1044909
39799,3,0,0,34,22,0,5,0,0,24,17,0,3,0,0,23,13,0,0,0,0,22,11,0,0,0,0,14,4,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,174,12,15,6,0,202
39499,3490,161,185,11589,5792,1637,3758,181,153,11527,5207,1425,3850,168,183,10831,4378,1167,3494,160,168,9364,3084,799,2542,156,159,6745,1210,338,1163,112,67,2887,392,82,335,76,47,924,151,32,114,72,38,410,58103,10357,27359,1522,1571,98920
2RVIC,5350,1253,662,57877,48461,5621,5789,1418,762,62054,48357,5616,6304,1650,809,62734,44287,5320,6826,2006,793,59230,29614,4108,6046,2109,705,42585,10397,2595,4090,2057,443,19587,2730,1048,2033,1355,267,7430,1223,632,1581,1403,321,5154,445362,37599,49662,16285,7444,556360
2GMEL,15644,2786,1860,231976,184552,22415,16118,2918,1918,227919,162362,20838,14723,2694,1864,202483,133672,17450,13046,2458,1639,168256,85195,12544,10137,2072,1315,111262,33341,7813,6451,1709,891,50203,9289,3495,2858,1175,506,17325,3562,1702,1658,1038,586,8544,1747384,143527,121009,24076,18785,2054783
29799,0,0,0,29,22,0,3,0,0,26,24,0,0,0,0,29,22,0,0,0,0,22,8,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,139,3,4,3,3,155
29499,4215,136,244,13092,6247,2413,4531,202,251,13646,5704,2136,4199,184,238,12464,4930,1751,3989,164,219,11052,3281,1107,2869,147,176,7571,1467,522,1268,98,78,3434,490,187,429,78,55,1240,235,56,195,65,51,612,66028,15169,33979,1616,2241,119037
1RNSW,10380,1936,1124,107148,88746,8751,11108,2173,1234,112008,88648,8990,12106,2671,1363,113782,82009,8172,12369,3095,1315,106959,50609,6406,10804,3293,1160,72275,17831,3956,6962,3182,788,32718,4931,1754,3547,2369,493,13101,2009,945,2520,2455,666,8600,809074,59974,91362,25609,12584,998604
1GSYD,17255,2559,1894,254047,190913,23805,17968,2547,1940,237172,173578,22928,17328,2575,1924,218337,144431,18486,15240,2326,1720,182202,90270,13104,11705,2013,1255,118337,37326,8555,7133,1703,870,55585,11021,3891,3249,1105,476,19736,4013,2059,1886,1110,535,9601,1883735,157758,132937,22667,19028,2216135
19799,0,0,3,9,9,0,0,0,0,11,6,0,4,0,3,14,3,0,0,0,0,10,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,65,7,16,0,3,90
19499,5354,207,280,16018,7582,2499,5540,232,287,16145,7353,2382,5983,217,285,16220,6535,1911,5248,206,269,14163,4221,1239,3818,184,211,9671,1837,610,1713,152,102,4419,643,172,537,95,61,1508,209,84,226,89,75,688,79641,17188,41955,1991,2587,143362
