GCCSA_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
9OTER,6,197,156,13,21,0,5,195,171,7,19,3,0,210,188,3,29,4,4,233,172,19,30,6,0,222,121,3,15,3,0,147,74,7,14,3,0,98,14,3,10,0,0,33,4,0,5,0,0,8,1506,66,172,20,34,1801,35,0,0,0,0,41,39,0,0,0,0,39,36,3,0,0,0,37,46,4,14,0,0,61,54,3,3,0,0,60,53,0,0,0,0,53,39,0,12,0,3,55,67,5,9,0,3,76,44,0,12,3,3,60,43,0,10,3,3,62,37,9,8,3,3,58,15,0,3,0,0,23,6,6,5,0,0,17,508,28,74,21,18,645,146,4,13,8,3,168,51,0,5,3,14,75,2215,93,272,49,62,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,8,3,0,0,0,0,3,3,0,0,0,0,8,7,3,0,0,0,12,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,49,4,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,24,29,3,0,0,0,31,3,0,0,0,0,6,92,13,11,3,0,118
8ACTE,59,18553,17310,1014,500,53,72,18946,17107,1195,585,57,62,19002,15218,991,595,57,52,16919,11137,794,462,60,45,12502,5546,506,336,43,37,6459,1740,275,185,40,21,2257,318,100,69,21,6,505,89,40,24,10,3,168,136803,6941,4020,455,506,148727,8197,16,56,33,44,8350,8809,31,133,35,33,9034,4789,63,173,34,22,5079,5460,150,287,59,25,5972,5473,209,361,62,29,6142,4893,235,354,53,26,5563,4146,238,326,77,27,4806,3426,218,342,50,18,4061,3027,214,373,67,19,3703,2509,231,397,69,22,3226,1436,204,339,79,22,2086,507,102,142,49,11,814,206,52,82,45,6,395,52884,1972,3363,712,307,59241,8881,170,207,57,91,9400,2711,122,123,69,248,3273,201277,9191,7720,1301,1151,220639
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,4,502,254,108,93,0,4,468,238,76,101,6,5,430,192,76,84,3,3,349,151,44,82,0,3,275,90,29,56,3,0,174,33,12,20,0,0,69,4,4,3,0,0,13,3,0,0,0,0,9,2635,636,780,12,27,4093,192,3,21,4,3,228,259,3,44,3,4,312,139,6,49,4,7,200,109,19,46,4,0,172,98,10,61,3,0,168,95,27,74,0,3,198,112,19,88,7,3,226,79,19,79,5,0,192,96,18,82,3,0,200,99,16,61,3,9,184,57,6,46,3,3,113,15,3,20,0,0,37,7,0,3,3,0,20,1346,149,680,43,29,2246,245,16,47,9,5,317,117,10,26,0,15,157,4341,805,1533,69,78,6817
7RNTE,17,2514,2344,128,72,15,13,2578,2484,160,96,15,21,2775,2441,161,114,22,30,2765,2148,143,96,19,16,2421,1390,110,64,19,17,1598,498,54,36,12,8,608,108,25,15,12,3,164,33,7,12,6,0,62,22198,990,733,140,159,24218,660,0,7,10,10,687,509,5,8,3,4,526,611,7,24,9,7,656,771,9,43,3,7,836,669,14,39,3,15,748,640,22,37,0,10,703,585,22,33,3,10,659,481,33,41,6,5,571,435,21,34,9,6,511,345,17,46,6,0,421,205,13,27,17,3,263,80,3,16,7,3,106,31,3,13,4,0,47,6022,182,361,87,75,6734,1456,44,36,12,34,1581,896,24,28,25,90,1071,30573,1238,1163,266,364,33604
7GDAR,35,6588,5567,393,252,26,54,6289,5446,427,278,26,47,6219,4705,396,268,32,34,5441,3723,308,204,35,37,4307,2245,225,154,30,25,2673,760,106,90,18,6,989,146,41,37,12,0,239,46,15,11,4,3,77,48132,2536,1826,255,369,53117,1924,8,9,19,21,1978,1601,12,21,7,17,1659,1542,19,72,5,9,1657,1482,43,97,18,13,1655,1289,65,113,28,7,1509,1122,62,113,25,12,1335,988,62,118,23,7,1203,776,51,144,27,9,1004,763,65,124,21,7,980,565,48,121,29,17,773,342,42,77,20,4,495,104,24,33,16,7,184,44,13,21,17,3,90,12543,515,1073,254,146,14526,2934,73,76,26,54,3166,1295,47,51,43,142,1571,64902,3172,3030,572,706,72381
79799,0,3,8,0,0,0,0,14,9,0,0,0,0,7,10,0,0,0,0,12,8,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,3,4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,11,0,0,0,0,9,3,0,0,0,0,3,88,3,4,4,0,91
79499,0,300,174,34,62,0,4,274,174,18,68,3,3,268,145,39,47,6,0,232,124,24,40,0,0,190,66,17,19,3,3,109,30,3,12,3,0,48,7,0,0,0,0,11,3,0,3,0,0,10,1774,211,383,19,28,2411,47,3,0,0,0,48,48,0,17,0,0,61,52,0,14,0,0,72,50,5,32,0,0,84,41,5,32,3,0,84,31,12,36,3,0,89,35,9,36,4,0,87,39,3,40,3,4,83,34,15,29,0,3,79,28,7,32,3,3,72,16,4,9,0,0,30,6,7,5,0,0,15,3,0,3,0,0,3,428,71,286,21,17,819,221,34,60,9,10,334,75,12,9,3,12,109,2491,331,736,60,61,3674
