GCCSA_CODE_2016,Mng_NNI_H_0,Mng_NNI_H_1_15,Mng_NNI_H_16_24,Mng_NNI_H_25_34,Mng_NNI_H_35_39,Mng_NNI_H_40,Mng_NNI_H_41_48,Mng_NNI_H_49mo,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_15,Mng_1_149_H_16_24,Mng_1_149_H_25_34,Mng_1_149_H_35_39,Mng_1_149_H_40,Mng_1_149_H_41_48,Mng_1_149_H_49mo,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_15,Mng_150_299_H_16_24,Mng_150_299_H_25_34,Mng_150_299_H_35_39,Mng_150_299_H_40,Mng_150_299_H_41_48,Mng_150_299_H_49mo,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_15,Mng_300_399_H_16_24,Mng_300_399_H_25_34,Mng_300_399_H_35_39,Mng_300_399_H_40,Mng_300_399_H_41_48,Mng_300_399_H_49mo,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_15,Mng_400_499_H_16_24,Mng_400_499_H_25_34,Mng_400_499_H_35_39,Mng_400_499_H_40,Mng_400_499_H_41_48,Mng_400_499_H_49mo,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_15,Mng_500_649_H_16_24,Mng_500_649_H_25_34,Mng_500_649_H_35_39,Mng_500_649_H_40,Mng_500_649_H_41_48,Mng_500_649_H_49mo,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_15,Mng_650_799_H_16_24,Mng_650_799_H_25_34,Mng_650_799_H_35_39,Mng_650_799_H_40,Mng_650_799_H_41_48,Mng_650_799_H_49mo,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_15,Mng_800_999_H_16_24,Mng_800_999_H_25_34,Mng_800_999_H_35_39,Mng_800_999_H_40,Mng_800_999_H_41_48,Mng_800_999_H_49mo,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_15,Mng_1000_1249_H_16_24,Mng_1000_1249_H_25_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40,Mng_1000_1249_H_41_48,Mng_1000_1249_H_49mo,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_15,Mng_1250_1499_H_16_24,Mng_1250_1499_H_25_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40,Mng_1250_1499_H_41_48,Mng_1250_1499_H_49mo,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_15,Mng_1500_1749_H_16_24,Mng_1500_1749_H_25_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40,Mng_1500_1749_H_41_48,Mng_1500_1749_H_49mo,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_15,Mng_1750_1999_H_16_24,Mng_1750_1999_H_25_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40,Mng_1750_1999_H_41_48,Mng_1750_1999_H_49mo,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_15,Mng_2000_2999_H_16_24,Mng_2000_2999_H_25_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40,Mng_2000_2999_H_41_48,Mng_2000_2999_H_49mo,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000mo_H_0,Mng_3000mo_H_1_15,Mng_3000mo_H_16_24,Mng_3000mo_H_25_34,Mng_3000mo_H_35_39,Mng_3000mo_H_40,Mng_3000mo_H_41_48,Mng_3000mo_H_49mo,Mng_3000mo_H_NS,Mng_3000mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_15,Mng_PINS_H_16_24,Mng_PINS_H_25_34,Mng_PINS_H_35_39,Mng_PINS_H_40,Mng_PINS_H_41_48,Mng_PINS_H_49mo,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_15,Mng_Tot_H_16_24,Mng_Tot_H_25_34,Mng_Tot_H_35_39,Mng_Tot_H_40,Mng_Tot_H_41_48,Mng_Tot_H_49mo,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_15,Pro_NNI_H_16_24,Pro_NNI_H_25_34,Pro_NNI_H_35_39,Pro_NNI_H_40,Pro_NNI_H_41_48,Pro_NNI_H_49mo,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_15,Pro_1_149_H_16_24,Pro_1_149_H_25_34,Pro_1_149_H_35_39,Pro_1_149_H_40,Pro_1_149_H_41_48,Pro_1_149_H_49mo,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_15,Pro_150_299_H_16_24,Pro_150_299_H_25_34,Pro_150_299_H_35_39,Pro_150_299_H_40,Pro_150_299_H_41_48,Pro_150_299_H_49mo,Pro_150_299_H_NS,Pro_150_299_H_Tot,Pro_300_399_H_0,Pro_300_399_H_1_15,Pro_300_399_H_16_24,Pro_300_399_H_25_34,Pro_300_399_H_35_39,Pro_300_399_H_40,Pro_300_399_H_41_48,Pro_300_399_H_49mo,Pro_300_399_H_NS,Pro_300_399_H_Tot
9OTER,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,3,3,3,0,3,0,3,0,16,0,3,0,4,0,8,0,6,0,31,0,3,0,3,0,3,0,11,4,25,0,4,0,0,6,3,3,12,0,31,0,0,0,3,13,10,7,25,0,59,0,0,0,0,7,9,8,20,0,49,0,3,0,5,9,7,3,18,0,43,0,0,0,3,3,4,15,13,0,35,3,3,0,0,5,4,9,11,0,39,5,0,0,0,11,17,13,31,0,79,4,0,0,3,0,8,3,14,0,41,0,0,0,0,0,0,0,0,0,3,18,24,12,30,65,77,63,159,10,469,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,6,3,0,0,0,0,0,0,13,3,5,0,0,0,0,0,0,0,7
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,6,0,9,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8ACTE,14,19,4,13,7,21,7,38,5,122,7,66,18,6,0,9,11,9,0,123,5,80,29,7,11,10,5,28,7,191,5,60,53,31,10,24,7,33,5,235,10,46,79,49,17,26,14,49,8,303,15,58,114,112,74,95,47,210,9,737,38,58,107,172,226,207,91,279,14,1192,62,73,124,183,509,396,221,410,15,1991,89,58,183,202,618,590,326,585,19,2675,97,54,136,229,628,581,311,514,22,2567,148,61,92,361,838,821,409,597,21,3351,149,42,70,285,856,945,627,631,18,3624,637,109,175,473,2418,3439,2741,2860,55,12906,169,74,78,125,322,1166,1070,2894,20,5912,9,14,3,11,47,60,36,70,21,274,1450,875,1263,2267,6580,8388,5933,9209,243,36207,30,40,13,9,23,20,3,18,3,160,32,410,30,25,17,9,7,15,16,566,35,384,62,45,17,26,3,24,11,598,25,334,106,53,21,35,4,27,9,622
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,4,0,3,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,6,3,3,4,0,3,3,0,5,0,23,0,3,0,3,3,8,0,8,4,27,0,0,10,3,7,11,4,10,0,46,3,0,4,0,8,13,8,16,0,60,3,0,0,0,9,20,11,26,0,66,4,3,6,3,4,9,10,23,0,62,3,0,0,0,3,22,6,20,0,49,5,0,0,0,3,20,7,34,0,74,0,0,0,4,3,5,4,22,0,49,0,0,0,0,0,0,0,3,3,8,30,23,24,23,43,112,57,168,7,480,4,0,0,0,0,0,0,4,0,13,4,61,7,0,0,0,0,0,14,77,8,40,3,0,0,0,0,0,4,52,0,33,4,0,0,3,0,0,8,43
7RNTE,0,3,3,4,0,6,0,26,3,44,0,5,0,0,0,0,0,6,3,17,0,12,8,6,4,4,0,20,0,56,0,11,3,6,7,9,0,6,0,45,4,6,12,6,6,12,3,21,0,73,5,16,10,15,19,25,5,23,0,111,3,9,17,21,34,28,28,59,3,193,4,5,8,12,59,66,34,112,3,304,19,4,6,21,101,131,61,204,4,556,18,8,6,6,110,68,64,213,8,514,20,4,9,10,108,85,49,172,8,466,10,4,3,5,76,79,50,110,3,347,26,5,3,6,119,128,104,344,3,745,18,5,0,3,27,51,41,243,0,392,3,9,0,0,8,10,10,28,15,79,136,102,88,126,679,714,450,1597,55,3953,3,3,0,0,3,4,3,3,0,25,3,32,14,20,8,10,0,0,0,80,12,56,39,28,36,34,3,6,8,205,9,34,30,35,33,24,7,9,3,177
7GDAR,0,9,4,3,4,8,3,23,6,57,4,12,0,7,0,0,0,5,0,31,0,16,3,3,0,11,3,13,0,57,0,14,23,8,3,8,4,17,4,73,3,3,19,17,3,10,4,28,0,85,8,21,25,37,17,19,7,37,0,169,12,5,21,41,80,45,27,69,3,305,22,15,15,45,177,132,83,114,5,609,28,17,21,38,197,236,141,229,6,904,25,13,16,35,173,217,151,273,10,913,36,7,13,44,188,252,152,366,7,1065,34,10,10,27,197,213,165,306,10,980,92,14,19,58,283,457,357,878,18,2167,47,12,11,19,84,209,156,870,4,1418,0,0,0,3,10,20,12,23,13,83,317,175,204,372,1418,1837,1252,3245,92,8917,14,12,3,4,3,5,0,9,0,43,4,66,6,3,4,4,0,3,0,93,8,60,6,9,4,6,5,3,3,102,10,45,23,10,3,0,4,3,3,103
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,0,13,3,0,4,0,6,0,0,0,0,15,0,0,0,0,0,3,0,4,0,12,0,3,0,0,0,9,6,7,0,29,0,0,0,3,4,13,3,13,0,34,0,0,0,3,3,6,0,16,0,29,6,0,0,0,0,7,3,6,0,26,4,3,0,0,0,7,5,17,0,36,3,0,0,0,0,5,0,16,0,23,0,0,0,0,0,0,0,0,0,0,25,11,8,19,15,59,18,77,3,234,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,7,3,5,0,0,0,0,0,0,0,16,0,3,3,0,0,0,0,0,0,9
