GCCSA_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
9OTER,469,393,435,410,291,134,165,319,76,2692
99799,0,0,0,0,0,0,0,0,0,0
99499,26,33,18,3,7,3,3,6,9,118
8ACTE,36207,67771,18787,23026,39535,14959,4730,10056,5577,220639
89799,0,0,0,0,0,0,0,0,0,0
89499,480,850,2532,762,294,272,401,1050,178,6817
7RNTE,3953,7374,4526,5370,3791,1831,2145,3533,1082,33604
7GDAR,8917,14219,12943,8761,10487,5197,4204,6207,1456,72381
79799,8,19,31,0,0,0,4,25,3,91
79499,234,367,1310,292,186,114,362,690,122,3674
6RTAS,14192,17040,14444,12567,12501,10860,7935,14180,1794,105512
6GHOB,11351,22806,12595,13017,15337,10148,4676,9000,1733,100657
69799,3,10,8,3,0,0,5,23,0,55
69499,790,674,2960,1049,266,353,932,1888,217,9132
5RWAU,34405,34568,49774,22026,24817,17053,31326,30284,4388,248646
5GPER,102456,198563,120052,96234,123663,83116,51246,72484,13805,861625
59799,89,301,529,41,30,0,188,379,35,1595
59499,2643,4577,20738,4549,2026,2034,5905,10794,1106,54378
4RSAU,25801,19113,19605,16089,15058,13309,12032,22943,2356,146296
4GADE,65714,128178,67635,69388,83019,56784,30714,52255,8470,562169
49799,3,12,14,3,0,0,7,19,0,64
49499,2141,3071,12099,3898,1273,1493,2399,7300,627,34306
3RQLD,122961,167508,144211,118736,127900,104247,73924,111756,15600,986831
3GBRI,128017,246581,124343,115318,159543,98905,63597,91847,16763,1044909
39799,9,53,36,15,13,3,14,52,4,202
39499,6496,8924,34880,7959,3724,4424,8990,21413,2113,98920
2RVIC,83263,100346,74449,67617,64970,57570,33539,65650,8961,556360
2GMEL,278324,522841,236566,210570,293478,202723,116094,158942,35235,2054783
29799,6,14,67,0,0,3,25,35,4,155
29499,7931,11580,45843,10740,4300,5051,8961,22073,2556,119037
1RNSW,131623,183463,137660,121694,126337,101088,69518,111020,16199,998604
1GSYD,311581,595536,238244,214184,331227,203268,122689,156810,42588,2216135
19799,3,19,18,11,3,0,3,30,0,90
19499,9963,14162,50067,12664,5609,6004,13366,28443,3083,143362
